# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 2.180120e-07 -1.658146e+06
1.000000e-02 -1.099058e+06 -1.201482e+06
2.000000e-02 -1.531683e+06 -1.436111e+05
3.000000e-02 -1.110357e+06 8.236664e+05
4.000000e-02 -2.280081e+05 1.138198e+06
5.000000e-02 4.734932e+05 7.507049e+05
6.000000e-02 5.899783e+05 9.676904e+04
7.000000e-02 2.142278e+05 -2.934328e+05
8.000000e-02 -2.234990e+05 -2.053503e+05
9.000000e-02 -3.459066e+05 1.575271e+05
1.000000e-01 -1.156261e+05 4.138034e+05
1.100000e-01 1.965778e+05 3.499315e+05
1.200000e-01 2.972001e+05 7.185422e+04
1.300000e-01 1.278321e+05 -1.413351e+05
1.400000e-01 -1.196490e+05 -1.091627e+05
1.500000e-01 -2.086503e+05 1.029040e+05
1.600000e-01 -7.838538e+04 2.736490e+05
1.700000e-01 1.230421e+05 2.482740e+05
1.800000e-01 1.995661e+05 7.147665e+04
1.900000e-01 9.279695e+04 -7.623493e+04
2.000000e-01 -7.810439e+04 -5.970761e+04
2.100000e-01 -1.453547e+05 8.772971e+04
2.200000e-01 -5.537589e+04 2.130723e+05
2.300000e-01 9.207383e+04 1.982662e+05
2.400000e-01 1.512480e+05 6.834908e+04
2.500000e-01 7.225128e+04 -4.365422e+04
2.600000e-01 -5.840118e+04 -3.249560e+04
2.700000e-01 -1.117802e+05 8.125367e+04
2.800000e-01 -4.225931e+04 1.804503e+05
2.900000e-01 7.473712e+04 1.698898e+05
3.000000e-01 1.229062e+05 6.649312e+04
3.100000e-01 6.017691e+04 -2.444414e+04
3.200000e-01 -4.617469e+04 -1.658520e+04
3.300000e-01 -9.108130e+04 7.596345e+04
3.400000e-01 -3.492318e+04 1.580765e+05
3.500000e-01 6.140408e+04 1.502965e+05
3.600000e-01 1.017551e+05 6.507953e+04
3.700000e-01 4.960253e+04 -1.083504e+04
3.800000e-01 -3.999599e+04 -4.241153e+03
3.900000e-01 -7.813893e+04 7.436754e+04
4.000000e-01 -3.065495e+04 1.447190e+05
4.100000e-01 5.176053e+04 1.389477e+05
4.200000e-01 8.708277e+04 6.648307e+04
4.300000e-01 4.299862e+04 1.200176e+03
4.400000e-01 -3.374053e+04 6.749338e+03
4.500000e-01 -6.652790e+04 7.438530e+04
4.600000e-01 -2.523873e+04 1.352828e+05
4.700000e-01 4.672601e+04 1.301446e+05
4.800000e-01 7.772175e+04 6.655159e+04
4.900000e-01 3.908320e+04 9.121995e+03
5.000000e-01 -2.838891e+04 1.363003e+04
5.100000e-01 -5.754044e+04 7.296587e+04
5.200000e-01 -2.135793e+04 1.267123e+05
5.300000e-01 4.210898e+04 1.220914e+05
5.400000e-01 6.929543e+04 6.576035e+04
5.500000e-01 3.477454e+04 1.487438e+04
5.600000e-01 -2.549539e+04 1.911439e+04
5.700000e-01 -5.157003e+04 7.242125e+04
5.800000e-01 -1.895570e+04 1.206738e+05
5.900000e-01 3.806994e+04 1.165872e+05
6.000000e-01 6.261134e+04 6.600167e+04
6.100000e-01 3.157663e+04 2.015392e+04
6.200000e-01 -2.281612e+04 2.400929e+04
6.300000e-01 -4.622963e+04 7.225601e+04
6.400000e-01 -1.670472e+04 1.159024e+05
6.500000e-01 3.499187e+04 1.122150e+05
6.600000e-01 5.728263e+04 6.629337e+04
6.700000e-01 2.900521e+04 2.467523e+04
6.800000e-01 -2.043186e+04 2.838507e+04
6.900000e-01 -4.163230e+04 7.239170e+04
7.000000e-01 -1.452577e+04 1.122040e+05
7.100000e-01 3.286803e+04 1.087102e+05
7.200000e-01 5.321191e+04 6.648301e+04
7.300000e-01 2.718798e+04 2.832754e+04
7.400000e-01 -1.819611e+04 3.171808e+04
7.500000e-01 -3.767624e+04 7.214794e+04
7.600000e-01 -1.270645e+04 1.087428e+05
7.700000e-01 3.089618e+04 1.053226e+05
7.800000e-01 4.946609e+04 6.634117e+04
7.900000e-01 2.529866e+04 3.117819e+04
8.000000e-01 -1.674844e+04 3.442994e+04
8.100000e-01 -3.477845e+04 7.198625e+04
8.200000e-01 -1.153883e+04 1.058629e+05
8.300000e-01 2.883194e+04 1.026890e+05
8.400000e-01 4.599949e+04 6.655844e+04
8.500000e-01 2.348819e+04 3.397362e+04
8.600000e-01 -1.561512e+04 3.715548e+04
8.700000e-01 -3.223156e+04 7.219682e+04
8.800000e-01 -1.054348e+04 1.037101e+05
8.900000e-01 2.707371e+04 1.007115e+05
9.000000e-01 4.302237e+04 6.698886e+04
9.100000e-01 2.186989e+04 3.667763e+04
9.200000e-01 -1.463925e+04 3.985022e+04
9.300000e-01 -3.008657e+04 7.270153e+04
9.400000e-01 -9.693338e+03 1.022299e+05
9.500000e-01 2.561888e+04 9.941246e+04
9.600000e-01 4.051064e+04 6.777889e+04
9.700000e-01 2.068717e+04 3.945193e+04
9.800000e-01 -1.347005e+04 4.247832e+04
9.900000e-01 -2.786233e+04 7.331488e+04
1.000000e+00 -8.605015e+03 1.009770e+05
1.010000e+00 2.454924e+04 9.812033e+04
1.020000e+00 3.840801e+04 6.834227e+04
