# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 -2.928483e+02 -3.716972e-10
1.000000e-02 -2.925312e+02 1.895545e+01
2.000000e-02 -2.916524e+02 3.788439e+01
3.000000e-02 -2.902136e+02 5.676308e+01
4.000000e-02 -2.882175e+02 7.556783e+01
5.000000e-02 -2.856676e+02 9.427512e+01
6.000000e-02 -2.825559e+02 1.128581e+02
7.000000e-02 -2.788449e+02 1.312788e+02
8.000000e-02 -2.745988e+02 1.495274e+02
9.000000e-02 -2.698253e+02 1.675814e+02
1.000000e-01 -2.645333e+02 1.854187e+02
1.100000e-01 -2.587324e+02 2.030174e+02
1.200000e-01 -2.524102e+02 2.203427e+02
1.300000e-01 -2.455642e+02 2.373612e+02
1.400000e-01 -2.382468e+02 2.540738e+02
1.500000e-01 -2.304716e+02 2.704608e+02
1.600000e-01 -2.222529e+02 2.865029e+02
1.700000e-01 -2.136060e+02 3.021815e+02
1.800000e-01 -2.045185e+02 3.174504e+02
1.900000e-01 -1.950160e+02 3.322949e+02
2.000000e-01 -1.851393e+02 3.467206e+02
2.100000e-01 -1.749067e+02 3.607118e+02
2.200000e-01 -1.643372e+02 3.742537e+02
2.300000e-01 -1.534504e+02 3.873321e+02
2.400000e-01 -1.422403e+02 3.998874e+02
2.500000e-01 -1.307490e+02 4.119352e+02
2.600000e-01 -1.190076e+02 4.234798e+02
2.700000e-01 -1.070380e+02 4.345111e+02
2.800000e-01 -9.486267e+01 4.450195e+02
2.900000e-01 -8.250434e+01 4.549964e+02
3.000000e-01 -6.997004e+01 4.643696e+02
3.100000e-01 -5.730332e+01 4.731907e+02
3.200000e-01 -4.452953e+01 4.814595e+02
3.300000e-01 -3.167280e+01 4.891716e+02
3.400000e-01 -1.875744e+01 4.963236e+02
3.500000e-01 -5.807847e+00 5.029052e+02
3.600000e-01 7.148969e+00 5.088590e+02
3.700000e-01 2.008501e+01 5.142488e+02
3.800000e-01 3.297554e+01 5.190759e+02
3.900000e-01 4.579585e+01 5.233423e+02
4.000000e-01 5.852127e+01 5.270510e+02
4.100000e-01 7.112170e+01 5.301855e+02
4.200000e-01 8.356155e+01 5.327233e+02
4.300000e-01 9.582782e+01 5.347207e+02
4.400000e-01 1.078966e+02 5.361851e+02
4.500000e-01 1.197441e+02 5.371251e+02
4.600000e-01 1.313471e+02 5.375503e+02
4.700000e-01 1.426646e+02 5.374408e+02
4.800000e-01 1.536689e+02 5.368078e+02
4.900000e-01 1.643559e+02 5.356974e+02
5.000000e-01 1.747042e+02 5.341234e+02
5.100000e-01 1.846927e+02 5.321001e+02
5.200000e-01 1.943009e+02 5.296432e+02
5.300000e-01 2.034733e+02 5.267350e+02
5.400000e-01 2.122050e+02 5.234129e+02
5.500000e-01 2.204948e+02 5.197131e+02
5.600000e-01 2.283251e+02 5.156546e+02
5.700000e-01 2.356790e+02 5.112572e+02
5.800000e-01 2.425405e+02 5.065415e+02
5.900000e-01 2.488374e+02 5.014988e+02
6.000000e-01 2.545993e+02 4.961806e+02
6.100000e-01 2.598225e+02 4.906152e+02
6.200000e-01 2.644947e+02 4.848260e+02
6.300000e-01 2.686044e+02 4.788371e+02
6.400000e-01 2.721383e+02 4.726721e+02
6.500000e-01 2.750167e+02 4.663416e+02
6.600000e-01 2.773021e+02 4.598920e+02
6.700000e-01 2.789873e+02 4.533494e+02
6.800000e-01 2.800661e+02 4.467400e+02
6.900000e-01 2.805334e+02 4.400906e+02
7.000000e-01 2.803674e+02 4.334285e+02
7.100000e-01 2.795209e+02 4.267859e+02
7.200000e-01 2.780536e+02 4.201910e+02
7.300000e-01 2.759650e+02 4.136714e+02
7.400000e-01 2.732558e+02 4.072547e+02
7.500000e-01 2.699277e+02 4.009688e+02
7.600000e-01 2.659517e+02 3.948512e+02
7.700000e-01 2.613181e+02 3.889384e+02
7.800000e-01 2.560789e+02 3.832458e+02
7.900000e-01 2.502408e+02 3.778008e+02
8.000000e-01 2.438115e+02 3.726307e+02
8.100000e-01 2.367997e+02 3.677626e+02
8.200000e-01 2.291730e+02 3.632504e+02
8.300000e-01 2.209577e+02 3.591169e+02
8.400000e-01 2.121961e+02 3.553708e+02
8.500000e-01 2.029017e+02 3.520378e+02
8.600000e-01 1.930890e+02 3.491431e+02
8.700000e-01 1.827738e+02 3.467113e+02
8.800000e-01 1.719261e+02 3.448176e+02
8.900000e-01 1.606006e+02 3.434539e+02
9.000000e-01 1.488300e+02 3.426289e+02
9.100000e-01 1.366342e+02 3.423649e+02
9.200000e-01 1.240341e+02 3.426833e+02
9.300000e-01 1.110515e+02 3.436048e+02
9.400000e-01 9.766760e+01 3.452283e+02
9.500000e-01 8.395116e+01 3.475011e+02
9.600000e-01 6.992848e+01 3.504381e+02
9.700000e-01 5.562496e+01 3.540563e+02
9.800000e-01 4.106673e+01 3.583721e+02
9.900000e-01 2.627694e+01 3.634142e+02
1.000000e+00 1.126897e+01 3.692645e+02
1.010000e+00 -3.904533e+00 3.758576e+02
1.020000e+00 -1.921458e+01 3.832055e+02
1.030000e+00 -3.463162e+01 3.913189e+02
1.040000e+00 -5.012555e+01 4.002075e+02
1.050000e+00 -6.566637e+01 4.099135e+02
1.060000e+00 -8.121886e+01 4.204793e+02
1.070000e+00 -9.674805e+01 4.318437e+02
1.080000e+00 -1.122221e+02 4.440115e+02
1.090000e+00 -1.276088e+02 4.569860e+02
1.100000e+00 -1.428757e+02 4.707698e+02
1.110000e+00 -1.579779e+02 4.854175e+02
1.120000e+00 -1.728776e+02 5.009251e+02
1.130000e+00 -1.875518e+02 5.172407e+02
1.140000e+00 -2.019675e+02 5.343616e+02
1.150000e+00 -2.160915e+02 5.522832e+02
1.160000e+00 -2.298911e+02 5.710002e+02
1.170000e+00 -2.432980e+02 5.905758e+02
1.180000e+00 -2.562936e+02 6.109599e+02
1.190000e+00 -2.688591e+02 6.321127e+02
1.200000e+00 -2.809624e+02 6.540233e+02
1.210000e+00 -2.925713e+02 6.766796e+02
1.220000e+00 -3.036542e+02 7.000680e+02
1.230000e+00 -3.141132e+02 7.242538e+02
1.240000e+00 -3.239691e+02 7.491477e+02
1.250000e+00 -3.332000e+02 7.747220e+02
1.260000e+00 -3.417761e+02 8.009583e+02
1.270000e+00 -3.496683e+02 8.278366e+02
1.280000e+00 -3.568413e+02 8.553417e+02
1.290000e+00 -3.631828e+02 8.835139e+02
1.300000e+00 -3.687511e+02 9.122566e+02
1.310000e+00 -3.735201e+02 9.415454e+02
1.320000e+00 -3.774646e+02 9.713546e+02
1.330000e+00 -3.805602e+02 1.001658e+03
1.340000e+00 -3.827536e+02 1.032441e+03
1.350000e+00 -3.839636e+02 1.063700e+03
1.360000e+00 -3.842520e+02 1.095360e+03
1.370000e+00 -3.835986e+02 1.127391e+03
1.380000e+00 -3.819841e+02 1.159761e+03
1.390000e+00 -3.793900e+02 1.192438e+03
1.400000e+00 -3.757420e+02 1.225403e+03
1.410000e+00 -3.710066e+02 1.258619e+03
1.420000e+00 -3.652408e+02 1.292034e+03
1.430000e+00 -3.584312e+02 1.325611e+03
1.440000e+00 -3.505658e+02 1.359314e+03
1.450000e+00 -3.416336e+02 1.393108e+03
1.460000e+00 -3.315381e+02 1.426957e+03
1.470000e+00 -3.203052e+02 1.460815e+03
1.480000e+00 -3.079797e+02 1.494643e+03
1.490000e+00 -2.945564e+02 1.528402e+03
1.500000e+00 -2.800314e+02 1.562054e+03
1.510000e+00 -2.644022e+02 1.595559e+03
1.520000e+00 -2.475526e+02 1.628856e+03
1.530000e+00 -2.295720e+02 1.661915e+03
1.540000e+00 -2.104887e+02 1.694702e+03
1.550000e+00 -1.903062e+02 1.727177e+03
1.560000e+00 -1.690294e+02 1.759300e+03
1.570000e+00 -1.466645e+02 1.791032e+03
1.580000e+00 -1.230824e+02 1.822275e+03
1.590000e+00 -9.843108e+01 1.853041e+03
1.600000e+00 -7.272170e+01 1.883289e+03
1.610000e+00 -4.596653e+01 1.912983e+03
1.620000e+00 -1.817923e+01 1.942084e+03
1.630000e+00 1.064867e+01 1.970539e+03
1.640000e+00 4.057927e+01 1.998250e+03
1.650000e+00 7.148851e+01 2.025248e+03
1.660000e+00 1.033569e+02 2.051497e+03
1.670000e+00 1.361638e+02 2.076961e+03
1.680000e+00 1.698869e+02 2.101605e+03
1.690000e+00 2.045440e+02 2.125352e+03
1.700000e+00 2.401356e+02 2.148135e+03
1.710000e+00 2.765636e+02 2.169991e+03
1.720000e+00 3.138007e+02 2.190887e+03
1.730000e+00 3.518186e+02 2.210792e+03
1.740000e+00 3.905874e+02 2.229678e+03
1.750000e+00 4.301252e+02 2.247438e+03
1.760000e+00 4.703849e+02 2.264055e+03
1.770000e+00 5.112926e+02 2.279562e+03
1.780000e+00 5.528141e+02 2.293934e+03
1.790000e+00 5.949145e+02 2.307146e+03
1.800000e+00 6.375577e+02 2.319175e+03
1.810000e+00 6.807511e+02 2.329884e+03
1.820000e+00 7.244209e+02 2.339322e+03
1.830000e+00 7.685117e+02 2.347510e+03
1.840000e+00 8.129841e+02 2.354431e+03
1.850000e+00 8.577981e+02 2.360069e+03
1.860000e+00 9.029130e+02 2.364407e+03
1.870000e+00 9.483132e+02 2.367275e+03
1.880000e+00 9.939240e+02 2.368803e+03
1.890000e+00 1.039700e+03 2.368991e+03
1.900000e+00 1.085600e+03 2.367832e+03
