# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-02 2.290114e+06 2.723571e+06
2.000000e-02 1.675970e+06 1.978467e+06
3.000000e-02 1.393463e+06 1.651848e+06
4.000000e-02 1.214139e+06 1.448924e+06
5.000000e-02 1.092478e+06 1.313439e+06
6.000000e-02 1.004875e+06 1.216987e+06
7.000000e-02 9.348074e+05 1.140339e+06
8.000000e-02 8.734383e+05 1.073496e+06
9.000000e-02 8.288421e+05 1.025343e+06
1.000000e-01 7.842691e+05 9.772145e+05
1.100000e-01 7.524286e+05 9.431078e+05
1.200000e-01 7.206038e+05 9.090172e+05
1.300000e-01 6.925297e+05 8.790135e+05
1.400000e-01 6.698307e+05 8.548672e+05
1.500000e-01 6.471379e+05 8.307272e+05
1.600000e-01 6.254343e+05 8.076547e+05
1.700000e-01 6.092632e+05 7.905551e+05
1.800000e-01 5.930959e+05 7.734595e+05
1.900000e-01 5.769321e+05 7.563672e+05
2.000000e-01 5.609915e+05 7.395137e+05
2.100000e-01 5.494830e+05 7.274056e+05
2.200000e-01 5.379770e+05 7.152999e+05
2.300000e-01 5.264731e+05 7.031962e+05
2.400000e-01 5.149708e+05 6.910943e+05
2.500000e-01 5.034704e+05 6.789941e+05
2.600000e-01 4.948943e+05 6.700017e+05
2.700000e-01 4.867138e+05 6.614297e+05
2.800000e-01 4.785347e+05 6.528590e+05
2.900000e-01 4.703566e+05 6.442894e+05
3.000000e-01 4.621795e+05 6.357208e+05
3.100000e-01 4.540034e+05 6.271531e+05
3.200000e-01 4.467201e+05 6.195280e+05
3.300000e-01 4.409102e+05 6.134583e+05
3.400000e-01 4.351010e+05 6.073894e+05
3.500000e-01 4.292925e+05 6.013211e+05
3.600000e-01 4.234846e+05 5.952535e+05
3.700000e-01 4.176773e+05 5.891864e+05
3.800000e-01 4.118706e+05 5.831199e+05
3.900000e-01 4.060644e+05 5.770540e+05
4.000000e-01 4.005775e+05 5.713231e+05
4.100000e-01 3.964563e+05 5.670255e+05
4.200000e-01 3.923356e+05 5.627284e+05
4.300000e-01 3.882152e+05 5.584317e+05
4.400000e-01 3.840954e+05 5.541354e+05
4.500000e-01 3.799758e+05 5.498395e+05
4.600000e-01 3.758566e+05 5.455439e+05
4.700000e-01 3.717377e+05 5.412486e+05
4.800000e-01 3.676191e+05 5.369536e+05
4.900000e-01 3.635008e+05 5.326589e+05
5.000000e-01 3.593828e+05 5.283645e+05
5.100000e-01 3.563214e+05 5.251732e+05
5.200000e-01 3.534025e+05 5.221307e+05
5.300000e-01 3.504840e+05 5.190885e+05
5.400000e-01 3.475656e+05 5.160465e+05
5.500000e-01 3.446474e+05 5.130047e+05
5.600000e-01 3.417295e+05 5.099631e+05
5.700000e-01 3.388117e+05 5.069217e+05
5.800000e-01 3.358942e+05 5.038805e+05
5.900000e-01 3.329768e+05 5.008395e+05
6.000000e-01 3.300596e+05 4.977986e+05
6.100000e-01 3.271426e+05 4.947580e+05
6.200000e-01 3.242257e+05 4.917175e+05
6.300000e-01 3.213090e+05 4.886771e+05
6.400000e-01 3.191635e+05 4.864381e+05
6.500000e-01 3.170997e+05 4.842840e+05
6.600000e-01 3.150361e+05 4.821301e+05
6.700000e-01 3.129725e+05 4.799763e+05
6.800000e-01 3.109092e+05 4.778226e+05
6.900000e-01 3.088459e+05 4.756691e+05
7.000000e-01 3.067828e+05 4.735157e+05
7.100000e-01 3.047198e+05 4.713623e+05
7.200000e-01 3.026569e+05 4.692092e+05
7.300000e-01 3.005941e+05 4.670560e+05
7.400000e-01 2.985314e+05 4.649031e+05
7.500000e-01 2.964688e+05 4.627502e+05
7.600000e-01 2.944063e+05 4.605974e+05
7.700000e-01 2.923439e+05 4.584446e+05
7.800000e-01 2.902816e+05 4.562921e+05
7.900000e-01 2.882193e+05 4.541395e+05
8.000000e-01 2.865011e+05 4.523429e+05
8.100000e-01 2.850452e+05 4.508178e+05
8.200000e-01 2.835894e+05 4.492928e+05
8.300000e-01 2.821337e+05 4.477679e+05
8.400000e-01 2.806781e+05 4.462431e+05
8.500000e-01 2.792226e+05 4.447183e+05
8.600000e-01 2.777670e+05 4.431936e+05
8.700000e-01 2.763117e+05 4.416690e+05
8.800000e-01 2.748563e+05 4.401444e+05
8.900000e-01 2.734010e+05 4.386199e+05
9.000000e-01 2.719458e+05 4.370955e+05
9.100000e-01 2.704906e+05 4.355711e+05
9.200000e-01 2.690356e+05 4.340468e+05
9.300000e-01 2.675805e+05 4.325225e+05
9.400000e-01 2.661255e+05 4.309983e+05
9.500000e-01 2.646706e+05 4.294742e+05
9.600000e-01 2.632157e+05 4.279500e+05
9.700000e-01 2.617609e+05 4.264260e+05
9.800000e-01 2.603061e+05 4.249020e+05
9.900000e-01 2.588514e+05 4.233780e+05
1.000000e+00 2.573973e+05 4.218547e+05
1.010000e+00 2.563729e+05 4.207744e+05
1.020000e+00 2.553491e+05 4.196947e+05
1.030000e+00 2.543254e+05 4.186151e+05
1.040000e+00 2.533017e+05 4.175355e+05
1.050000e+00 2.522780e+05 4.164559e+05
1.060000e+00 2.512544e+05 4.153764e+05
1.070000e+00 2.502308e+05 4.142969e+05
1.080000e+00 2.492073e+05 4.132175e+05
1.090000e+00 2.481838e+05 4.121381e+05
1.100000e+00 2.471603e+05 4.110587e+05
