# Freq(GHz) Re(Z) Im(Z)
0.000000e+00 -2.402044e+02 -1.313118e-09
1.000000e-02 1.548535e+02 4.349225e+02
2.000000e-02 3.195020e+02 6.386994e+02
3.000000e-02 4.459674e+02 8.036833e+02
4.000000e-02 5.547626e+02 9.503659e+02
5.000000e-02 6.508876e+02 1.083728e+03
6.000000e-02 7.375623e+02 1.206953e+03
7.000000e-02 8.184807e+02 1.323661e+03
8.000000e-02 8.966818e+02 1.436945e+03
9.000000e-02 9.678181e+02 1.542442e+03
1.000000e-01 1.039470e+03 1.647720e+03
1.100000e-01 1.104463e+03 1.745591e+03
1.200000e-01 1.169973e+03 1.843186e+03
1.300000e-01 1.233382e+03 1.937848e+03
1.400000e-01 1.293495e+03 2.028436e+03
1.500000e-01 1.354065e+03 2.118699e+03
1.600000e-01 1.414217e+03 2.207755e+03
1.700000e-01 1.469961e+03 2.291612e+03
1.800000e-01 1.526144e+03 2.375057e+03
1.900000e-01 1.582743e+03 2.458078e+03
2.000000e-01 1.639475e+03 2.540440e+03
2.100000e-01 1.691725e+03 2.617528e+03
2.200000e-01 1.744312e+03 2.694168e+03
2.300000e-01 1.797216e+03 2.770343e+03
2.400000e-01 1.850443e+03 2.845994e+03
2.500000e-01 1.903951e+03 2.921138e+03
2.600000e-01 1.953677e+03 2.991837e+03
2.700000e-01 2.003018e+03 3.061562e+03
2.800000e-01 2.052566e+03 3.130764e+03
2.900000e-01 2.102296e+03 3.199434e+03
3.000000e-01 2.152203e+03 3.267499e+03
3.100000e-01 2.202242e+03 3.335011e+03
3.200000e-01 2.250866e+03 3.400450e+03
3.300000e-01 2.297061e+03 3.462818e+03
3.400000e-01 2.343314e+03 3.524626e+03
3.500000e-01 2.389602e+03 3.585863e+03
3.600000e-01 2.435897e+03 3.646472e+03
3.700000e-01 2.482171e+03 3.706515e+03
3.800000e-01 2.528400e+03 3.765996e+03
3.900000e-01 2.574559e+03 3.824914e+03
4.000000e-01 2.619943e+03 3.882594e+03
4.100000e-01 2.662287e+03 3.936785e+03
4.200000e-01 2.704471e+03 3.990378e+03
4.300000e-01 2.746481e+03 4.043429e+03
4.400000e-01 2.788294e+03 4.095947e+03
4.500000e-01 2.829886e+03 4.147940e+03
4.600000e-01 2.871234e+03 4.199417e+03
4.700000e-01 2.912478e+03 4.250363e+03
4.800000e-01 2.954255e+03 4.300807e+03
4.900000e-01 2.995715e+03 4.350773e+03
5.000000e-01 3.036836e+03 4.400275e+03
5.100000e-01 3.074774e+03 4.446503e+03
5.200000e-01 3.111947e+03 4.492005e+03
5.300000e-01 3.148682e+03 4.537083e+03
5.400000e-01 3.184977e+03 4.581746e+03
5.500000e-01 3.220831e+03 4.626031e+03
5.600000e-01 3.256226e+03 4.669956e+03
5.700000e-01 3.291144e+03 4.713542e+03
5.800000e-01 3.325571e+03 4.756808e+03
5.900000e-01 3.359434e+03 4.799746e+03
6.000000e-01 3.392762e+03 4.842408e+03
6.100000e-01 3.425553e+03 4.884822e+03
6.200000e-01 3.457792e+03 4.927011e+03
6.300000e-01 3.489470e+03 4.968999e+03
6.400000e-01 3.517991e+03 5.008229e+03
6.500000e-01 3.545583e+03 5.047019e+03
6.600000e-01 3.572583e+03 5.085689e+03
6.700000e-01 3.598984e+03 5.124264e+03
6.800000e-01 3.624778e+03 5.162773e+03
6.900000e-01 3.649963e+03 5.201240e+03
7.000000e-01 3.674514e+03 5.239693e+03
7.100000e-01 3.698386e+03 5.278166e+03
7.200000e-01 3.721638e+03 5.316685e+03
7.300000e-01 3.744270e+03 5.355278e+03
7.400000e-01 3.766281e+03 5.393974e+03
7.500000e-01 3.787675e+03 5.432799e+03
7.600000e-01 3.808422e+03 5.471792e+03
7.700000e-01 3.828509e+03 5.510992e+03
7.800000e-01 3.847969e+03 5.550435e+03
7.900000e-01 3.866831e+03 5.590125e+03
8.000000e-01 3.883659e+03 5.628646e+03
8.100000e-01 3.898805e+03 5.666366e+03
8.200000e-01 3.913336e+03 5.704442e+03
8.300000e-01 3.927280e+03 5.742896e+03
8.400000e-01 3.940678e+03 5.781736e+03
8.500000e-01 3.953545e+03 5.820988e+03
8.600000e-01 3.965895e+03 5.860678e+03
8.700000e-01 3.977743e+03 5.900831e+03
8.800000e-01 3.989060e+03 5.941520e+03
8.900000e-01 3.999901e+03 5.982739e+03
9.000000e-01 4.010297e+03 6.024496e+03
9.100000e-01 4.020269e+03 6.066813e+03
9.200000e-01 4.029839e+03 6.109712e+03
9.300000e-01 4.039027e+03 6.153213e+03
9.400000e-01 4.048259e+03 6.197443e+03
9.500000e-01 4.057976e+03 6.242370e+03
9.600000e-01 4.067387e+03 6.287961e+03
9.700000e-01 4.076519e+03 6.334232e+03
9.800000e-01 4.085397e+03 6.381201e+03
9.900000e-01 4.094045e+03 6.428895e+03
1.000000e+00 4.102474e+03 6.477394e+03
1.010000e+00 4.108475e+03 6.524374e+03
1.020000e+00 4.114338e+03 6.572104e+03
1.030000e+00 4.119998e+03 6.620632e+03
1.040000e+00 4.125485e+03 6.669965e+03
1.050000e+00 4.130927e+03 6.720115e+03
1.060000e+00 4.136359e+03 6.771124e+03
1.070000e+00 4.141815e+03 6.822931e+03
1.080000e+00 4.147328e+03 6.875541e+03
1.090000e+00 4.152929e+03 6.928958e+03
1.100000e+00 4.158652e+03 6.983184e+03
1.110000e+00 4.164541e+03 7.038273e+03
1.120000e+00 4.170633e+03 7.094222e+03
1.130000e+00 4.176953e+03 7.150978e+03
1.140000e+00 4.183532e+03 7.208540e+03
1.150000e+00 4.190405e+03 7.266901e+03
1.160000e+00 4.197603e+03 7.326058e+03
1.170000e+00 4.205196e+03 7.386074e+03
1.180000e+00 4.213201e+03 7.446897e+03
1.190000e+00 4.221638e+03 7.508489e+03
1.200000e+00 4.230538e+03 7.570839e+03
1.210000e+00 4.239934e+03 7.633934e+03
1.220000e+00 4.249858e+03 7.697762e+03
1.230000e+00 4.260407e+03 7.762386e+03
1.240000e+00 4.271560e+03 7.827719e+03
1.250000e+00 4.283340e+03 7.893731e+03
1.260000e+00 4.295559e+03 7.960189e+03
1.270000e+00 4.306658e+03 8.025485e+03
1.280000e+00 4.318478e+03 8.091407e+03
1.290000e+00 4.330867e+03 8.158316e+03
1.300000e+00 4.343994e+03 8.225837e+03
1.310000e+00 4.357923e+03 8.293905e+03
1.320000e+00 4.372677e+03 8.362492e+03
1.330000e+00 4.388282e+03 8.431574e+03
1.340000e+00 4.404790e+03 8.501137e+03
1.350000e+00 4.422283e+03 8.571174e+03
1.360000e+00 4.440699e+03 8.641613e+03
1.370000e+00 4.460058e+03 8.712423e+03
1.380000e+00 4.480379e+03 8.783572e+03
1.390000e+00 4.501682e+03 8.855029e+03
1.400000e+00 4.524039e+03 8.926773e+03
1.410000e+00 4.548421e+03 8.998661e+03
1.420000e+00 4.574664e+03 9.070652e+03
1.430000e+00 4.601951e+03 9.142805e+03
1.440000e+00 4.630296e+03 9.215085e+03
1.450000e+00 4.659709e+03 9.287455e+03
1.460000e+00 4.690287e+03 9.359881e+03
1.470000e+00 4.722003e+03 9.432316e+03
1.480000e+00 4.754813e+03 9.504721e+03
1.490000e+00 4.788722e+03 9.577058e+03
1.500000e+00 4.823734e+03 9.649287e+03
1.510000e+00 4.859852e+03 9.721371e+03
1.520000e+00 4.897191e+03 9.793246e+03
1.530000e+00 4.935662e+03 9.864884e+03
1.540000e+00 4.975221e+03 9.936454e+03
1.550000e+00 5.015836e+03 1.000829e+04
1.560000e+00 5.057547e+03 1.007978e+04
1.570000e+00 5.100346e+03 1.015088e+04
1.580000e+00 5.144364e+03 1.022149e+04
1.590000e+00 5.188532e+03 1.029070e+04
1.600000e+00 5.232878e+03 1.035851e+04
1.610000e+00 5.278270e+03 1.042577e+04
1.620000e+00 5.324696e+03 1.049244e+04
1.630000e+00 5.372163e+03 1.055846e+04
1.640000e+00 5.420734e+03 1.062374e+04
1.650000e+00 5.470285e+03 1.068830e+04
1.660000e+00 5.520796e+03 1.075212e+04
1.670000e+00 5.572246e+03 1.081515e+04
1.680000e+00 5.624614e+03 1.087736e+04
1.690000e+00 5.677916e+03 1.093868e+04
1.700000e+00 5.732154e+03 1.099903e+04
1.710000e+00 5.787229e+03 1.105846e+04
1.720000e+00 5.843115e+03 1.111692e+04
1.730000e+00 5.899782e+03 1.117440e+04
1.740000e+00 5.957201e+03 1.123086e+04
1.750000e+00 6.015389e+03 1.128619e+04
1.760000e+00 6.074301e+03 1.134038e+04
1.770000e+00 6.133861e+03 1.139345e+04
1.780000e+00 6.194036e+03 1.144540e+04
1.790000e+00 6.254791e+03 1.149618e+04
1.800000e+00 6.316457e+03 1.154640e+04
1.810000e+00 6.378885e+03 1.159564e+04
1.820000e+00 6.441789e+03 1.164362e+04
1.830000e+00 6.505116e+03 1.169034e+04
1.840000e+00 6.568825e+03 1.173580e+04
1.850000e+00 6.632876e+03 1.177998e+04
1.860000e+00 6.697229e+03 1.182285e+04
1.870000e+00 6.761868e+03 1.186426e+04
1.880000e+00 6.828178e+03 1.190353e+04
1.890000e+00 6.895250e+03 1.194113e+04
1.900000e+00 6.962446e+03 1.197739e+04
1.910000e+00 7.029722e+03 1.201230e+04
1.920000e+00 7.097034e+03 1.204582e+04
1.930000e+00 7.164332e+03 1.207782e+04
1.940000e+00 7.231569e+03 1.210845e+04
1.950000e+00 7.298700e+03 1.213770e+04
1.960000e+00 7.365681e+03 1.216559e+04
1.970000e+00 7.432468e+03 1.219210e+04
1.980000e+00 7.499004e+03 1.221720e+04
1.990000e+00 7.565225e+03 1.224081e+04
2.000000e+00 7.630347e+03 1.226230e+04
2.010000e+00 7.694242e+03 1.228161e+04
2.020000e+00 7.757711e+03 1.229957e+04
2.030000e+00 7.820711e+03 1.231621e+04
2.040000e+00 7.883164e+03 1.233145e+04
2.050000e+00 7.945033e+03 1.234532e+04
2.060000e+00 8.007590e+03 1.235848e+04
2.070000e+00 8.069498e+03 1.237038e+04
2.080000e+00 8.130715e+03 1.238103e+04
2.090000e+00 8.191200e+03 1.239045e+04
2.100000e+00 8.250846e+03 1.239857e+04
2.110000e+00 8.309638e+03 1.240546e+04
2.120000e+00 8.367573e+03 1.241121e+04
2.130000e+00 8.424613e+03 1.241582e+04
2.140000e+00 8.480721e+03 1.241934e+04
2.150000e+00 8.535861e+03 1.242179e+04
2.160000e+00 8.589885e+03 1.242308e+04
2.170000e+00 8.642846e+03 1.242336e+04
2.180000e+00 8.694731e+03 1.242266e+04
2.190000e+00 8.745507e+03 1.242102e+04
2.200000e+00 8.795145e+03 1.241848e+04
2.210000e+00 8.843610e+03 1.241507e+04
2.220000e+00 8.890728e+03 1.241073e+04
2.230000e+00 8.936617e+03 1.240560e+04
2.240000e+00 8.981252e+03 1.239973e+04
2.250000e+00 9.024610e+03 1.239314e+04
2.260000e+00 9.066666e+03 1.238589e+04
2.270000e+00 9.107363e+03 1.237799e+04
2.280000e+00 9.146582e+03 1.236945e+04
2.290000e+00 9.184435e+03 1.236038e+04
2.300000e+00 9.220908e+03 1.235081e+04
2.310000e+00 9.256627e+03 1.234067e+04
2.320000e+00 9.291946e+03 1.232994e+04
2.330000e+00 9.325768e+03 1.231882e+04
2.340000e+00 9.358044e+03 1.230737e+04
2.350000e+00 9.390186e+03 1.229367e+04
2.360000e+00 9.421053e+03 1.227948e+04
2.370000e+00 9.450462e+03 1.226511e+04
2.380000e+00 9.478407e+03 1.225062e+04
2.390000e+00 9.504774e+03 1.223605e+04
2.400000e+00 9.529597e+03 1.222146e+04
2.410000e+00 9.552952e+03 1.220688e+04
2.420000e+00 9.574841e+03 1.219238e+04
2.430000e+00 9.595268e+03 1.217799e+04
2.440000e+00 9.614238e+03 1.216376e+04
2.450000e+00 9.631613e+03 1.214977e+04
2.460000e+00 9.647507e+03 1.213603e+04
2.470000e+00 9.661970e+03 1.212261e+04
2.480000e+00 9.675013e+03 1.210953e+04
2.490000e+00 9.686650e+03 1.209685e+04
2.500000e+00 9.696894e+03 1.208460e+04
2.510000e+00 9.705595e+03 1.207290e+04
2.520000e+00 9.711772e+03 1.206057e+04
2.530000e+00 9.716342e+03 1.204855e+04
2.540000e+00 9.719595e+03 1.203713e+04
2.550000e+00 9.721554e+03 1.202637e+04
2.560000e+00 9.722217e+03 1.201632e+04
2.570000e+00 9.722494e+03 1.200608e+04
2.580000e+00 9.721859e+03 1.199632e+04
2.590000e+00 9.720033e+03 1.198737e+04
2.600000e+00 9.717045e+03 1.197926e+04
2.610000e+00 9.712923e+03 1.197204e+04
2.620000e+00 9.707652e+03 1.196577e+04
2.630000e+00 9.701221e+03 1.196054e+04
2.640000e+00 9.693758e+03 1.195630e+04
2.650000e+00 9.685295e+03 1.195307e+04
2.660000e+00 9.675866e+03 1.195088e+04
2.670000e+00 9.665507e+03 1.194977e+04
2.680000e+00 9.654198e+03 1.194983e+04
2.690000e+00 9.641984e+03 1.195108e+04
2.700000e+00 9.628958e+03 1.195349e+04
2.710000e+00 9.615159e+03 1.195707e+04
2.720000e+00 9.600626e+03 1.196184e+04
2.730000e+00 9.585398e+03 1.196782e+04
2.740000e+00 9.569459e+03 1.197515e+04
2.750000e+00 9.552892e+03 1.198378e+04
2.760000e+00 9.535760e+03 1.199367e+04
2.770000e+00 9.518105e+03 1.200484e+04
2.780000e+00 9.499970e+03 1.201730e+04
2.790000e+00 9.481396e+03 1.203106e+04
2.800000e+00 9.462385e+03 1.204628e+04
2.810000e+00 9.443032e+03 1.206268e+04
2.820000e+00 9.423545e+03 1.207755e+04
2.830000e+00 9.404122e+03 1.209217e+04
2.840000e+00 9.384483e+03 1.210811e+04
2.850000e+00 9.364668e+03 1.212540e+04
2.860000e+00 9.344712e+03 1.214419e+04
2.870000e+00 9.324676e+03 1.216430e+04
2.880000e+00 9.304603e+03 1.218575e+04
2.890000e+00 9.284534e+03 1.220852e+04
2.900000e+00 9.264510e+03 1.223260e+04
2.910000e+00 9.244578e+03 1.225804e+04
2.920000e+00 9.224793e+03 1.228491e+04
2.930000e+00 9.205184e+03 1.231307e+04
2.940000e+00 9.185792e+03 1.234250e+04
2.950000e+00 9.166657e+03 1.237320e+04
2.960000e+00 9.147817e+03 1.240515e+04
2.970000e+00 9.129330e+03 1.243841e+04
2.980000e+00 9.111246e+03 1.247297e+04
2.990000e+00 9.093577e+03 1.250873e+04
3.000000e+00 9.076359e+03 1.254566e+04
3.010000e+00 9.059626e+03 1.258376e+04
3.020000e+00 9.043413e+03 1.262299e+04
3.030000e+00 9.027799e+03 1.266342e+04
3.040000e+00 9.012804e+03 1.270498e+04
3.050000e+00 8.998432e+03 1.274761e+04
3.060000e+00 8.984713e+03 1.279127e+04
3.070000e+00 8.971677e+03 1.283594e+04
