time [ns]	Wlong [V/pC]	Wxdip [V/(pC mm)]	Wydip [V/(pC mm)]	Wxquad [V/(pC mm)]	Wyquad [V/(pC mm)]
0.000000000000000000e+00	-1.558936242021348107e+03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000021054e-03	-1.496638677299031997e+03	9.085328155370509862e+00	4.769425988157131258e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000020858e-03	-1.434319509075149654e+03	9.986346645140107725e+00	5.274220416784931587e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000020879e-03	-1.359367564567152385e+03	1.046668152522198447e+01	5.492628558539000672e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000020900e-03	-1.272943888007659098e+03	1.083062504079757282e+01	5.589379720216057557e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000022655e-03	-1.185449883087643002e+03	1.118159327333323994e+01	5.673136085950875263e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000020942e-03	-1.079356596322930272e+03	1.128438360061263346e+01	5.513437967384884786e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000020962e-03	-9.723689158694247681e+02	1.137474109480582030e+01	5.342090892874483465e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000020983e-03	-8.587630970261727725e+02	1.136260942529449025e+01	5.085770524649360524e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000021871e-03	-7.379837306383680016e+02	1.123938746945397327e+01	4.737345711555705385e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000001929e-02	-6.170952151733096116e+02	1.111434362207454285e+01	4.387859061352413548e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000002018e-02	-4.889327698627584482e+02	1.086111593850980483e+01	3.985076300728238152e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000001933e-02	-3.607068920670285479e+02	1.060659986639488928e+01	3.582176002679763549e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000002022e-02	-2.322928168665195869e+02	1.033123286184298806e+01	3.213594458788235020e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000001937e-02	-1.037030912480349656e+02	1.003640504163794311e+01	2.877043662210979846e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000002026e-02	2.468420693195174564e+01	9.741411664127335612e+00	2.546077583530648614e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000002115e-02	1.469787345682659350e+02	9.461051917651511545e+00	2.346303711249813073e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000001857e-02	2.688628211792918705e+02	9.181579414332867728e+00	2.153271530911765375e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000002986e-02	3.846759857568148959e+02	8.913726094794458987e+00	2.027964860985371764e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000002034e-02	4.940828855063032847e+02	8.658133774149350259e+00	1.974124691995418956e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000002123e-02	6.031214919988254906e+02	8.402607291421970714e+00	1.922613477360240575e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000001865e-02	6.947318576192816408e+02	8.140384977293418700e+00	1.953989137100945461e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000001954e-02	7.858814727808487532e+02	7.877613668494223731e+00	1.986721691417044244e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000002043e-02	8.661579197106555057e+02	7.588524407817505590e+00	2.021502169473951671e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000002132e-02	9.360017139968221045e+02	7.274183440884098850e+00	2.058247601674465965e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000001874e-02	1.004803462588119828e+03	6.956575808773433955e+00	2.093246474946753644e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000001962e-02	1.050984997077243634e+03	6.560583659662950318e+00	2.070828251448816104e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000002051e-02	1.096097611233101588e+03	6.160983645495277550e+00	2.045412001987303885e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000002140e-02	1.129389342990549039e+03	5.723612296862824245e+00	1.980545153439929429e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000001882e-02	1.150539489138851422e+03	5.247444868936096185e+00	1.875157402145306129e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000001971e-02	1.170938866293921819e+03	4.769690927478447584e+00	1.767759334913683755e+00	0.000000000000000000e+00	0.000000000000000000e+00
