# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]	Wxquad [V/pC.mm]	Wyquad [V/pC.mm]
-6.671281903963000e-02	-6.817751922135053e-03	1.461384779788074e-04	7.109210243679616e-04	-4.067205011620407e-05	1.308679188800043e-04
-6.669947647582000e-02	-6.839820016307625e-03	1.466546077042729e-04	7.134524072396084e-04	-4.081794134253116e-05	1.313316490049114e-04
-6.668613391201000e-02	-6.861888110480198e-03	1.471707374297384e-04	7.159837901112552e-04	-4.096383256885824e-05	1.317953791298185e-04
-6.667279134821000e-02	-6.883956204636245e-03	1.476868671548173e-04	7.185151729810061e-04	-4.110972379507608e-05	1.322591092543784e-04
-6.665944878440000e-02	-6.906024298808817e-03	1.482029968802828e-04	7.210465558526528e-04	-4.125561502140315e-05	1.327228393792855e-04
-6.664610622059000e-02	-6.928092392981390e-03	1.487191266057483e-04	7.235779387242995e-04	-4.140150624773024e-05	1.331865695041926e-04
-6.663276365678000e-02	-6.950160487153963e-03	1.492352563312137e-04	7.261093215959462e-04	-4.154739747405733e-05	1.336502996290997e-04
-6.661942109297000e-02	-6.972267541407989e-03	1.497516991788156e-04	7.286414462559588e-04	-4.169360242717949e-05	1.341145030607639e-04
-6.660607852917000e-02	-6.994374772990672e-03	1.502681434513541e-04	7.311735742906752e-04	-4.183980880826785e-05	1.345787086465597e-04
-6.659273596536000e-02	-7.016482004589910e-03	1.507845877242793e-04	7.337057023272880e-04	-4.198601518946570e-05	1.350429142327032e-04
-6.657939340155000e-02	-7.038589236189149e-03	1.513010319972045e-04	7.362378303639006e-04	-4.213222157066356e-05	1.355071198188466e-04
-6.656605083774000e-02	-7.060696467788387e-03	1.518174762701297e-04	7.387699584005134e-04	-4.227842795186141e-05	1.359713254049901e-04
-6.655270827394000e-02	-7.082803699371071e-03	1.523339205426681e-04	7.413020864352298e-04	-4.242463433294977e-05	1.364355309907859e-04
-6.653936571013000e-02	-7.104910930970309e-03	1.528503648155933e-04	7.438342144718426e-04	-4.257084071414763e-05	1.368997365769293e-04
-6.652602314632000e-02	-7.127392456817276e-03	1.533765685610638e-04	7.464146857027841e-04	-4.271979721197745e-05	1.373726439151720e-04
-6.651268058251000e-02	-7.150546664416609e-03	1.539203120339914e-04	7.490820393394092e-04	-4.287369622037601e-05	1.378611900453176e-04
-6.649933801870000e-02	-7.173700872015944e-03	1.544640555069191e-04	7.517493929760343e-04	-4.302759522877457e-05	1.383497361754633e-04
-6.648599545490000e-02	-7.196855079597938e-03	1.550077989794396e-04	7.544167466106618e-04	-4.318149423705787e-05	1.388382823052431e-04
-6.647265289109000e-02	-7.220009287197272e-03	1.555515424523673e-04	7.570841002472869e-04	-4.333539324545643e-05	1.393268284353888e-04
-6.645931032728000e-02	-7.243163494796606e-03	1.560952859252950e-04	7.597514538839119e-04	-4.348929225385498e-05	1.398153745655345e-04
