# time [s]	Wlong [V/C]	Wxdip [V/C.m]	Wydip [V/C.m]	Wxquad [V/C.m]	Wyquad [V/C.m]
-6.671281903963000e-11	6.817751922135053e+09	1.461384779788074e+11	7.109210243679617e+11	-4.067205011620406e+10	1.308679188800043e+11
-6.669947647582000e-11	6.839820016307626e+09	1.466546077042729e+11	7.134524072396084e+11	-4.081794134253116e+10	1.313316490049114e+11
-6.668613391201000e-11	6.861888110480198e+09	1.471707374297384e+11	7.159837901112551e+11	-4.096383256885824e+10	1.317953791298185e+11
-6.667279134821001e-11	6.883956204636245e+09	1.476868671548173e+11	7.185151729810061e+11	-4.110972379507608e+10	1.322591092543784e+11
-6.665944878440000e-11	6.906024298808817e+09	1.482029968802828e+11	7.210465558526528e+11	-4.125561502140315e+10	1.327228393792855e+11
-6.664610622059000e-11	6.928092392981390e+09	1.487191266057483e+11	7.235779387242994e+11	-4.140150624773024e+10	1.331865695041926e+11
-6.663276365678000e-11	6.950160487153963e+09	1.492352563312137e+11	7.261093215959462e+11	-4.154739747405733e+10	1.336502996290997e+11
-6.661942109297002e-11	6.972267541407989e+09	1.497516991788156e+11	7.286414462559587e+11	-4.169360242717949e+10	1.341145030607639e+11
-6.660607852917001e-11	6.994374772990672e+09	1.502681434513541e+11	7.311735742906753e+11	-4.183980880826785e+10	1.345787086465597e+11
-6.659273596536000e-11	7.016482004589911e+09	1.507845877242793e+11	7.337057023272880e+11	-4.198601518946570e+10	1.350429142327032e+11
-6.657939340155000e-11	7.038589236189149e+09	1.513010319972045e+11	7.362378303639006e+11	-4.213222157066356e+10	1.355071198188466e+11
-6.656605083774000e-11	7.060696467788387e+09	1.518174762701297e+11	7.387699584005134e+11	-4.227842795186141e+10	1.359713254049901e+11
-6.655270827394001e-11	7.082803699371071e+09	1.523339205426681e+11	7.413020864352299e+11	-4.242463433294978e+10	1.364355309907859e+11
-6.653936571013001e-11	7.104910930970309e+09	1.528503648155933e+11	7.438342144718427e+11	-4.257084071414763e+10	1.368997365769293e+11
-6.652602314632000e-11	7.127392456817276e+09	1.533765685610638e+11	7.464146857027841e+11	-4.271979721197745e+10	1.373726439151720e+11
