# t_ns	Wlong_V/pC	Wx_dip_V/pCmm	Wy_dip_V/pCmm
0.000000000000e+00	2.706781452190e+02	0.000000000000e+00	0.000000000000e+00
1.000000000000e-03	2.706944555005e+02	-3.885624145706e-03	-3.885624145706e-03
2.000000000000e-03	2.707107657820e+02	-3.984223721570e-03	-3.984223721570e-03
3.000000000000e-03	2.707246280719e+02	-4.084055512915e-03	-4.084055512915e-03
4.000000000000e-03	2.707360423702e+02	-4.185119519714e-03	-4.185119519714e-03
5.000000000000e-03	2.707474566684e+02	-4.286183526527e-03	-4.286183526527e-03
6.000000000000e-03	2.707539433113e+02	-4.389592354710e-03	-4.389592354710e-03
7.000000000000e-03	2.707604299543e+02	-4.493001182893e-03	-4.493001182893e-03
8.000000000000e-03	2.707644376769e+02	-4.597518876006e-03	-4.597518876006e-03
9.000000000000e-03	2.707659664794e+02	-4.703145434023e-03	-4.703145434023e-03
1.000000000000e-02	2.707674952818e+02	-4.808771992051e-03	-4.808771992051e-03
1.100000000000e-02	2.707640376324e+02	-4.916481932803e-03	-4.916481932803e-03
1.200000000000e-02	2.707605799830e+02	-5.024191873554e-03	-5.024191873554e-03
1.300000000000e-02	2.707546156303e+02	-5.132872828431e-03	-5.132872828431e-03
1.400000000000e-02	2.707461445744e+02	-5.242524797414e-03	-5.242524797414e-03
1.500000000000e-02	2.707376735184e+02	-5.352176766407e-03	-5.352176766407e-03
1.600000000000e-02	2.707241638372e+02	-5.463622670983e-03	-5.463622670983e-03
1.700000000000e-02	2.707106541560e+02	-5.575068575559e-03	-5.575068575559e-03
1.800000000000e-02	2.706946134585e+02	-5.687334177428e-03	-5.687334177428e-03
1.900000000000e-02	2.706760417448e+02	-5.800419476571e-03	-5.800419476571e-03
2.000000000000e-02	2.706574700311e+02	-5.913504775722e-03	-5.913504775722e-03
2.100000000000e-02	2.706338147602e+02	-6.028068789534e-03	-6.028068789534e-03
2.200000000000e-02	2.706101594893e+02	-6.142632803346e-03	-6.142632803346e-03
2.300000000000e-02	2.705839526518e+02	-6.257852929374e-03	-6.257852929374e-03
2.400000000000e-02	2.705551942480e+02	-6.373729167605e-03	-6.373729167605e-03
2.500000000000e-02	2.705264358441e+02	-6.489605405842e-03	-6.489605405842e-03
2.600000000000e-02	2.704925567429e+02	-6.606621914582e-03	-6.606621914582e-03
2.700000000000e-02	2.704586776416e+02	-6.723638423322e-03	-6.723638423322e-03
2.800000000000e-02	2.704222304435e+02	-6.841136540525e-03	-6.841136540525e-03
2.900000000000e-02	2.703832151485e+02	-6.959116266182e-03	-6.959116266182e-03
3.000000000000e-02	2.703441998536e+02	-7.077095991842e-03	-7.077095991842e-03
3.100000000000e-02	2.703000349891e+02	-7.195857161455e-03	-7.195857161455e-03
3.200000000000e-02	2.702558701246e+02	-7.314618331068e-03	-7.314618331068e-03
3.300000000000e-02	2.702091248711e+02	-7.433677174331e-03	-7.433677174331e-03
3.400000000000e-02	2.701597992285e+02	-7.553033691236e-03	-7.553033691236e-03
3.500000000000e-02	2.701104735859e+02	-7.672390208144e-03	-7.672390208144e-03
3.600000000000e-02	2.700559781655e+02	-7.792152061934e-03	-7.792152061934e-03
3.700000000000e-02	2.700014827451e+02	-7.911913915724e-03	-7.911913915724e-03
3.800000000000e-02	2.699443990583e+02	-8.031781687465e-03	-8.031781687465e-03
3.900000000000e-02	2.698847271052e+02	-8.151755377156e-03	-8.151755377156e-03
4.000000000000e-02	2.698250551521e+02	-8.271729066847e-03	-8.271729066847e-03
4.100000000000e-02	2.697602021870e+02	-8.391718036117e-03	-8.391718036117e-03
4.200000000000e-02	2.696953492219e+02	-8.511707005388e-03	-8.511707005388e-03
4.300000000000e-02	2.696279046610e+02	-8.631604031684e-03	-8.631604031684e-03
4.400000000000e-02	2.695578685046e+02	-8.751409115008e-03	-8.751409115008e-03
4.500000000000e-02	2.694878323481e+02	-8.871214198330e-03	-8.871214198330e-03
4.600000000000e-02	2.694126131402e+02	-8.990634076792e-03	-8.990634076792e-03
4.700000000000e-02	2.693373939323e+02	-9.110053955253e-03	-9.110053955253e-03
4.800000000000e-02	2.692595844347e+02	-9.229179727254e-03	-9.229179727254e-03
4.900000000000e-02	2.691791846474e+02	-9.348011392799e-03	-9.348011392799e-03
5.000000000000e-02	2.690987848602e+02	-9.466843058339e-03	-9.466843058339e-03
5.100000000000e-02	2.690132093052e+02	-9.584882285188e-03	-9.584882285188e-03
5.200000000000e-02	2.689276337502e+02	-9.702921512037e-03	-9.702921512037e-03
5.300000000000e-02	2.688394738875e+02	-9.820462036416e-03	-9.820462036416e-03
5.400000000000e-02	2.687487297170e+02	-9.937503858337e-03	-9.937503858337e-03
5.500000000000e-02	2.686579855465e+02	-1.005454568025e-02	-1.005454568025e-02
5.600000000000e-02	2.685620822488e+02	-1.017038487238e-02	-1.017038487238e-02
5.700000000000e-02	2.684661789511e+02	-1.028622406451e-02	-1.028622406451e-02
5.800000000000e-02	2.683677019965e+02	-1.040135944248e-02	-1.040135944248e-02
5.900000000000e-02	2.682666513852e+02	-1.051579100633e-02	-1.051579100633e-02
6.000000000000e-02	2.681656007738e+02	-1.063022257017e-02	-1.063022257017e-02
6.100000000000e-02	2.680594169712e+02	-1.074304222049e-02	-1.074304222049e-02
6.200000000000e-02	2.679532331685e+02	-1.085586187081e-02	-1.085586187081e-02
6.300000000000e-02	2.678444909744e+02	-1.096777402204e-02	-1.096777402204e-02
6.400000000000e-02	2.677331903889e+02	-1.107877867420e-02	-1.107877867420e-02
6.500000000000e-02	2.676218898034e+02	-1.118978332635e-02	-1.118978332635e-02
6.600000000000e-02	2.675054911014e+02	-1.129877158277e-02	-1.129877158277e-02
6.700000000000e-02	2.673890923995e+02	-1.140775983919e-02	-1.140775983919e-02
6.800000000000e-02	2.672701550842e+02	-1.151564028461e-02	-1.151564028461e-02
6.900000000000e-02	2.671486791558e+02	-1.162241291904e-02	-1.162241291904e-02
7.000000000000e-02	2.670272032274e+02	-1.172918555345e-02	-1.172918555345e-02
7.100000000000e-02	2.669006731465e+02	-1.183354599154e-02	-1.183354599154e-02
7.200000000000e-02	2.667741430656e+02	-1.193790642963e-02	-1.193790642963e-02
7.300000000000e-02	2.666450985146e+02	-1.204096404616e-02	-1.204096404616e-02
7.400000000000e-02	2.665135394935e+02	-1.214271884116e-02	-1.214271884116e-02
7.500000000000e-02	2.663819804724e+02	-1.224447363615e-02	-1.224447363615e-02
7.600000000000e-02	2.662454198111e+02	-1.234343293822e-02	-1.234343293822e-02
7.700000000000e-02	2.661088591498e+02	-1.244239224030e-02	-1.244239224030e-02
7.800000000000e-02	2.659698123341e+02	-1.253986090030e-02	-1.253986090030e-02
7.900000000000e-02	2.658282793639e+02	-1.263583891826e-02	-1.263583891826e-02
8.000000000000e-02	2.656867463937e+02	-1.273181693620e-02	-1.273181693620e-02
8.100000000000e-02	2.655402724161e+02	-1.282463239024e-02	-1.282463239024e-02
8.200000000000e-02	2.653937984385e+02	-1.291744784429e-02	-1.291744784429e-02
8.300000000000e-02	2.652448705596e+02	-1.300859385342e-02	-1.300859385342e-02
8.400000000000e-02	2.650934887795e+02	-1.309807041769e-02	-1.309807041769e-02
8.500000000000e-02	2.649421069994e+02	-1.318754698193e-02	-1.318754698193e-02
8.600000000000e-02	2.647858524544e+02	-1.327351371551e-02	-1.327351371551e-02
8.700000000000e-02	2.646295979095e+02	-1.335948044910e-02	-1.335948044910e-02
8.800000000000e-02	2.644709253792e+02	-1.344360969852e-02	-1.344360969852e-02
8.900000000000e-02	2.643098348637e+02	-1.352590146383e-02	-1.352590146383e-02
9.000000000000e-02	2.641487443482e+02	-1.360819322912e-02	-1.360819322912e-02
9.100000000000e-02	2.639828563330e+02	-1.368665109629e-02	-1.368665109629e-02
