# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]	Wxquad [V/pC.mm]	Wyquad [V/pC.mm]
-1.140645105960174e-01	1.916513100000000e-08	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
-1.138560330365055e-01	1.703396200000000e-08	5.577423100000000e-12	2.300408600000000e-11	2.678327799999979e-14	-1.055741200000000e-12
-1.136475554769936e-01	6.845395799999999e-09	9.854025200000001e-12	4.060724500000000e-11	-5.912447000000000e-13	2.305341200000001e-12
-1.134390779174816e-01	7.312682700000000e-09	1.362105760000000e-11	5.641535200000000e-11	-1.169374200000000e-12	4.106871200000001e-12
-1.132306003579697e-01	7.851271299999997e-09	1.768481200000000e-11	7.348598000000000e-11	-1.796091400000000e-12	6.064800500000000e-12
-1.130221227984577e-01	8.428895899999999e-09	2.206829800000000e-11	9.191857199999999e-11	-2.475458800000000e-12	8.192626199999999e-12
-1.128136452389458e-01	9.048338000000000e-09	2.679623800000000e-11	1.118202400000000e-10	-3.211905600000001e-12	1.050523800000000e-11
-1.126051676794339e-01	9.712573599999999e-09	3.189521700000000e-11	1.333061000000000e-10	-4.010235900000001e-12	1.301863300000000e-11
-1.123966901199219e-01	1.042478810000000e-08	3.739387900000000e-11	1.564999800000000e-10	-4.875684400000000e-12	1.575012600000000e-11
-1.121881792040005e-01	1.118838190000000e-08	4.332301600000000e-11	1.815350400000000e-10	-5.813893000000001e-12	1.871849100000000e-11
-1.119797016444885e-01	1.200700350000000e-08	4.971576400000000e-11	2.085546700000000e-10	-6.830902900000002e-12	2.194383500000000e-11
-1.117712240849766e-01	1.288454450000000e-08	5.660781800000000e-11	2.377130800000000e-10	-7.933172400000001e-12	2.544732200000000e-11
-1.115627465254647e-01	1.382517680000000e-08	6.403750499999999e-11	2.691765900000000e-10	-9.127528000000000e-12	2.925160800000000e-11
-1.113542689659527e-01	1.483335400000000e-08	7.204607899999999e-11	3.031242200000000e-10	-1.042129780000000e-11	3.338135800000000e-11
-1.111457914064408e-01	1.591384100000000e-08	8.067791499999998e-11	3.397495200000000e-10	-1.182238110000000e-11	3.786307100000001e-11
-1.109373138469289e-01	1.707172300000000e-08	8.998080500000001e-11	3.792608300000000e-10	-1.333936520000000e-11	4.272555100000000e-11
-1.107288362874169e-01	1.831246400000000e-08	1.000061740000000e-10	4.218835100000000e-10	-1.498169130000000e-11	4.800059600000000e-11
-1.105203587279050e-01	1.964188800000000e-08	1.108094310000000e-10	4.678594400000001e-10	-1.675978290000000e-11	5.372348200000000e-11
-1.103118478119835e-01	2.106619900000000e-08	1.224500610000000e-10	5.174488800000000e-10	-1.868490360000000e-11	5.993259800000001e-11
-1.101033702524716e-01	2.259206600000000e-08	1.349919780000000e-10	5.709311600000000e-10	-2.076926120000000e-11	6.666936300000000e-11
-1.098948926929596e-01	2.422658900000000e-08	1.485036630000000e-10	6.286054800000000e-10	-2.302601510000000e-11	7.397792799999998e-11
-1.096864151334477e-01	2.597738400000000e-08	1.630586300000000e-10	6.907935200000000e-10	-2.546912710000000e-11	8.190528800000000e-11
-1.094779375739358e-01	2.785254700000001e-08	1.787357900000000e-10	7.578405399999998e-10	-2.811345730000000e-11	9.050119000000000e-11
-1.092694600144238e-01	2.986076699999999e-08	1.956201400000000e-10	8.301187499999998e-10	-3.097479010000000e-11	9.981822100000000e-11
-1.090609824549119e-01	3.201130800000000e-08	2.138028600000000e-10	9.080291899999999e-10	-3.407023040000000e-11	1.099131420000000e-10
-1.088525048954000e-01	3.431407200000000e-08	2.333823700000000e-10	9.920048000000000e-10	-3.741835410000000e-11	1.208484540000000e-10
-1.086440273358880e-01	3.677964000000000e-08	2.544646000000000e-10	1.082512300000000e-09	-4.103932540000000e-11	1.326922360000000e-10
-1.084355164199666e-01	3.941927900000000e-08	2.771633900000000e-10	1.180053900000000e-09	-4.495514400000000e-11	1.455193720000000e-10
-1.082270388604546e-01	4.224510500000000e-08	3.016009200000000e-10	1.285168300000000e-09	-4.918959520000001e-11	1.594107230000000e-10
-1.080185613009427e-01	4.526993699999999e-08	3.279077200000000e-10	1.398432400000000e-09	-5.376836010000001e-11	1.744529740000000e-10
-1.078100837414308e-01	4.850759300000000e-08	3.562242300000000e-10	1.520464600000000e-09	-5.871905299999999e-11	1.907390950000000e-10
-1.076016061819188e-01	5.197270800000000e-08	3.867006100000000e-10	1.651927800000000e-09	-6.407134140000000e-11	2.083686960000000e-10
-1.073931286224069e-01	5.568099800000000e-08	4.194979300000000e-10	1.793532900000000e-09	-6.985710629999998e-11	2.274497420000000e-10
-1.071846510628950e-01	5.964919100000000e-08	4.547897400000000e-10	1.946047000000000e-09	-7.611050660000000e-11	2.481000720000000e-10
-1.069761735033830e-01	6.389514699999999e-08	4.927625899999999e-10	2.110296200000000e-09	-8.286840189999998e-11	2.704484400000000e-10
-1.067676959438711e-01	6.843794600000000e-08	5.336167199999999e-10	2.287171600000000e-09	-9.017062830000000e-11	2.946330900000000e-10
-1.065591850279497e-01	7.329790600000000e-08	5.775673700000000e-10	2.477628500000000e-09	-9.805964840000001e-11	3.208004800000000e-10
-1.063507074684377e-01	7.849681700000000e-08	6.248451800000000e-10	2.682695900000000e-09	-1.065815827000000e-10	3.491068200000000e-10
-1.061422299089258e-01	8.405775600000001e-08	6.756972999999999e-10	2.903475600000000e-09	-1.157862024000000e-10	3.797197400000000e-10
-1.059337523494139e-01	9.000554000000000e-08	7.303891600000000e-10	3.141148100000000e-09	-1.257274991000000e-10	4.128167499999999e-10
-1.057252747899019e-01	9.636647700000000e-08	7.892051000000000e-10	3.396978300000000e-09	-1.364631541000000e-10	4.485892200000000e-10
-1.055167972303900e-01	1.031687300000000e-07	8.524506500000000e-10	3.672323900000000e-09	-1.480561594000000e-10	4.872505600000000e-10
-1.053083196708780e-01	1.104423200000000e-07	9.204535600000000e-10	3.968646400000000e-09	-1.605746288000000e-10	5.290353699999999e-10
-1.050998421113661e-01	1.182191900000000e-07	9.935665099999999e-10	4.287516500000000e-09	-1.740916708000000e-10	5.741956200000000e-10
-1.048913311954447e-01	1.265335900000000e-07	1.072166290000000e-09	4.630617400000000e-09	-1.886854004000000e-10	6.230017199999999e-10
-1.046828536359327e-01	1.354217700000000e-07	1.156657280000000e-09	4.999761299999998e-09	-2.044386919000000e-10	6.757417100000000e-10
-1.044743760764208e-01	1.449227000000000e-07	1.247472050000000e-09	5.396886799999999e-09	-2.214408013000000e-10	7.327223500000000e-10
-1.042658985169088e-01	1.550775600000001e-07	1.345073380000000e-09	5.824071199999998e-09	-2.397870340000000e-10	7.942679899999999e-10
-1.040574209573969e-01	1.659307100000000e-07	1.449957730000000e-09	6.283544600000000e-09	-2.595802130000000e-10	8.607251399999999e-10
-1.038489433978850e-01	1.775288600000000e-07	1.562657350000000e-09	6.777695999999999e-09	-2.809332510000000e-10	9.324704800000001e-10
-1.036404658383730e-01	1.899223700000000e-07	1.683743000000000e-09	7.309088900000000e-09	-3.039682910000000e-10	1.009910670000000e-09
-1.034319882788611e-01	2.031645300000000e-07	1.813826400000000e-09	7.880475899999998e-09	-3.288163100000000e-10	1.093487980000000e-09
-1.032235107193492e-01	2.173121600000000e-07	1.953566200000000e-09	8.494808699999998e-09	-3.556169120000000e-10	1.183683440000000e-09
-1.030149998034277e-01	2.324262000000001e-07	2.103666000000000e-09	9.155262699999999e-09	-3.845198810000000e-10	1.281022640000000e-09
-1.028065222439158e-01	2.485707700000000e-07	2.264881500000000e-09	9.865248999999999e-09	-4.156864070000000e-10	1.386072130000000e-09
-1.025980446844038e-01	2.658152900000000e-07	2.438022300000000e-09	1.062841600000000e-08	-4.492881770000000e-10	1.499433780000000e-09
-1.023895671248919e-01	2.842324500000000e-07	2.623951400000000e-09	1.144867600000000e-08	-4.855069979999999e-10	1.621739010000000e-09
-1.021810895653800e-01	3.039007000000000e-07	2.823596100000000e-09	1.233021600000000e-08	-5.245387349999999e-10	1.753664590000000e-09
-1.019726120058680e-01	3.249031600000000e-07	3.037944300000000e-09	1.327751000000000e-08	-5.665953420000001e-10	1.895937040000000e-09
-1.017641344463561e-01	3.473282800000001e-07	3.268060999999999e-09	1.429535500000000e-08	-6.119046699999999e-10	2.049330200000000e-09
-1.015556568868442e-01	3.712704700000000e-07	3.515081899999999e-09	1.538889100000000e-08	-6.607147530000001e-10	2.214687830000000e-09
-1.013471793273322e-01	3.968299200000000e-07	3.780224299999999e-09	1.656360700000000e-08	-7.132935950000000e-10	2.392921079999999e-09
-1.011386684114108e-01	4.241138300000001e-07	4.064794199999998e-09	1.782542000000000e-08	-7.699325639999998e-10	2.585018440000000e-09
-1.009301908518988e-01	4.532356200000001e-07	4.370187300000000e-09	1.918067700000000e-08	-8.309438259999998e-10	2.792038290000000e-09
-1.007217132923869e-01	4.843168500000000e-07	4.697893999999999e-09	2.063616800000000e-08	-8.966602089999999e-10	3.015098440000000e-09
-1.005132357328750e-01	5.174857800000001e-07	5.049507699999999e-09	2.219914200000000e-08	-9.674351779999999e-10	3.255389050000000e-09
-1.003047581733630e-01	5.528801300000002e-07	5.426729799999999e-09	2.387737300000000e-08	-1.043647061000000e-09	3.514196540000000e-09
-1.000962806138511e-01	5.906454500000000e-07	5.831379400000000e-09	2.567914400000000e-08	-1.125704934000000e-09	3.792921719999999e-09
-9.988780305433916e-02	6.309371000000002e-07	6.265406699999998e-09	2.761336300000000e-08	-1.214046795000000e-09	4.093071709999999e-09
-9.967932549482722e-02	6.739204600000000e-07	6.730900700000000e-09	2.968954400000000e-08	-1.309141288000000e-09	4.416256850000000e-09
-9.947084793531528e-02	7.197708700000002e-07	7.230100599999999e-09	3.191789699999999e-08	-1.411485184000000e-09	4.764189250000000e-09
-9.926233701939383e-02	7.686758800000001e-07	7.765405199999999e-09	3.430937200000000e-08	-1.521609970000000e-09	5.138698350000000e-09
-9.905385945988190e-02	8.208332500000000e-07	8.339379199999998e-09	3.687566000000000e-08	-1.640087068999999e-09	5.541759909999999e-09
-9.884538190036996e-02	8.764555800000001e-07	8.954757899999997e-09	3.962928800000000e-08	-1.767532286000000e-09	5.975500030000000e-09
-9.863690434085802e-02	9.357666400000001e-07	9.614459499999999e-09	4.258365900000000e-08	-1.904607126000000e-09	6.442212369999999e-09
-9.842842678134610e-02	9.990061800000001e-07	1.032159960000000e-08	4.575303800000000e-08	-2.052025841000000e-09	6.944361769999998e-09
-9.821994922183415e-02	1.066427500000000e-06	1.107950180000000e-08	4.915268700000000e-08	-2.210565922000000e-09	7.484641909999997e-09
-9.801147166232221e-02	1.138300900000000e-06	1.189172050000000e-08	5.279891500000000e-08	-2.381074375000000e-09	8.065937985999999e-09
-9.780299410281029e-02	1.214913800000000e-06	1.276206640000000e-08	5.670916800000000e-08	-2.564459772000000e-09	8.691279441999996e-09
-9.759451654329834e-02	1.296570300000000e-06	1.369460970000000e-08	6.090217800000000e-08	-2.761682567999999e-09	9.363828609999998e-09
-9.738600562737690e-02	1.383596100000000e-06	1.469370900000000e-08	6.539796000000000e-08	-2.973759374000000e-09	1.008691863200000e-08
-9.717752806786496e-02	1.476333700000000e-06	1.576401700000000e-08	7.021796900000001e-08	-3.201747091000000e-09	1.086406542000000e-08
-9.696905050835303e-02	1.575151800000000e-06	1.691049900000000e-08	7.538513099999998e-08	-3.446749952000000e-09	1.169903560000000e-08
-9.676057294884109e-02	1.680436400000000e-06	1.813846300000000e-08	8.092401500000001e-08	-3.709936881000000e-09	1.259594680100000e-08
-9.655209538932916e-02	1.792602200000000e-06	1.945358500000000e-08	8.686079400000001e-08	-3.992577994999999e-09	1.355930263000000e-08
-9.634361782981722e-02	1.912086200000000e-06	2.086192000000000e-08	9.322339000000001e-08	-4.296073767000000e-09	1.459404320000000e-08
-9.613514027030529e-02	2.039356600000000e-06	2.236992500000000e-08	1.000415700000000e-07	-4.621961152999999e-09	1.570551448000000e-08
-9.592666271079335e-02	2.174906200000000e-06	2.398446700000000e-08	1.073469900000000e-07	-4.971932904999999e-09	1.689952839000000e-08
-9.571818515128142e-02	2.319259000000000e-06	2.571287600000000e-08	1.151734300000000e-07	-5.347821512000000e-09	1.818231780000000e-08
-9.550967423535997e-02	2.472977000000000e-06	2.756297000000000e-08	1.235571100000000e-07	-5.751573362000000e-09	1.956034690000000e-08
-9.530119667584802e-02	2.636646700000000e-06	2.954308100000000e-08	1.325366800000000e-07	-6.185228431999999e-09	2.104044750000000e-08
-9.509271911633610e-02	2.810901700000000e-06	3.166212900000000e-08	1.421535700000000e-07	-6.650919115999998e-09	2.262978700000000e-08
-9.488424155682416e-02	2.996403500000000e-06	3.392962600000000e-08	1.524520900000001e-07	-7.150896460999998e-09	2.433601350000000e-08
-9.467576399731222e-02	3.193870900000000e-06	3.635576800000000e-08	1.634795400000000e-07	-7.687542446999998e-09	2.616722370000000e-08
-9.446728643780029e-02	3.404053600000001e-06	3.895142700000000e-08	1.752864200000000e-07	-8.263410874999997e-09	2.813212890000000e-08
-9.425880887828836e-02	3.627741700000000e-06	4.172824200000000e-08	1.879266100000000e-07	-8.881251790000001e-09	3.024004060000000e-08
-9.405033131877641e-02	3.865792000000000e-06	4.469854000000000e-08	2.014574600000000e-07	-9.544014838999998e-09	3.250090849999999e-08
-9.384185375926449e-02	4.119100100000000e-06	4.787548800000001e-08	2.159400300000000e-07	-1.025489995000000e-08	3.492563890000000e-08
-9.363334284334301e-02	4.388612600000000e-06	5.127306500000000e-08	2.314397400000000e-07	-1.101732473800000e-08	3.752590640000001e-08
-9.342486528383109e-02	4.675331600000000e-06	5.490615400000001e-08	2.480262900000000e-07	-1.183495228740000e-08	4.031449280000000e-08
-9.321638772431914e-02	4.980335500000001e-06	5.879069600000000e-08	2.657744400000000e-07	-1.271170038050000e-08	4.330532310000001e-08
-9.300791016480721e-02	5.304750100000000e-06	6.294361100000000e-08	2.847635000000000e-07	-1.365178089440000e-08	4.651307130000001e-08
-9.279943260529529e-02	5.649783500000000e-06	6.738305000000000e-08	3.050781000000000e-07	-1.465970395800000e-08	4.995334290000000e-08
-9.259095504578334e-02	6.016706900000000e-06	7.212832699999999e-08	3.268082600000000e-07	-1.574027233500000e-08	5.364240330000000e-08
-9.238247748627140e-02	6.406872900000001e-06	7.719999700000001e-08	3.500495700000000e-07	-1.689853185300000e-08	5.759694100000001e-08
-9.217399992675948e-02	6.821714400000001e-06	8.261997700000000e-08	3.749042700000000e-07	-1.813984527800000e-08	6.183411830000000e-08
-9.196552236724753e-02	7.262744400000000e-06	8.841154200000000e-08	4.014809700000000e-07	-1.946986491500000e-08	6.637212900000000e-08
-9.175701145132609e-02	7.731580400000001e-06	9.459950300000000e-08	4.298962400000000e-07	-2.089468810000000e-08	7.123081600000001e-08
-9.154853389181415e-02	8.229910200000001e-06	1.012103000000000e-07	4.602745500000001e-07	-2.242085072700000e-08	7.643220899999998e-08
-9.134005633230222e-02	8.759558000000000e-06	1.082721240000000e-07	4.927490700000001e-07	-2.405551416000000e-08	8.200106900000001e-08
-9.113157877279028e-02	9.322415999999999e-06	1.158150040000000e-07	5.274610700000002e-07	-2.580636795000000e-08	8.796434400000002e-08
-9.092310121327835e-02	9.920523000000001e-06	1.238708590000000e-07	5.645608600000002e-07	-2.768149385000000e-08	9.435039200000000e-08
-9.071462365376641e-02	1.055601100000000e-05	1.324735880000000e-07	6.042078000000001e-07	-2.968951130000000e-08	1.011886630000000e-07
-9.050614609425447e-02	1.123115500000000e-05	1.416592900000000e-07	6.465709300000001e-07	-3.183942504000000e-08	1.085094050000000e-07
-9.029766853474254e-02	1.194836300000000e-05	1.514663700000000e-07	6.918300000000002e-07	-3.414082022000000e-08	1.163442350000000e-07
-9.008919097523060e-02	1.271016500000000e-05	1.619356800000000e-07	7.401769400000002e-07	-3.660391672000000e-08	1.247273610000000e-07
-8.988068005930916e-02	1.351927500000000e-05	1.731108000000000e-07	7.918170300000000e-07	-3.923975138000000e-08	1.336957750000000e-07
-8.967220249979721e-02	1.437851700000000e-05	1.850380800000000e-07	8.469691000000000e-07	-4.206029582000000e-08	1.432903050000000e-07
-8.946372494028527e-02	1.529094100000000e-05	1.977670200000000e-07	9.058684000000001e-07	-4.507830341000000e-08	1.535547540000001e-07
-8.925524738077335e-02	1.625969900000000e-05	2.113499600000000e-07	9.687639000000001e-07	-4.830726087000000e-08	1.645348590000000e-07
-8.904676982126140e-02	1.728820200000000e-05	2.258428800000001e-07	1.035920000000000e-06	-5.176140099000000e-08	1.762781840000000e-07
-8.883829226174947e-02	1.837999600000000e-05	2.413048600000000e-07	1.107617600000000e-06	-5.545577194000001e-08	1.888340630000000e-07
-8.862981470223755e-02	1.953887700000000e-05	2.577990000000000e-07	1.184153700000000e-06	-5.940636173000000e-08	2.022543500000000e-07
-8.842133714272560e-02	2.076883800000000e-05	2.753922400000000e-07	1.265844100000000e-06	-6.363030831000000e-08	2.165950990000000e-07
-8.821285958321368e-02	2.207407800000000e-05	2.941556400000000e-07	1.353024900000000e-06	-6.814604230000000e-08	2.319179450000000e-07
-8.800434866729222e-02	2.345911100000000e-05	3.141648100000001e-07	1.446054700000000e-06	-7.297306340000000e-08	2.482894760000000e-07
-8.779587110778028e-02	2.492862500000000e-05	3.355005400000001e-07	1.545316400000000e-06	-7.813206810000000e-08	2.657812240000000e-07
-8.758739354826835e-02	2.648765700000000e-05	3.582480500000000e-07	1.651217000000000e-06	-8.364502820000000e-08	2.844697090000000e-07
-8.737891598875641e-02	2.814142600000000e-05	3.824983700000000e-07	1.764187900000000e-06	-8.953521060000000e-08	3.044349180000000e-07
-8.717043842924448e-02	2.989555800000000e-05	4.083474700000000e-07	1.884686900000000e-06	-9.582753880000001e-08	3.257614520000001e-07
-8.696196086973254e-02	3.175592000000001e-05	4.358974600000000e-07	2.013199800000000e-06	-1.025488553000000e-07	3.485386630000000e-07
-8.675348331022061e-02	3.372875200000000e-05	4.652564500000001e-07	2.150240500000000e-06	-1.097282322000000e-07	3.728622400000000e-07
-8.654500575070867e-02	3.582064000000000e-05	4.965397200000000e-07	2.296355600000000e-06	-1.173966801000000e-07	3.988337900000000e-07
-8.633652819119673e-02	3.803850900000000e-05	5.298695500000001e-07	2.452127600000000e-06	-1.255870301000000e-07	4.265603600000000e-07
-8.612801727527528e-02	4.038975400000000e-05	5.653765700000002e-07	2.618177000000000e-06	-1.343337773000000e-07	4.561558400000001e-07
-8.591953971576334e-02	4.288203500000000e-05	6.031989600000000e-07	2.795165800000000e-06	-1.436732071000000e-07	4.877391600000001e-07
-8.571106215625141e-02	4.552367200000000e-05	6.434844300000000e-07	2.983797400000000e-06	-1.536431090000000e-07	5.214342600000001e-07
-8.550258459673947e-02	4.832318700000000e-05	6.863886000000002e-07	3.184818700000000e-06	-1.642831174000000e-07	5.573699500000000e-07
-8.529410703722753e-02	5.128979300000000e-05	7.320767600000000e-07	3.399020600000000e-06	-1.756356733000000e-07	5.956864800000002e-07
-8.508562947771560e-02	5.443306700000000e-05	7.807236500000000e-07	3.627240300000000e-06	-1.877462603000000e-07	6.365363900000000e-07
