# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]
0.000000000000000e+00	1.686573465989000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000000000000e-03	1.705934955692000e+00	-1.220619718442000e-02	-1.263449610125000e-02
2.000000000000000e-03	1.725296445395000e+00	-1.262005002150000e-02	-1.308173604596000e-02
3.000000000000000e-03	1.743042507445000e+00	-1.303658280028000e-02	-1.353162008373000e-02
4.000000000000000e-03	1.759173141876000e+00	-1.345579552070000e-02	-1.398414821450000e-02
5.000000000000000e-03	1.775303776289000e+00	-1.387500824115000e-02	-1.443667634529000e-02
6.000000000000000e-03	1.788053295072000e+00	-1.429772738450000e-02	-1.489233570917000e-02
7.000000000000000e-03	1.800802813854000e+00	-1.472044652784000e-02	-1.534799507304000e-02
8.000000000000000e-03	1.811799977670000e+00	-1.514396519043000e-02	-1.580411238476000e-02
8.999999999999999e-03	1.821044786557000e+00	-1.556828337223000e-02	-1.626068764430000e-02
1.000000000000000e-02	1.830289595424000e+00	-1.599260155403000e-02	-1.671726290383000e-02
1.100000000000000e-02	1.835933991801000e+00	-1.641657025990000e-02	-1.717249577707000e-02
1.200000000000000e-02	1.841578388178000e+00	-1.684053896576000e-02	-1.762772865032000e-02
1.300000000000000e-02	1.845389158034000e+00	-1.726334471556000e-02	-1.808114766522000e-02
1.400000000000000e-02	1.847366301409000e+00	-1.768498750934000e-02	-1.853275282181000e-02
1.500000000000000e-02	1.849343444764000e+00	-1.810663030309000e-02	-1.898435797837000e-02
1.600000000000000e-02	1.847616062093000e+00	-1.852395634247000e-02	-1.943003925975000e-02
1.700000000000000e-02	1.845888679422000e+00	-1.894128238186000e-02	-1.987572054114000e-02
1.800000000000000e-02	1.842305397215000e+00	-1.935545427643000e-02	-2.031729459594000e-02
1.900000000000000e-02	1.836866215514000e+00	-1.976647202627000e-02	-2.075476142424000e-02
2.000000000000000e-02	1.831427033793000e+00	-2.017748977606000e-02	-2.119222825249000e-02
2.100000000000000e-02	1.822298935157000e+00	-2.058022080766000e-02	-2.161921209048000e-02
2.200000000000000e-02	1.813170836521000e+00	-2.098295183926000e-02	-2.204619592847000e-02
2.300000000000000e-02	1.802224735611000e+00	-2.138056373676000e-02	-2.246682320929000e-02
2.400000000000000e-02	1.789460632468000e+00	-2.177305650029000e-02	-2.288109393307000e-02
2.500000000000000e-02	1.776696529306000e+00	-2.216554926374000e-02	-2.329536465676000e-02
2.600000000000000e-02	1.760378960510000e+00	-2.254589272083000e-02	-2.369474670311000e-02
2.700000000000000e-02	1.744061391713000e+00	-2.292623617793000e-02	-2.409412874945000e-02
2.800000000000000e-02	1.726022832842000e+00	-2.329957640871000e-02	-2.448501384855000e-02
2.900000000000000e-02	1.706263283933000e+00	-2.366591341334000e-02	-2.486740200059000e-02
3.000000000000000e-02	1.686503735006000e+00	-2.403225041788000e-02	-2.524979015253000e-02
3.100000000000000e-02	1.663441688713000e+00	-2.438279073532000e-02	-2.561316483032000e-02
3.200000000000000e-02	1.640379642419000e+00	-2.473333105276000e-02	-2.597653950812000e-02
3.300000000000000e-02	1.615749482108000e+00	-2.507511763982000e-02	-2.632944781021000e-02
3.400000000000000e-02	1.589551207813000e+00	-2.540815049670000e-02	-2.667188973684000e-02
3.500000000000000e-02	1.563352933502000e+00	-2.574118335347000e-02	-2.701433166335000e-02
3.600000000000000e-02	1.534210026996000e+00	-2.605508941556000e-02	-2.733403578264000e-02
3.700000000000000e-02	1.505067120490000e+00	-2.636899547764000e-02	-2.765373990194000e-02
3.800000000000000e-02	1.474559510872000e+00	-2.667257984823000e-02	-2.796123622560000e-02
3.900000000000000e-02	1.442687198173000e+00	-2.696584252754000e-02	-2.825652475387000e-02
4.000000000000000e-02	1.410814885460000e+00	-2.725910520673000e-02	-2.855181328200000e-02
4.100000000000000e-02	1.376450106829000e+00	-2.753032120521000e-02	-2.882114778382000e-02
4.200000000000000e-02	1.342085328198000e+00	-2.780153720369000e-02	-2.909048228564000e-02
4.300000000000000e-02	1.306602585103000e+00	-2.806108970452000e-02	-2.934614572966000e-02
4.400000000000000e-02	1.270001877568000e+00	-2.830897870793000e-02	-2.958813811618000e-02
4.500000000000000e-02	1.233401170022000e+00	-2.855686771122000e-02	-2.983013050255000e-02
4.600000000000000e-02	1.194838368702000e+00	-2.878028115438000e-02	-3.004355286048000e-02
4.700000000000000e-02	1.156275567383000e+00	-2.900369459754000e-02	-3.025697521840000e-02
4.800000000000000e-02	1.116876056886000e+00	-2.921436573509000e-02	-3.045558298186000e-02
4.900000000000000e-02	1.076639837230000e+00	-2.941229456730000e-02	-3.063937615119000e-02
5.000000000000000e-02	1.036403617567000e+00	-2.961022339936000e-02	-3.082316932035000e-02
5.100000000000000e-02	9.947949021715000e-01	-2.978180478775000e-02	-3.097645015041000e-02
5.200000000000000e-02	9.531861867764999e-01	-2.995338617614000e-02	-3.112973098048000e-02
5.300000000000000e-02	9.110464565901001e-01	-3.011143832891000e-02	-3.126740500771000e-02
5.400000000000000e-02	8.683757116238001e-01	-3.025596124635000e-02	-3.138947223244000e-02
5.500000000000000e-02	8.257049666535000e-01	-3.040048416365000e-02	-3.151153945701000e-02
5.600000000000000e-02	7.822894139830000e-01	-3.051739381764000e-02	-3.160187814268000e-02
5.700000000000000e-02	7.388738613124001e-01	-3.063430347164000e-02	-3.169221682836000e-02
5.800000000000000e-02	6.952464709534000e-01	-3.073720883292000e-02	-3.176652843667000e-02
5.900000000000000e-02	6.514072429105001e-01	-3.082610990180000e-02	-3.182481296795999e-02
6.000000000000000e-02	6.075680148670000e-01	-3.091501097052000e-02	-3.188309749907000e-02
6.100000000000000e-02	5.636272791425000e-01	-3.097566962359000e-02	-3.190919308219000e-02
6.200000000000000e-02	5.196865434179000e-01	-3.103632827665000e-02	-3.193528866532000e-02
6.300000000000000e-02	4.758552167734000e-01	-3.108282994740000e-02	-3.194531779411000e-02
6.400000000000000e-02	4.321332992065000e-01	-3.111517463614000e-02	-3.193928046891000e-02
6.500000000000000e-02	3.884113816426000e-01	-3.114751932473000e-02	-3.193324314355000e-02
6.600000000000000e-02	3.452239146797000e-01	-3.115164034269000e-02	-3.189531830945000e-02
6.700000000000000e-02	3.020364477168000e-01	-3.115576136066000e-02	-3.185739347535000e-02
6.800000000000000e-02	2.592702763967000e-01	-3.114589577931000e-02	-3.180374079506000e-02
6.900000000000001e-02	2.169254007102000e-01	-3.112204359893000e-02	-3.173436026890001e-02
7.000000000000001e-02	1.745805250299000e-01	-3.109819141840000e-02	-3.166497974258000e-02
7.099999999999999e-02	1.333761712389000e-01	-3.104677382335000e-02	-3.156475737925000e-02
7.199999999999999e-02	9.217181744778000e-02	-3.099535622830000e-02	-3.146453501593000e-02
7.300000000000000e-02	5.168027886297000e-02	-3.093043645165000e-02	-3.134928679373000e-02
7.400000000000000e-02	1.190155546894000e-02	-3.085201449369000e-02	-3.121901271297000e-02
7.500000000000000e-02	-2.787716791590000e-02	-3.077359253559000e-02	-3.108873863205000e-02
7.600000000000000e-02	-6.596045534929000e-02	-3.066887535476000e-02	-3.092937210693000e-02
7.700000000000000e-02	-1.040437427827000e-01	-3.056415817394000e-02	-3.077000558180000e-02
7.800000000000000e-02	-1.411532238564000e-01	-3.044671886174000e-02	-3.059665285613000e-02
7.900000000000000e-02	-1.772888985915000e-01	-3.031655741842000e-02	-3.040931393024000e-02
8.000000000000000e-02	-2.134245733148000e-01	-3.018639597498000e-02	-3.022197500420000e-02
8.100000000000000e-02	-2.473802362816000e-01	-3.003177575128000e-02	-3.000793491561000e-02
8.200000000000000e-02	-2.813358992484000e-01	-2.987715552759000e-02	-2.979389482702000e-02
8.300000000000000e-02	-3.140962213564000e-01	-2.971086178398000e-02	-2.956721003257000e-02
8.400000000000001e-02	-3.456612026317000e-01	-2.953289452072000e-02	-2.932788053252000e-02
8.500000000000001e-02	-3.772261838929001e-01	-2.935492725734000e-02	-2.908855103234000e-02
8.599999999999999e-02	-4.062132785001000e-01	-2.915484180065000e-02	-2.882547269614000e-02
8.699999999999999e-02	-4.352003731072001e-01	-2.895475634396000e-02	-2.856239435994000e-02
8.799999999999999e-02	-4.628174063440000e-01	-2.874427978494000e-02	-2.828827000963000e-02
8.900000000000000e-02	-4.890643782403000e-01	-2.852341212382000e-02	-2.800309964546000e-02
9.000000000000000e-02	-5.153113501209000e-01	-2.830254446260000e-02	-2.771792928118000e-02
9.100000000000000e-02	-5.386821905790999e-01	-2.806232704530000e-02	-2.741242654998000e-02
