# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]	Wxquad [V/pC.mm]	Wyquad [V/pC.mm]
-1.000000000000000e+00	7.300376317549000e-02	-4.065409442467000e-03	-9.164632949090999e-03	9.358000397418000e-03	-9.358000397418000e-03
-9.990000000000000e-01	7.307682116038000e-02	-4.065409673670000e-03	-9.164633402921001e-03	9.358000669646000e-03	-9.358000669646000e-03
-9.980000000000000e-01	7.315002551747000e-02	-4.065409905056000e-03	-9.164633856912000e-03	9.358000942057000e-03	-9.358000942057000e-03
-9.970000000000000e-01	7.322337668707000e-02	-4.065410136623000e-03	-9.164634311062000e-03	9.358001214648000e-03	-9.358001214648000e-03
-9.960000000000000e-01	7.329687511129999e-02	-4.065410368373000e-03	-9.164634765373001e-03	9.358001487421001e-03	-9.358001487421001e-03
-9.950000000000000e-01	7.337052123406999e-02	-4.065410600305000e-03	-9.164635219843001e-03	9.358001760378000e-03	-9.358001760378000e-03
-9.940000000000000e-01	7.344431550093999e-02	-4.065410832423000e-03	-9.164635674476000e-03	9.358002033519001e-03	-9.358002033519001e-03
-9.930000000000000e-01	7.351825835940000e-02	-4.065411064725000e-03	-9.164636129272000e-03	9.358002306845000e-03	-9.358002306845000e-03
-9.920000000000000e-01	7.359235025870001e-02	-4.065411297210000e-03	-9.164636584228000e-03	9.358002580353001e-03	-9.358002580353001e-03
-9.910000000000000e-01	7.366659164996001e-02	-4.065411529882000e-03	-9.164637039348000e-03	9.358002854047000e-03	-9.358002854047000e-03
-9.900000000000000e-01	7.374098298605000e-02	-4.065411762740000e-03	-9.164637494632000e-03	9.358003127928000e-03	-9.358003127928000e-03
-9.890000000000000e-01	7.381552472171000e-02	-4.065411995785000e-03	-9.164637950080001e-03	9.358003401995000e-03	-9.358003401995000e-03
-9.880000000000000e-01	7.389021731344000e-02	-4.065412229017000e-03	-9.164638405692000e-03	9.358003676249000e-03	-9.358003676249000e-03
-9.870000000000000e-01	7.396506121965001e-02	-4.065412462437000e-03	-9.164638861470000e-03	9.358003950691000e-03	-9.358003950691000e-03
-9.860000000000000e-01	7.404005690062999e-02	-4.065412696044000e-03	-9.164639317412000e-03	9.358004225320999e-03	-9.358004225320999e-03
-9.850000000000000e-01	7.411520481856000e-02	-4.065412929841000e-03	-9.164639773518999e-03	9.358004500138000e-03	-9.358004500138000e-03
-9.840000000000000e-01	7.419050543748000e-02	-4.065413163827000e-03	-9.164640229794000e-03	9.358004775144001e-03	-9.358004775144001e-03
-9.830000000000000e-01	7.426595922324000e-02	-4.065413398004000e-03	-9.164640686236000e-03	9.358005050343000e-03	-9.358005050343000e-03
-9.820000000000000e-01	7.434156664365001e-02	-4.065413632372000e-03	-9.164641142846000e-03	9.358005325732000e-03	-9.358005325732000e-03
-9.810000000000000e-01	7.441732816842000e-02	-4.065413866931000e-03	-9.164641599625000e-03	9.358005601311000e-03	-9.358005601311000e-03
-9.800000000000000e-01	7.449324426905000e-02	-4.065414101681000e-03	-9.164642056569999e-03	9.358005877081001e-03	-9.358005877081001e-03
-9.790000000000000e-01	7.456931541943999e-02	-4.065414336623000e-03	-9.164642513684000e-03	9.358006153043000e-03	-9.358006153043000e-03
-9.780000000000000e-01	7.464554209464000e-02	-4.065414571759000e-03	-9.164642970969000e-03	9.358006429200001e-03	-9.358006429200001e-03
-9.770000000000000e-01	7.472192477260001e-02	-4.065414807090000e-03	-9.164643428425000e-03	9.358006705549000e-03	-9.358006705549000e-03
-9.760000000000000e-01	7.479846393231999e-02	-4.065415042616000e-03	-9.164643886051999e-03	9.358006982092999e-03	-9.358006982092999e-03
-9.750000000000000e-01	7.487516005523000e-02	-4.065415278335000e-03	-9.164644343850000e-03	9.358007258832001e-03	-9.358007258832001e-03
-9.740000000000000e-01	7.495201362466000e-02	-4.065415514249000e-03	-9.164644801818000e-03	9.358007535766001e-03	-9.358007535766001e-03
-9.730000000000000e-01	7.502902512598000e-02	-4.065415750359000e-03	-9.164645259956999e-03	9.358007812894000e-03	-9.358007812894000e-03
-9.720000000000000e-01	7.510619504653999e-02	-4.065415986666000e-03	-9.164645718271001e-03	9.358008090218001e-03	-9.358008090218001e-03
-9.710000000000000e-01	7.518352387561000e-02	-4.065416223172000e-03	-9.164646176759999e-03	9.358008367743000e-03	-9.358008367743000e-03
-9.700000000000000e-01	7.526101210454000e-02	-4.065416459877000e-03	-9.164646635424000e-03	9.358008645467000e-03	-9.358008645467000e-03
-9.690000000000000e-01	7.533866022671000e-02	-4.065416696779000e-03	-9.164647094261000e-03	9.358008923387000e-03	-9.358008923387000e-03
-9.680000000000000e-01	7.541646873750001e-02	-4.065416933878000e-03	-9.164647553269000e-03	9.358009201502000e-03	-9.358009201502000e-03
-9.670000000000000e-01	7.549443813443001e-02	-4.065417171178000e-03	-9.164648012454001e-03	9.358009479818999e-03	-9.358009479818999e-03
-9.660000000000000e-01	7.557256891694999e-02	-4.065417408679000e-03	-9.164648471816000e-03	9.358009758337000e-03	-9.358009758337000e-03
-9.650000000000000e-01	7.565086158669000e-02	-4.065417646382000e-03	-9.164648931356999e-03	9.358010037057000e-03	-9.358010037057000e-03
-9.640000000000000e-01	7.572931664731999e-02	-4.065417884288000e-03	-9.164649391076999e-03	9.358010315980001e-03	-9.358010315980001e-03
-9.630000000000000e-01	7.580793460455000e-02	-4.065418122395000e-03	-9.164649850972000e-03	9.358010595103000e-03	-9.358010595103000e-03
-9.620000000000000e-01	7.588671596626000e-02	-4.065418360703000e-03	-9.164650311043000e-03	9.358010874426999e-03	-9.358010874426999e-03
-9.610000000000000e-01	7.596566124244999e-02	-4.065418599216000e-03	-9.164650771293000e-03	9.358011153954999e-03	-9.358011153954999e-03
-9.600000000000000e-01	7.604477094522000e-02	-4.065418837933000e-03	-9.164651231725000e-03	9.358011433687001e-03	-9.358011433687001e-03
-9.590000000000000e-01	7.612404558879000e-02	-4.065419076856000e-03	-9.164651692338001e-03	9.358011713626000e-03	-9.358011713626000e-03
-9.580000000000000e-01	7.620348568952000e-02	-4.065419315986000e-03	-9.164652153131000e-03	9.358011993770000e-03	-9.358011993770000e-03
-9.570000000000000e-01	7.628309176596000e-02	-4.065419555320000e-03	-9.164652614105000e-03	9.358012274120000e-03	-9.358012274120000e-03
-9.560000000000000e-01	7.636286433884000e-02	-4.065419794860000e-03	-9.164653075259000e-03	9.358012554674000e-03	-9.358012554674000e-03
-9.550000000000000e-01	7.644280393104000e-02	-4.065420034609000e-03	-9.164653536596000e-03	9.358012835436001e-03	-9.358012835436001e-03
-9.540000000000000e-01	7.652291106764000e-02	-4.065420274567000e-03	-9.164653998117001e-03	9.358013116409001e-03	-9.358013116409001e-03
-9.530000000000000e-01	7.660318627602999e-02	-4.065420514733000e-03	-9.164654459821999e-03	9.358013397589000e-03	-9.358013397589000e-03
-9.520000000000000e-01	7.668363008532000e-02	-4.065420755109000e-03	-9.164654921711000e-03	9.358013678977000e-03	-9.358013678977000e-03
-9.510000000000000e-01	7.676424302779000e-02	-4.065420995696000e-03	-9.164655383784999e-03	9.358013960577999e-03	-9.358013960577999e-03
-9.500000000000000e-01	7.684502563685000e-02	-4.065421236492000e-03	-9.164655846043000e-03	9.358014242387001e-03	-9.358014242387001e-03
-9.490000000000000e-01	7.692597844913000e-02	-4.065421477500000e-03	-9.164656308487000e-03	9.358014524409000e-03	-9.358014524409000e-03
-9.480000000000000e-01	7.700710200296000e-02	-4.065421718721000e-03	-9.164656771117000e-03	9.358014806639999e-03	-9.358014806639999e-03
-9.470000000000000e-01	7.708839683906001e-02	-4.065421960154000e-03	-9.164657233935000e-03	9.358015089085001e-03	-9.358015089085001e-03
-9.460000000000000e-01	7.716986350051000e-02	-4.065422201803000e-03	-9.164657696943000e-03	9.358015371747000e-03	-9.358015371747000e-03
-9.450000000000000e-01	7.725150253261000e-02	-4.065422443665000e-03	-9.164658160137999e-03	9.358015654622000e-03	-9.358015654622000e-03
-9.440000000000000e-01	7.733331448304000e-02	-4.065422685741000e-03	-9.164658623521000e-03	9.358015937709000e-03	-9.358015937709000e-03
-9.429999999999999e-01	7.741529990173000e-02	-4.065422928033000e-03	-9.164659087092001e-03	9.358016221011000e-03	-9.358016221011000e-03
-9.419999999999999e-01	7.749745934101000e-02	-4.065423170542000e-03	-9.164659550856000e-03	9.358016504531001e-03	-9.358016504531001e-03
-9.409999999999999e-01	7.757979335548000e-02	-4.065423413268000e-03	-9.164660014810999e-03	9.358016788268000e-03	-9.358016788268000e-03
-9.399999999999999e-01	7.766230250215000e-02	-4.065423656213000e-03	-9.164660478957001e-03	9.358017072224001e-03	-9.358017072224001e-03
