# t_ns	Wlong_VAC_V/pC	Wx_VAC_V/pCmm	Wy_VAC_V/pCmm
0.000000000000e+00	1.558936242020e+03	0.000000000000e+00	0.000000000000e+00
1.334523285450e-04	1.550622486945e+03	1.251494655407e+00	6.568313417699e-01
2.669046570899e-04	1.542308731870e+03	2.502989310813e+00	1.313662683539e+00
4.003569856349e-04	1.533994976796e+03	3.754483966220e+00	1.970494025309e+00
5.338093141799e-04	1.525681221721e+03	5.005978621628e+00	2.627325367079e+00
6.672616427248e-04	1.517367466646e+03	6.257473277034e+00	3.284156708848e+00
8.007139712698e-04	1.509053711571e+03	7.508967932441e+00	3.940988050618e+00
9.341662998148e-04	1.500739956496e+03	8.760462587848e+00	4.597819392388e+00
1.067618628360e-03	1.492426201421e+03	9.419001699702e+00	4.945685298978e+00
1.201070956905e-03	1.484112446346e+03	9.500237508837e+00	4.992741527515e+00
1.334523285450e-03	1.475798691271e+03	9.581473317972e+00	5.039797756052e+00
1.467975613995e-03	1.467484936196e+03	9.662709127107e+00	5.086853984589e+00
1.601427942540e-03	1.459171181121e+03	9.743944936242e+00	5.133910213127e+00
1.734880271085e-03	1.450857426046e+03	9.825180745377e+00	5.180966441664e+00
1.868332599630e-03	1.442543670971e+03	9.906416554512e+00	5.228022670201e+00
2.001784928175e-03	1.434208019531e+03	9.987430204703e+00	5.274846689190e+00
2.135237256720e-03	1.424257156014e+03	1.005205602988e+01	5.304541488070e+00
2.268689585264e-03	1.414306292498e+03	1.011668185505e+01	5.334236286949e+00
2.402141913809e-03	1.404355428981e+03	1.018130768023e+01	5.363931085829e+00
2.535594242354e-03	1.394404565464e+03	1.024593350540e+01	5.393625884709e+00
2.669046570899e-03	1.384453701948e+03	1.031055933058e+01	5.423320683589e+00
2.802498899444e-03	1.374502838431e+03	1.037518515575e+01	5.453015482468e+00
2.935951227989e-03	1.364551974915e+03	1.043981098093e+01	5.482710281348e+00
3.069403556534e-03	1.353749712647e+03	1.049579857589e+01	5.503376051272e+00
3.202855885079e-03	1.342161740725e+03	1.054381441747e+01	5.515709420871e+00
3.336308213624e-03	1.330573768802e+03	1.059183025904e+01	5.528042790470e+00
3.469760542169e-03	1.318985796879e+03	1.063984610062e+01	5.540376160069e+00
3.603212870714e-03	1.307397824956e+03	1.068786194219e+01	5.552709529668e+00
3.736665199259e-03	1.295809853034e+03	1.073587778377e+01	5.565042899267e+00
3.870117527804e-03	1.284221881111e+03	1.078389362535e+01	5.577376268865e+00
