# This wake function is calculated with resonator para. from IDDEFIX fitting.
# bunch sigma is 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
0.000000000000000000e+00	9.587621474085183601e-03
4.000800160032006586e-02	1.083168398214316361e-02
8.001600320064013172e-02	1.216925136963947079e-02
1.200240048009601906e-01	1.359857634289150449e-02
1.600320064012802634e-01	1.511698548815965971e-02
2.000400080016003224e-01	1.672094833269601594e-02
2.400480096019203813e-01	1.840616917228786800e-02
2.800560112022403847e-01	2.016769732727896960e-02
3.200640128025605269e-01	2.200005076745523841e-02
3.600720144028806136e-01	2.389734764896022171e-02
4.000800160032006447e-01	2.585344024455686965e-02
4.400880176035206759e-01	2.786204600680482202e-02
4.800960192038407626e-01	2.991687104335646538e-02
5.201040208041608492e-01	3.201172204730988458e-02
5.601120224044807694e-01	3.414060364382722618e-02
6.001200240048009116e-01	3.629779911212533544e-02
6.401280256051210538e-01	3.847793344602463278e-02
6.801360272054411960e-01	4.067601866052301257e-02
7.201440288057612271e-01	4.288748208249175409e-02
7.601520304060811473e-01	4.510817904184586530e-02
8.001600320064012895e-01	4.733439188306608897e-02
8.401680336067213206e-01	4.956281753932152701e-02
8.801760352070413518e-01	5.179054606036968822e-02
9.201840368073614940e-01	5.401503247990492584e-02
9.601920384076815251e-01	5.623406427501718985e-02
1.000200040008001556e+00	5.844572644122818933e-02
1.040208041608321698e+00	6.064836591359047679e-02
1.080216043208641619e+00	6.284055673826614841e-02
1.120224044808961539e+00	6.502106706672519665e-02
1.160232046409281903e+00	6.718882872794984529e-02
1.200240048009601823e+00	6.934290984874132147e-02
1.240248049609921965e+00	7.148249074859858165e-02
1.280256051210242108e+00	7.360684313861295958e-02
1.320264052810562028e+00	7.571531250395889534e-02
1.360272054410882392e+00	7.780730344403061216e-02
1.400280056011202312e+00	7.988226767795657268e-02
1.440288057611522454e+00	8.193969438964805729e-02
1.480296059211842374e+00	8.397910257878075935e-02
1.520304060812162295e+00	8.600003509539573543e-02
1.560312062412482659e+00	8.800205406001790354e-02
1.600320064012802579e+00	8.998473740311306590e-02
1.640328065613122721e+00	9.194767629316338842e-02
1.680336067213442641e+00	9.389047325849540770e-02
1.720344068813762561e+00	9.581274084205709807e-02
1.760352070414082704e+00	9.771410065923141763e-02
1.800360072014402846e+00	9.959418275577386348e-02
1.840368073614722988e+00	1.014526251858355738e-01
1.880376075215042908e+00	1.032890737489012695e-01
1.920384076815363050e+00	1.051031818396582496e-01
1.960392078415683192e+00	1.068946103767761946e-01
2.000400080016003113e+00	1.086630277858114668e-01
2.040408081616323255e+00	1.104081100184400033e-01
2.080416083216643397e+00	1.121295405954265689e-01
2.120424084816963539e+00	1.138270106645396101e-01
2.160432086417283237e+00	1.155002190673582313e-01
2.200440088017603824e+00	1.171488724108560170e-01
2.240448089617923078e+00	1.187726851409965506e-01
2.280456091218243664e+00	1.203713796165069294e-01
2.320464092818563806e+00	1.219446861816213118e-01
2.360472094418883504e+00	1.234923432370125113e-01
2.400480096019203646e+00	1.250140973084019891e-01
2.440488097619523788e+00	1.265097031125221039e-01
2.480496099219843931e+00	1.279789236202211744e-01
2.520504100820164073e+00	1.294215301165737297e-01
2.560512102420484215e+00	1.308373022579074618e-01
2.600520104020804357e+00	1.322260281256861514e-01
2.640528105621124055e+00	1.335875042772069754e-01
2.680536107221444198e+00	1.349215357930818593e-01
2.720544108821764784e+00	1.362279363214801142e-01
2.760552110422084482e+00	1.375065281191152344e-01
2.800560112022404624e+00	1.387571420889603391e-01
2.840568113622724322e+00	1.399796178146809345e-01
2.880576115223044908e+00	1.411738035917760314e-01
2.920584116823364162e+00	1.423395564554178483e-01
2.960592118423684749e+00	1.434767422049856300e-01
3.000600120024004891e+00	1.445852354252866734e-01
3.040608121624324589e+00	1.456649195044628919e-01
3.080616123224644731e+00	1.467156866485792299e-01
3.120624124824965318e+00	1.477374378928944521e-01
3.160632126425285016e+00	1.487300831098141152e-01
3.200640128025605158e+00	1.496935410135279421e-01
3.240648129625924856e+00	1.506277391613358441e-01
3.280656131226245442e+00	1.515326139516659509e-01
3.320664132826565140e+00	1.524081106187920309e-01
3.360672134426885282e+00	1.532541832242576008e-01
3.400680136027205869e+00	1.540707946450142751e-01
3.440688137627525123e+00	1.548579165582873729e-01
3.480696139227845709e+00	1.556155294231772179e-01
3.520704140828165407e+00	1.563436224590115387e-01
3.560712142428485993e+00	1.570421936204611235e-01
3.600720144028805692e+00	1.577112495694369121e-01
3.640728145629125834e+00	1.583508056437822886e-01
3.680736147229445976e+00	1.589608858227812838e-01
3.720744148829765674e+00	1.595415226895010030e-01
3.760752150430085816e+00	1.600927573899893763e-01
3.800760152030406402e+00	1.606146395893502943e-01
3.840768153630726101e+00	1.611072274247190572e-01
3.880776155231046243e+00	1.615705874551635612e-01
3.920784156831366385e+00	1.620047946085358959e-01
3.960792158431686527e+00	1.624099321253025252e-01
4.000800160032006225e+00	1.627860914993807251e-01
4.040808161632326367e+00	1.631333724160107801e-01
4.080816163232646510e+00	1.634518826866942498e-01
4.120824164832966652e+00	1.637417381812314443e-01
4.160832166433286794e+00	1.640030627568891952e-01
4.200840168033606936e+00	1.642359881847350045e-01
4.240848169633927078e+00	1.644406540731707667e-01
4.280856171234247221e+00	1.646172077887045060e-01
4.320864172834566475e+00	1.647658043739959888e-01
4.360872174434887505e+00	1.648866064632154849e-01
4.400880176035207647e+00	1.649797841947554522e-01
4.440888177635527789e+00	1.650455151213348903e-01
4.480896179235846155e+00	1.650839841175388290e-01
4.520904180836167185e+00	1.650953832848355285e-01
4.560912182436487328e+00	1.650799118541141641e-01
4.600920184036807470e+00	1.650377760857891229e-01
4.640928185637127612e+00	1.649691891675144628e-01
4.680936187237446866e+00	1.648743711095569664e-01
4.720944188837767008e+00	1.647535486378735314e-01
4.760952190438088039e+00	1.646069550849419139e-01
4.800960192038407293e+00	1.644348302783942284e-01
4.840968193638728323e+00	1.642374204275013350e-01
4.880976195239047577e+00	1.640149780075615127e-01
4.920984196839367719e+00	1.637677616422425764e-01
4.960992198439687861e+00	1.634960359839303934e-01
5.001000200040008004e+00	1.632000715921375911e-01
5.041008201640328146e+00	1.628801448100252180e-01
5.081016203240648288e+00	1.625365376390914274e-01
5.121024204840968430e+00	1.621695376120836918e-01
5.161032206441287684e+00	1.617794376641887300e-01
5.201040208041608714e+00	1.613665360025571816e-01
5.241048209641928857e+00	1.609311359742200132e-01
5.281056211242248111e+00	1.604735459324532487e-01
5.321064212842568253e+00	1.599940791016506159e-01
5.361072214442888395e+00	1.594930534407603684e-01
5.401080216043208537e+00	1.589707915053480969e-01
5.441088217643529568e+00	1.584276203083415102e-01
5.481096219243847933e+00	1.578638711795208316e-01
5.521104220844168964e+00	1.572798796238117913e-01
5.561112222444489106e+00	1.566759851784439439e-01
5.601120224044809248e+00	1.560525312690350108e-01
5.641128225645129390e+00	1.554098650646612845e-01
5.681136227245448644e+00	1.547483373319778477e-01
5.721144228845768787e+00	1.540683022884484776e-01
5.761152230446089817e+00	1.533701174547491553e-01
5.801160232046409959e+00	1.526541435064057428e-01
5.841168233646728325e+00	1.519207441247307500e-01
5.881176235247049355e+00	1.511702858471187794e-01
5.921184236847369498e+00	1.504031379167674598e-01
5.961192238447689640e+00	1.496196721318820699e-01
6.001200240048009782e+00	1.488202626944326035e-01
6.041208241648329924e+00	1.480052860585205354e-01
6.081216243248649178e+00	1.471751207784227355e-01
6.121224244848970208e+00	1.463301473563738409e-01
6.161232246449289462e+00	1.454707480901504535e-01
6.201240248049609605e+00	1.445973069205201689e-01
6.241248249649930635e+00	1.437102092786188279e-01
