# This wake function is calculated with resonator para. from IDDEFIX fitting.
# bunch sigma is 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
0.000000000000000000e+00	9.195699001236703335e-03
4.000800160032006586e-02	1.038894859549384375e-02
8.001600320064013172e-02	1.167189754788708171e-02
1.200240048009601906e-01	1.304287395928069304e-02
1.600320064012802634e-01	1.449931823043692364e-02
2.000400080016003224e-01	1.603784932146908732e-02
2.400480096019203813e-01	1.765435283977740202e-02
2.800560112022403847e-01	1.934408679523462460e-02
3.200640128025605269e-01	2.110180016955658447e-02
3.600720144028806136e-01	2.292185906608567442e-02
4.000800160032006447e-01	2.479837514716877814e-02
4.400880176035206759e-01	2.672533131426100064e-02
4.800960192038407626e-01	2.869670010368417790e-02
5.201040208041608492e-01	3.070655100366299559e-02
5.601120224044807694e-01	3.274914377912483548e-02
6.001200240048009116e-01	3.481900584793050368e-02
6.401280256051210538e-01	3.691099271525942471e-02
6.801360272054411960e-01	3.902033137852401606e-02
7.201440288057612271e-01	4.114264741179067542e-02
7.601520304060811473e-01	4.327397708910459689e-02
8.001600320064012895e-01	4.541076638892293377e-02
8.401680336067213206e-01	4.754985903090108712e-02
8.801760352070413518e-01	4.968847583896054271e-02
9.201840368073614940e-01	5.182418771912895156e-02
9.601920384076815251e-01	5.395488441292612541e-02
1.000200040008001556e+00	5.607874096711353007e-02
1.040208041608321698e+00	5.819418357951024190e-02
1.080216043208641619e+00	6.029985616774762719e-02
1.120224044808961539e+00	6.239458868907717809e-02
1.160232046409281903e+00	6.447736793549110890e-02
1.200240048009601823e+00	6.654731125476433251e-02
1.240248049609921965e+00	6.860364341434486979e-02
1.280256051210242108e+00	7.064567663605313130e-02
1.320264052810562028e+00	7.267279368582520160e-02
1.360272054410882392e+00	7.468443380153931554e-02
1.400280056011202312e+00	7.668008117838202853e-02
1.440288057611522454e+00	7.865925569903581271e-02
1.480296059211842374e+00	8.062150558855538107e-02
1.520304060812162295e+00	8.256640168465465002e-02
1.560312062412482659e+00	8.449353303737057452e-02
1.600320064012802579e+00	8.640250358271225894e-02
1.640328065613122721e+00	8.829292966893091676e-02
1.680336067213442641e+00	9.016443824845146726e-02
1.720344068813762561e+00	9.201666558119146744e-02
1.760352070414082704e+00	9.384925632463012035e-02
1.800360072014402846e+00	9.566186291189725244e-02
1.840368073614722988e+00	9.745414514109770887e-02
1.880376075215042908e+00	9.922576991718744244e-02
1.920384076815363050e+00	1.009764111022895955e-01
1.960392078415683192e+00	1.027057494418149308e-01
2.000400080016003113e+00	1.044134725426101584e-01
2.040408081616323255e+00	1.060992748860648260e-01
2.080416083216643397e+00	1.077628578640978940e-01
2.120424084816963539e+00	1.094039298295939877e-01
2.160432086417283237e+00	1.110222061554836520e-01
2.200440088017603824e+00	1.126174092985224862e-01
2.240448089617923078e+00	1.141892688651185012e-01
2.280456091218243664e+00	1.157375216774503834e-01
2.320464092818563806e+00	1.172619118387220882e-01
2.360472094418883504e+00	1.187621907968028218e-01
2.400480096019203646e+00	1.202381174057686603e-01
2.440488097619523788e+00	1.216894579850337083e-01
2.480496099219843931e+00	1.231159863758724549e-01
2.520504100820164073e+00	1.245174839952038898e-01
2.560512102420484215e+00	1.258937398865550006e-01
2.600520104020804357e+00	1.272445507681466692e-01
2.640528105621124055e+00	1.285697210780659960e-01
2.680536107221444198e+00	1.298690630164970883e-01
2.720544108821764784e+00	1.311423965849915496e-01
2.760552110422084482e+00	1.323895496227637247e-01
2.800560112022404624e+00	1.336103578399994440e-01
2.840568113622724322e+00	1.348046648481693310e-01
2.880576115223044908e+00	1.359723221873387344e-01
2.920584116823364162e+00	1.371131893504706212e-01
2.960592118423684749e+00	1.382271338047162401e-01
3.000600120024004891e+00	1.393140310096914747e-01
3.040608121624324589e+00	1.403737644327383016e-01
3.080616123224644731e+00	1.414062255611710506e-01
3.120624124824965318e+00	1.424113139115091020e-01
3.160632126425285016e+00	1.433889370357003257e-01
3.200640128025605158e+00	1.443390105243366750e-01
3.240648129625924856e+00	1.452614580068707362e-01
3.280656131226245442e+00	1.461562111488379501e-01
3.320664132826565140e+00	1.470232096460930837e-01
3.360672134426885282e+00	1.478624012160707768e-01
3.400680136027205869e+00	1.486737415860805989e-01
3.440688137627525123e+00	1.494571944786485251e-01
3.480696139227845709e+00	1.502127315939182084e-01
3.520704140828165407e+00	1.509403325891257308e-01
3.560712142428485993e+00	1.516399850551656547e-01
3.600720144028805692e+00	1.523116844902620559e-01
3.640728145629125834e+00	1.529554342707663273e-01
3.680736147229445976e+00	1.535712456190977127e-01
3.720744148829765674e+00	1.541591375688498022e-01
3.760752150430085816e+00	1.547191369270829453e-01
3.800760152030406402e+00	1.552512782338273667e-01
3.840768153630726101e+00	1.557556037188184694e-01
3.880776155231046243e+00	1.562321632554919404e-01
3.920784156831366385e+00	1.566810143122642496e-01
3.960792158431686527e+00	1.571022219011255494e-01
4.000800160032006225e+00	1.574958585235740616e-01
4.040808161632326367e+00	1.578620041139215668e-01
4.080816163232646510e+00	1.582007459800006954e-01
4.120824164832966652e+00	1.585121787413058536e-01
4.160832166433286794e+00	1.587964042646007046e-01
4.200840168033606936e+00	1.590535315970257602e-01
4.240848169633927078e+00	1.592836768967415273e-01
4.280856171234247221e+00	1.594869633611426529e-01
4.320864172834566475e+00	1.596635211526796216e-01
4.360872174434887505e+00	1.598134873223268360e-01
4.400880176035207647e+00	1.599370057307342718e-01
4.440888177635527789e+00	1.600342269671033990e-01
4.480896179235846155e+00	1.601053082658283611e-01
4.520904180836167185e+00	1.601504134209411900e-01
4.560912182436487328e+00	1.601697126984066299e-01
4.600920184036807470e+00	1.601633827463074533e-01
4.640928185637127612e+00	1.601316065029641800e-01
4.680936187237446866e+00	1.600745731030346897e-01
4.720944188837767008e+00	1.599924777816385535e-01
4.760952190438088039e+00	1.598855217765513814e-01
4.800960192038407293e+00	1.597539122285183688e-01
4.840968193638728323e+00	1.595978620797312286e-01
4.880976195239047577e+00	1.594175899705193300e-01
4.920984196839367719e+00	1.592133201343022553e-01
4.960992198439687861e+00	1.589852822908544572e-01
5.001000200040008004e+00	1.587337115379300334e-01
5.041008201640328146e+00	1.584588482412999377e-01
5.081016203240648288e+00	1.581609379232524759e-01
5.121024204840968430e+00	1.578402311496075738e-01
5.161032206441287684e+00	1.574969834152975257e-01
