# Frequency [GHz]	Re(Z) [Ohm]	Im(Z) [Ohm]	|Z| [Ohm]
0.000000e+00	2.724354e-02	-0.000000e+00	2.724354e-02
4.997214e-03	2.724258e-02	1.922404e-04	2.724326e-02
9.994428e-03	2.723968e-02	3.844580e-04	2.724239e-02
1.499164e-02	2.723484e-02	5.766301e-04	2.724095e-02
1.998886e-02	2.722807e-02	7.687339e-04	2.723892e-02
2.498607e-02	2.721937e-02	9.607467e-04	2.723633e-02
2.998328e-02	2.720875e-02	1.152646e-03	2.723315e-02
3.498050e-02	2.719619e-02	1.344408e-03	2.722940e-02
3.997771e-02	2.718170e-02	1.536012e-03	2.722507e-02
4.497493e-02	2.716529e-02	1.727433e-03	2.722016e-02
4.997214e-02	2.714696e-02	1.918650e-03	2.721467e-02
5.496935e-02	2.712671e-02	2.109641e-03	2.720861e-02
5.996657e-02	2.710454e-02	2.300381e-03	2.720198e-02
6.496378e-02	2.708045e-02	2.490850e-03	2.719477e-02
6.996100e-02	2.705446e-02	2.681024e-03	2.718698e-02
7.495821e-02	2.702657e-02	2.870881e-03	2.717862e-02
7.995542e-02	2.699677e-02	3.060399e-03	2.716968e-02
8.495264e-02	2.696507e-02	3.249555e-03	2.716017e-02
8.994985e-02	2.693148e-02	3.438327e-03	2.715008e-02
9.494707e-02	2.689601e-02	3.626694e-03	2.713942e-02
9.994428e-02	2.685865e-02	3.814632e-03	2.712819e-02
1.049415e-01	2.681942e-02	4.002120e-03	2.711639e-02
1.099387e-01	2.677832e-02	4.189137e-03	2.710401e-02
1.149359e-01	2.673535e-02	4.375659e-03	2.709106e-02
1.199331e-01	2.669053e-02	4.561666e-03	2.707754e-02
1.249304e-01	2.664386e-02	4.747135e-03	2.706345e-02
1.299276e-01	2.659534e-02	4.932045e-03	2.704879e-02
1.349248e-01	2.654499e-02	5.116375e-03	2.703356e-02
1.399220e-01	2.649280e-02	5.300104e-03	2.701777e-02
1.449192e-01	2.643880e-02	5.483209e-03	2.700140e-02
1.499164e-01	2.638298e-02	5.665670e-03	2.698447e-02
1.549136e-01	2.632536e-02	5.847465e-03	2.696697e-02
1.599108e-01	2.626595e-02	6.028575e-03	2.694891e-02
1.649081e-01	2.620474e-02	6.208977e-03	2.693028e-02
1.699053e-01	2.614176e-02	6.388651e-03	2.691109e-02
1.749025e-01	2.607702e-02	6.567577e-03	2.689133e-02
1.798997e-01	2.601051e-02	6.745734e-03	2.687102e-02
1.848969e-01	2.594225e-02	6.923102e-03	2.685014e-02
1.898941e-01	2.587226e-02	7.099661e-03	2.682870e-02
1.948913e-01	2.580054e-02	7.275390e-03	2.680670e-02
1.998886e-01	2.572710e-02	7.450270e-03	2.678414e-02
2.048858e-01	2.565196e-02	7.624280e-03	2.676103e-02
2.098830e-01	2.557512e-02	7.797402e-03	2.673735e-02
2.148802e-01	2.549660e-02	7.969616e-03	2.671313e-02
2.198774e-01	2.541640e-02	8.140903e-03	2.668835e-02
2.248746e-01	2.533455e-02	8.311243e-03	2.666301e-02
2.298718e-01	2.525105e-02	8.480618e-03	2.663712e-02
2.348691e-01	2.516592e-02	8.649008e-03	2.661069e-02
2.398663e-01	2.507916e-02	8.816396e-03	2.658370e-02
2.448635e-01	2.499079e-02	8.982762e-03	2.655616e-02
2.498607e-01	2.490083e-02	9.148088e-03	2.652808e-02
2.548579e-01	2.480929e-02	9.312357e-03	2.649945e-02
2.598551e-01	2.471617e-02	9.475550e-03	2.647027e-02
2.648523e-01	2.462150e-02	9.637649e-03	2.644055e-02
2.698496e-01	2.452529e-02	9.798638e-03	2.641029e-02
2.748468e-01	2.442756e-02	9.958498e-03	2.637948e-02
2.798440e-01	2.432831e-02	1.011721e-02	2.634814e-02
2.848412e-01	2.422756e-02	1.027477e-02	2.631626e-02
2.898384e-01	2.412533e-02	1.043114e-02	2.628384e-02
2.948356e-01	2.402163e-02	1.058632e-02	2.625089e-02
2.998328e-01	2.391648e-02	1.074028e-02	2.621740e-02
3.048301e-01	2.380990e-02	1.089302e-02	2.618338e-02
3.098273e-01	2.370189e-02	1.104451e-02	2.614882e-02
3.148245e-01	2.359248e-02	1.119474e-02	2.611374e-02
3.198217e-01	2.348168e-02	1.134370e-02	2.607813e-02
3.248189e-01	2.336950e-02	1.149137e-02	2.604199e-02
3.298161e-01	2.325597e-02	1.163773e-02	2.600533e-02
3.348133e-01	2.314111e-02	1.178277e-02	2.596814e-02
3.398106e-01	2.302491e-02	1.192648e-02	2.593044e-02
3.448078e-01	2.290742e-02	1.206883e-02	2.589221e-02
3.498050e-01	2.278863e-02	1.220982e-02	2.585346e-02
3.548022e-01	2.266857e-02	1.234944e-02	2.581420e-02
3.597994e-01	2.254726e-02	1.248766e-02	2.577442e-02
3.647966e-01	2.242472e-02	1.262448e-02	2.573413e-02
3.697938e-01	2.230095e-02	1.275988e-02	2.569332e-02
3.747911e-01	2.217599e-02	1.289384e-02	2.565201e-02
3.797883e-01	2.204984e-02	1.302637e-02	2.561019e-02
3.847855e-01	2.192253e-02	1.315744e-02	2.556786e-02
3.897827e-01	2.179408e-02	1.328704e-02	2.552503e-02
3.947799e-01	2.166450e-02	1.341516e-02	2.548170e-02
3.997771e-01	2.153381e-02	1.354178e-02	2.543786e-02
4.047743e-01	2.140203e-02	1.366691e-02	2.539353e-02
4.097716e-01	2.126919e-02	1.379051e-02	2.534870e-02
4.147688e-01	2.113529e-02	1.391260e-02	2.530338e-02
4.197660e-01	2.100036e-02	1.403314e-02	2.525756e-02
4.247632e-01	2.086442e-02	1.415214e-02	2.521125e-02
4.297604e-01	2.072749e-02	1.426958e-02	2.516446e-02
4.347576e-01	2.058959e-02	1.438545e-02	2.511717e-02
4.397548e-01	2.045073e-02	1.449975e-02	2.506941e-02
4.447521e-01	2.031094e-02	1.461246e-02	2.502116e-02
4.497493e-01	2.017024e-02	1.472357e-02	2.497243e-02
4.547465e-01	2.002864e-02	1.483308e-02	2.492322e-02
4.597437e-01	1.988617e-02	1.494098e-02	2.487354e-02
4.647409e-01	1.974285e-02	1.504725e-02	2.482338e-02
4.697381e-01	1.959870e-02	1.515190e-02	2.477275e-02
4.747353e-01	1.945374e-02	1.525491e-02	2.472165e-02
4.797325e-01	1.930798e-02	1.535627e-02	2.467009e-02
4.847298e-01	1.916145e-02	1.545598e-02	2.461806e-02
4.897270e-01	1.901418e-02	1.555403e-02	2.456556e-02
4.947242e-01	1.886617e-02	1.565042e-02	2.451261e-02
4.997214e-01	1.871746e-02	1.574514e-02	2.445920e-02
5.047186e-01	1.856806e-02	1.583817e-02	2.440533e-02
5.097158e-01	1.841799e-02	1.592952e-02	2.435102e-02
5.147130e-01	1.826728e-02	1.601918e-02	2.429625e-02
5.197103e-01	1.811594e-02	1.610715e-02	2.424103e-02
5.247075e-01	1.796400e-02	1.619342e-02	2.418536e-02
5.297047e-01	1.781147e-02	1.627798e-02	2.412926e-02
5.347019e-01	1.765839e-02	1.636083e-02	2.407271e-02
5.396991e-01	1.750476e-02	1.644197e-02	2.401572e-02
5.446963e-01	1.735062e-02	1.652139e-02	2.395830e-02
5.496935e-01	1.719598e-02	1.659909e-02	2.390045e-02
5.546908e-01	1.704086e-02	1.667506e-02	2.384216e-02
5.596880e-01	1.688529e-02	1.674931e-02	2.378345e-02
5.646852e-01	1.672928e-02	1.682182e-02	2.372431e-02
5.696824e-01	1.657286e-02	1.689261e-02	2.366474e-02
5.746796e-01	1.641606e-02	1.696166e-02	2.360476e-02
5.796768e-01	1.625888e-02	1.702897e-02	2.354436e-02
5.846740e-01	1.610135e-02	1.709454e-02	2.348354e-02
5.896713e-01	1.594350e-02	1.715837e-02	2.342232e-02
5.946685e-01	1.578534e-02	1.722046e-02	2.336068e-02
5.996657e-01	1.562690e-02	1.728081e-02	2.329863e-02
6.046629e-01	1.546819e-02	1.733942e-02	2.323619e-02
6.096601e-01	1.530924e-02	1.739628e-02	2.317334e-02
6.146573e-01	1.515007e-02	1.745140e-02	2.311009e-02
6.196545e-01	1.499071e-02	1.750478e-02	2.304644e-02
6.246518e-01	1.483116e-02	1.755641e-02	2.298241e-02
6.296490e-01	1.467146e-02	1.760631e-02	2.291798e-02
6.346462e-01	1.451163e-02	1.765446e-02	2.285317e-02
6.396434e-01	1.435167e-02	1.770088e-02	2.278797e-02
6.446406e-01	1.419163e-02	1.774555e-02	2.272239e-02
6.496378e-01	1.403151e-02	1.778850e-02	2.265643e-02
6.546350e-01	1.387134e-02	1.782971e-02	2.259010e-02
6.596323e-01	1.371115e-02	1.786918e-02	2.252339e-02
6.646295e-01	1.355094e-02	1.790694e-02	2.245632e-02
6.696267e-01	1.339074e-02	1.794296e-02	2.238888e-02
6.746239e-01	1.323057e-02	1.797727e-02	2.232107e-02
6.796211e-01	1.307046e-02	1.800986e-02	2.225291e-02
6.846183e-01	1.291042e-02	1.804073e-02	2.218438e-02
6.896155e-01	1.275048e-02	1.806989e-02	2.211551e-02
6.946128e-01	1.259064e-02	1.809735e-02	2.204628e-02
6.996100e-01	1.243095e-02	1.812311e-02	2.197670e-02
7.046072e-01	1.227140e-02	1.814717e-02	2.190678e-02
7.096044e-01	1.211203e-02	1.816954e-02	2.183652e-02
7.146016e-01	1.195286e-02	1.819022e-02	2.176591e-02
7.195988e-01	1.179390e-02	1.820923e-02	2.169498e-02
7.245960e-01	1.163517e-02	1.822656e-02	2.162371e-02
7.295933e-01	1.147670e-02	1.824222e-02	2.155211e-02
7.345905e-01	1.131851e-02	1.825622e-02	2.148018e-02
7.395877e-01	1.116060e-02	1.826857e-02	2.140793e-02
7.445849e-01	1.100301e-02	1.827927e-02	2.133537e-02
7.495821e-01	1.084575e-02	1.828833e-02	2.126248e-02
7.545793e-01	1.068885e-02	1.829575e-02	2.118929e-02
7.595765e-01	1.053231e-02	1.830155e-02	2.111578e-02
7.645738e-01	1.037616e-02	1.830573e-02	2.104197e-02
7.695710e-01	1.022042e-02	1.830830e-02	2.096785e-02
7.745682e-01	1.006510e-02	1.830927e-02	2.089344e-02
7.795654e-01	9.910235e-03	1.830865e-02	2.081873e-02
7.845626e-01	9.755829e-03	1.830644e-02	2.074372e-02
7.895598e-01	9.601905e-03	1.830266e-02	2.066843e-02
7.945570e-01	9.448480e-03	1.829732e-02	2.059285e-02
7.995542e-01	9.295573e-03	1.829041e-02	2.051699e-02
8.045515e-01	9.143201e-03	1.828196e-02	2.044085e-02
8.095487e-01	8.991381e-03	1.827198e-02	2.036443e-02
8.145459e-01	8.840132e-03	1.826047e-02	2.028774e-02
8.195431e-01	8.689471e-03	1.824744e-02	2.021079e-02
8.245403e-01	8.539414e-03	1.823290e-02	2.013356e-02
8.295375e-01	8.389978e-03	1.821688e-02	2.005608e-02
8.345347e-01	8.241181e-03	1.819936e-02	1.997834e-02
8.395320e-01	8.093039e-03	1.818038e-02	1.990034e-02
8.445292e-01	7.945568e-03	1.815994e-02	1.982209e-02
8.495264e-01	7.798785e-03	1.813804e-02	1.974360e-02
8.545236e-01	7.652705e-03	1.811471e-02	1.966486e-02
8.595208e-01	7.507345e-03	1.808995e-02	1.958588e-02
8.645180e-01	7.362720e-03	1.806378e-02	1.950666e-02
8.695152e-01	7.218846e-03	1.803621e-02	1.942721e-02
8.745125e-01	7.075737e-03	1.800725e-02	1.934753e-02
8.795097e-01	6.933410e-03	1.797691e-02	1.926763e-02
8.845069e-01	6.791878e-03	1.794521e-02	1.918750e-02
8.895041e-01	6.651157e-03	1.791217e-02	1.910716e-02
8.945013e-01	6.511262e-03	1.787778e-02	1.902660e-02
8.994985e-01	6.372206e-03	1.784207e-02	1.894583e-02
9.044957e-01	6.234003e-03	1.780506e-02	1.886486e-02
9.094930e-01	6.096668e-03	1.776674e-02	1.878368e-02
9.144902e-01	5.960214e-03	1.772715e-02	1.870230e-02
9.194874e-01	5.824655e-03	1.768629e-02	1.862072e-02
9.244846e-01	5.690004e-03	1.764417e-02	1.853896e-02
9.294818e-01	5.556273e-03	1.760082e-02	1.845700e-02
