# Frequency [GHz]	Re(Z) [Ohm/m]	Im(Z) [Ohm/m]	|Z| [Ohm/m]
0.000000e+00	3.813527e-01	0.000000e+00	3.813527e-01
4.997214e-03	3.813179e-01	-4.782877e-03	3.813478e-01
9.994428e-03	3.812134e-01	-9.564650e-03	3.813334e-01
1.499164e-02	3.810393e-01	-1.434422e-02	3.813092e-01
1.998886e-02	3.807957e-01	-1.912048e-02	3.812754e-01
2.498607e-02	3.804826e-01	-2.389233e-02	3.812320e-01
2.998328e-02	3.801000e-01	-2.865867e-02	3.811789e-01
3.498050e-02	3.796482e-01	-3.341841e-02	3.811161e-01
3.997771e-02	3.791271e-01	-3.817044e-02	3.810438e-01
4.497493e-02	3.785370e-01	-4.291368e-02	3.809617e-01
4.997214e-02	3.778780e-01	-4.764702e-02	3.808701e-01
5.496935e-02	3.771502e-01	-5.236939e-02	3.807688e-01
5.996657e-02	3.763540e-01	-5.707970e-02	3.806579e-01
6.496378e-02	3.754894e-01	-6.177686e-02	3.805373e-01
6.996100e-02	3.745567e-01	-6.645980e-02	3.804072e-01
7.495821e-02	3.735561e-01	-7.112744e-02	3.802674e-01
7.995542e-02	3.724880e-01	-7.577871e-02	3.801181e-01
8.495264e-02	3.713526e-01	-8.041255e-02	3.799591e-01
8.994985e-02	3.701502e-01	-8.502790e-02	3.797906e-01
9.494707e-02	3.688811e-01	-8.962371e-02	3.796125e-01
9.994428e-02	3.675456e-01	-9.419892e-02	3.794248e-01
1.049415e-01	3.661441e-01	-9.875249e-02	3.792276e-01
1.099387e-01	3.646771e-01	-1.032834e-01	3.790209e-01
1.149359e-01	3.631447e-01	-1.077906e-01	3.788046e-01
1.199331e-01	3.615476e-01	-1.122730e-01	3.785788e-01
1.249304e-01	3.598860e-01	-1.167298e-01	3.783435e-01
1.299276e-01	3.581604e-01	-1.211597e-01	3.780986e-01
1.349248e-01	3.563714e-01	-1.255620e-01	3.778444e-01
1.399220e-01	3.545192e-01	-1.299354e-01	3.775806e-01
1.449192e-01	3.526046e-01	-1.342792e-01	3.773074e-01
1.499164e-01	3.506278e-01	-1.385922e-01	3.770247e-01
1.549136e-01	3.485895e-01	-1.428736e-01	3.767327e-01
1.599108e-01	3.464902e-01	-1.471223e-01	3.764312e-01
1.649081e-01	3.443305e-01	-1.513374e-01	3.761203e-01
1.699053e-01	3.421108e-01	-1.555181e-01	3.758001e-01
1.749025e-01	3.398319e-01	-1.596632e-01	3.754705e-01
1.798997e-01	3.374943e-01	-1.637720e-01	3.751315e-01
1.848969e-01	3.350985e-01	-1.678436e-01	3.747833e-01
1.898941e-01	3.326453e-01	-1.718769e-01	3.744257e-01
1.948913e-01	3.301353e-01	-1.758712e-01	3.740588e-01
1.998886e-01	3.275691e-01	-1.798256e-01	3.736827e-01
2.048858e-01	3.249474e-01	-1.837392e-01	3.732974e-01
2.098830e-01	3.222709e-01	-1.876111e-01	3.729028e-01
2.148802e-01	3.195403e-01	-1.914405e-01	3.724990e-01
2.198774e-01	3.167563e-01	-1.952266e-01	3.720860e-01
2.248746e-01	3.139197e-01	-1.989686e-01	3.716639e-01
2.298718e-01	3.110310e-01	-2.026656e-01	3.712326e-01
2.348691e-01	3.080913e-01	-2.063169e-01	3.707923e-01
2.398663e-01	3.051011e-01	-2.099217e-01	3.703428e-01
2.448635e-01	3.020612e-01	-2.134793e-01	3.698843e-01
2.498607e-01	2.989725e-01	-2.169888e-01	3.694167e-01
2.548579e-01	2.958358e-01	-2.204495e-01	3.689401e-01
2.598551e-01	2.926519e-01	-2.238608e-01	3.684546e-01
2.648523e-01	2.894215e-01	-2.272219e-01	3.679600e-01
2.698496e-01	2.861456e-01	-2.305321e-01	3.674566e-01
2.748468e-01	2.828249e-01	-2.337907e-01	3.669442e-01
2.798440e-01	2.794604e-01	-2.369971e-01	3.664229e-01
2.848412e-01	2.760529e-01	-2.401507e-01	3.658928e-01
2.898384e-01	2.726032e-01	-2.432507e-01	3.653539e-01
2.948356e-01	2.691124e-01	-2.462966e-01	3.648061e-01
2.998328e-01	2.655812e-01	-2.492878e-01	3.642496e-01
3.048301e-01	2.620106e-01	-2.522236e-01	3.636844e-01
3.098273e-01	2.584015e-01	-2.551036e-01	3.631104e-01
3.148245e-01	2.547548e-01	-2.579271e-01	3.625278e-01
3.198217e-01	2.510715e-01	-2.606935e-01	3.619365e-01
3.248189e-01	2.473525e-01	-2.634025e-01	3.613366e-01
3.298161e-01	2.435987e-01	-2.660534e-01	3.607281e-01
3.348133e-01	2.398112e-01	-2.686458e-01	3.601111e-01
3.398106e-01	2.359908e-01	-2.711793e-01	3.594856e-01
3.448078e-01	2.321386e-01	-2.736532e-01	3.588515e-01
3.498050e-01	2.282556e-01	-2.760672e-01	3.582091e-01
3.548022e-01	2.243426e-01	-2.784210e-01	3.575582e-01
3.597994e-01	2.204008e-01	-2.807139e-01	3.568989e-01
3.647966e-01	2.164311e-01	-2.829458e-01	3.562313e-01
3.697938e-01	2.124345e-01	-2.851161e-01	3.555554e-01
3.747911e-01	2.084120e-01	-2.872246e-01	3.548712e-01
3.797883e-01	2.043647e-01	-2.892709e-01	3.541787e-01
3.847855e-01	2.002936e-01	-2.912546e-01	3.534781e-01
3.897827e-01	1.961996e-01	-2.931755e-01	3.527693e-01
3.947799e-01	1.920839e-01	-2.950333e-01	3.520524e-01
3.997771e-01	1.879474e-01	-2.968277e-01	3.513274e-01
4.047743e-01	1.837912e-01	-2.985585e-01	3.505943e-01
4.097716e-01	1.796164e-01	-3.002253e-01	3.498533e-01
4.147688e-01	1.754239e-01	-3.018281e-01	3.491042e-01
4.197660e-01	1.712149e-01	-3.033666e-01	3.483472e-01
4.247632e-01	1.669903e-01	-3.048406e-01	3.475824e-01
4.297604e-01	1.627512e-01	-3.062499e-01	3.468097e-01
4.347576e-01	1.584987e-01	-3.075945e-01	3.460292e-01
4.397548e-01	1.542338e-01	-3.088741e-01	3.452409e-01
4.447521e-01	1.499576e-01	-3.100887e-01	3.444449e-01
4.497493e-01	1.456711e-01	-3.112382e-01	3.436412e-01
4.547465e-01	1.413754e-01	-3.123225e-01	3.428299e-01
4.597437e-01	1.370715e-01	-3.133415e-01	3.420110e-01
4.647409e-01	1.327605e-01	-3.142952e-01	3.411845e-01
4.697381e-01	1.284435e-01	-3.151837e-01	3.403505e-01
4.747353e-01	1.241215e-01	-3.160068e-01	3.395091e-01
4.797325e-01	1.197955e-01	-3.167645e-01	3.386602e-01
4.847298e-01	1.154666e-01	-3.174570e-01	3.378040e-01
4.897270e-01	1.111359e-01	-3.180843e-01	3.369404e-01
4.947242e-01	1.068043e-01	-3.186464e-01	3.360695e-01
4.997214e-01	1.024731e-01	-3.191435e-01	3.351914e-01
5.047186e-01	9.814307e-02	-3.195756e-01	3.343061e-01
5.097158e-01	9.381540e-02	-3.199428e-01	3.334137e-01
5.147130e-01	8.949108e-02	-3.202453e-01	3.325142e-01
5.197103e-01	8.517116e-02	-3.204832e-01	3.316076e-01
5.247075e-01	8.085667e-02	-3.206567e-01	3.306940e-01
5.297047e-01	7.654861e-02	-3.207661e-01	3.297735e-01
5.347019e-01	7.224803e-02	-3.208114e-01	3.288461e-01
5.396991e-01	6.795592e-02	-3.207929e-01	3.279118e-01
5.446963e-01	6.367331e-02	-3.207110e-01	3.269707e-01
5.496935e-01	5.940119e-02	-3.205657e-01	3.260228e-01
5.546908e-01	5.514056e-02	-3.203574e-01	3.250682e-01
5.596880e-01	5.089242e-02	-3.200864e-01	3.241070e-01
5.646852e-01	4.665776e-02	-3.197530e-01	3.231392e-01
5.696824e-01	4.243755e-02	-3.193575e-01	3.221648e-01
5.746796e-01	3.823277e-02	-3.189002e-01	3.211839e-01
5.796768e-01	3.404439e-02	-3.183816e-01	3.201966e-01
5.846740e-01	2.987337e-02	-3.178019e-01	3.192028e-01
5.896713e-01	2.572065e-02	-3.171615e-01	3.182027e-01
5.946685e-01	2.158718e-02	-3.164609e-01	3.171964e-01
5.996657e-01	1.747390e-02	-3.157005e-01	3.161837e-01
6.046629e-01	1.338174e-02	-3.148807e-01	3.151649e-01
6.096601e-01	9.311610e-03	-3.140019e-01	3.141400e-01
6.146573e-01	5.264427e-03	-3.130647e-01	3.131089e-01
6.196545e-01	1.241091e-03	-3.120694e-01	3.120719e-01
6.246518e-01	-2.757508e-03	-3.110166e-01	3.110288e-01
6.296490e-01	-6.730485e-03	-3.099068e-01	3.099799e-01
6.346462e-01	-1.067697e-02	-3.087405e-01	3.089251e-01
6.396434e-01	-1.459610e-02	-3.075182e-01	3.078644e-01
6.446406e-01	-1.848702e-02	-3.062406e-01	3.067981e-01
6.496378e-01	-2.234890e-02	-3.049080e-01	3.057260e-01
6.546350e-01	-2.618089e-02	-3.035212e-01	3.046483e-01
6.596323e-01	-2.998219e-02	-3.020807e-01	3.035650e-01
6.646295e-01	-3.375197e-02	-3.005871e-01	3.024761e-01
6.696267e-01	-3.748946e-02	-2.990410e-01	3.013818e-01
6.746239e-01	-4.119385e-02	-2.974431e-01	3.002821e-01
6.796211e-01	-4.486438e-02	-2.957940e-01	2.991770e-01
6.846183e-01	-4.850028e-02	-2.940943e-01	2.980667e-01
6.896155e-01	-5.210081e-02	-2.923447e-01	2.969510e-01
6.946128e-01	-5.566523e-02	-2.905459e-01	2.958303e-01
6.996100e-01	-5.919282e-02	-2.886986e-01	2.947043e-01
7.046072e-01	-6.268285e-02	-2.868034e-01	2.935733e-01
7.096044e-01	-6.613464e-02	-2.848610e-01	2.924374e-01
7.146016e-01	-6.954750e-02	-2.828723e-01	2.912964e-01
7.195988e-01	-7.292076e-02	-2.808379e-01	2.901506e-01
7.245960e-01	-7.625376e-02	-2.787585e-01	2.889999e-01
7.295933e-01	-7.954585e-02	-2.766350e-01	2.878445e-01
7.345905e-01	-8.279641e-02	-2.744680e-01	2.866844e-01
7.395877e-01	-8.600481e-02	-2.722583e-01	2.855196e-01
7.445849e-01	-8.917046e-02	-2.700068e-01	2.843502e-01
7.495821e-01	-9.229276e-02	-2.677141e-01	2.831763e-01
7.545793e-01	-9.537114e-02	-2.653812e-01	2.819979e-01
7.595765e-01	-9.840505e-02	-2.630088e-01	2.808152e-01
7.645738e-01	-1.013939e-01	-2.605976e-01	2.796280e-01
7.695710e-01	-1.043373e-01	-2.581486e-01	2.784366e-01
7.745682e-01	-1.072345e-01	-2.556626e-01	2.772410e-01
7.795654e-01	-1.100852e-01	-2.531403e-01	2.760412e-01
7.845626e-01	-1.128889e-01	-2.505827e-01	2.748374e-01
