# This wake potential is calculated with sigma = 0.4 mm.
# "s [mm]"	"Wake potential [V/pC]"
0.000000000000000000e+00	1.148625278264742422e-01
4.000800160032006586e-02	1.240137455165363778e-01
8.001600320064013172e-02	1.330739312353839687e-01
1.200240048009601906e-01	1.419547727679302263e-01
1.600320064012802634e-01	1.505732377145171941e-01
2.000400080016003224e-01	1.588538883273279134e-01
2.400480096019203813e-01	1.667308312558779260e-01
2.800560112022403847e-01	1.741492198066269259e-01
3.200640128025605269e-01	1.810662555634174886e-01
3.600720144028806136e-01	1.874516677704389234e-01
4.000800160032006447e-01	1.932876802084735335e-01
4.400880176035206759e-01	1.985685040133754187e-01
4.800960192038407626e-01	2.032994189809659291e-01
5.201040208041608492e-01	2.074955239015246478e-01
5.601120224044807694e-01	2.111802475333767193e-01
6.001200240048009116e-01	2.143837157834201645e-01
6.401280256051210538e-01	2.171410679525858090e-01
6.801360272054411960e-01	2.194908064766212807e-01
7.201440288057612271e-01	2.214732517630142450e-01
7.601520304060811473e-01	2.231291580090085935e-01
8.001600320064012895e-01	2.244985288341790897e-01
8.401680336067213206e-01	2.256196546131905012e-01
8.801760352070413518e-01	2.265283777636485363e-01
9.201840368073614940e-01	2.272575788433400801e-01
9.601920384076815251e-01	2.278368657201461367e-01
1.000200040008001556e+00	2.282924405478159446e-01
1.040208041608321698e+00	2.286471147714245200e-01
1.080216043208641619e+00	2.289204406243239009e-01
1.120224044808961539e+00	2.291289281270116052e-01
1.160232046409281903e+00	2.292863189291491355e-01
1.200240048009601823e+00	2.294038918944669714e-01
1.240248049609921965e+00	2.294907795878579349e-01
1.280256051210242108e+00	2.295542793251417746e-01
1.320264052810562028e+00	2.296001468202761853e-01
1.360272054410882392e+00	2.296328644442752753e-01
1.400280056011202312e+00	2.296558795251179841e-01
1.440288057611522454e+00	2.296718108862791097e-01
1.480296059211842374e+00	2.296826239322209695e-01
1.520304060812162295e+00	2.296897760840848624e-01
1.560312062412482659e+00	2.296943353243262320e-01
1.600320064012802579e+00	2.296970751198442462e-01
1.640328065613122721e+00	2.296985491590709250e-01
1.680336067213442641e+00	2.296991492545807367e-01
1.720344068813762561e+00	2.296991495131051608e-01
1.760352070414082704e+00	2.296987395289236400e-01
1.800360072014402846e+00	2.296980489685152838e-01
1.840368073614722988e+00	2.296971655233296938e-01
1.880376075215042908e+00	2.296961478397900602e-01
1.920384076815363050e+00	2.296950347066791520e-01
1.960392078415683192e+00	2.296938514971724188e-01
2.000400080016003113e+00	2.296926146273563230e-01
2.040408081616323255e+00	2.296913346025966363e-01
2.080416083216643397e+00	2.296900180728527197e-01
2.120424084816963539e+00	2.296886692021326559e-01
2.160432086417283237e+00	2.296872905697676659e-01
2.200440088017603824e+00	2.296858837563644229e-01
2.240448089617923078e+00	2.296844497201784019e-01
2.280456091218243664e+00	2.296829890359900206e-01
2.320464092818563806e+00	2.296815020449252120e-01
2.360472094418883504e+00	2.296799889473207790e-01
2.400480096019203646e+00	2.296784498596169954e-01
2.440488097619523788e+00	2.296768848488104919e-01
2.480496099219843931e+00	2.296752939530773974e-01
2.520504100820164073e+00	2.296736771939790478e-01
2.560512102420484215e+00	2.296720345836026356e-01
2.600520104020804357e+00	2.296703661286921272e-01
2.640528105621124055e+00	2.296686718330113453e-01
2.680536107221444198e+00	2.296669516986803161e-01
2.720544108821764784e+00	2.296652057269225333e-01
2.760552110422084482e+00	2.296634339184788764e-01
2.800560112022404624e+00	2.296616362738330974e-01
2.840568113622724322e+00	2.296598127933349720e-01
2.880576115223044908e+00	2.296579634772651646e-01
2.920584116823364162e+00	2.296560883258700891e-01
2.960592118423684749e+00	2.296541873393799782e-01
3.000600120024004891e+00	2.296522605180184307e-01
3.040608121624324589e+00	2.296503078620070748e-01
3.080616123224644731e+00	2.296483293715680107e-01
3.120624124824965318e+00	2.296463250469251982e-01
3.160632126425285016e+00	2.296442948883046509e-01
3.200640128025605158e+00	2.296422388959353245e-01
3.240648129625924856e+00	2.296401570700487282e-01
3.280656131226245442e+00	2.296380494108794523e-01
3.320664132826565140e+00	2.296359159186645849e-01
3.360672134426885282e+00	2.296337565936445446e-01
3.400680136027205869e+00	2.296315714360623039e-01
3.440688137627525123e+00	2.296293604461639715e-01
3.480696139227845709e+00	2.296271236241984315e-01
3.520704140828165407e+00	2.296248609704175381e-01
3.560712142428485993e+00	2.296225724850759209e-01
3.600720144028805692e+00	2.296202581684314292e-01
3.640728145629125834e+00	2.296179180207443271e-01
3.680736147229445976e+00	2.296155520422782925e-01
3.720744148829765674e+00	2.296131602332995292e-01
3.760752150430085816e+00	2.296107425940774327e-01
3.800760152030406402e+00	2.296082991248840077e-01
3.840768153630726101e+00	2.296058298259944785e-01
3.880776155231046243e+00	2.296033346976867340e-01
3.920784156831366385e+00	2.296008137402417160e-01
3.960792158431686527e+00	2.295982669539431420e-01
4.000800160032006225e+00	2.295956943390777549e-01
4.040808161632326367e+00	2.295930958959351564e-01
4.080816163232646510e+00	2.295904716248078625e-01
4.120824164832966652e+00	2.295878215259912480e-01
4.160832166433286794e+00	2.295851455997836299e-01
4.200840168033606936e+00	2.295824438464862394e-01
4.240848169633927078e+00	2.295797162664032220e-01
4.280856171234247221e+00	2.295769628598416101e-01
4.320864172834566475e+00	2.295741836271112668e-01
4.360872174434887505e+00	2.295713785685251640e-01
4.400880176035207647e+00	2.295685476843990214e-01
4.440888177635527789e+00	2.295656909750513619e-01
4.480896179235846155e+00	2.295628084408039005e-01
4.520904180836167185e+00	2.295599000819810165e-01
4.560912182436487328e+00	2.295569658989100870e-01
4.600920184036807470e+00	2.295540058919214310e-01
4.640928185637127612e+00	2.295510200613481711e-01
4.680936187237446866e+00	2.295480084075264549e-01
4.720944188837767008e+00	2.295449709307952335e-01
4.760952190438088039e+00	2.295419076314963724e-01
4.800960192038407293e+00	2.295388185099747347e-01
4.840968193638728323e+00	2.295357035665779311e-01
4.880976195239047577e+00	2.295325628016567365e-01
4.920984196839367719e+00	2.295293962155645073e-01
4.960992198439687861e+00	2.295262038086577083e-01
5.001000200040008004e+00	2.295229855812956909e-01
5.041008201640328146e+00	2.295197415338406655e-01
5.081016203240648288e+00	2.295164716666577287e-01
5.121024204840968430e+00	2.295131759801150029e-01
5.161032206441287684e+00	2.295098544745833302e-01
5.201040208041608714e+00	2.295065071504366339e-01
5.241048209641928857e+00	2.295031340080516125e-01
5.281056211242248111e+00	2.294997350478079901e-01
5.321064212842568253e+00	2.294963102700882662e-01
5.361072214442888395e+00	2.294928596752778827e-01
5.401080216043208537e+00	2.294893832637652786e-01
5.441088217643529568e+00	2.294858810359416412e-01
5.481096219243847933e+00	2.294823529922012662e-01
5.521104220844168964e+00	2.294787991329411414e-01
5.561112222444489106e+00	2.294752194585612248e-01
5.601120224044809248e+00	2.294716139694644996e-01
5.641128225645129390e+00	2.294679826660567246e-01
5.681136227245448644e+00	2.294643255487465727e-01
5.721144228845768787e+00	2.294606426179457148e-01
5.761152230446089817e+00	2.294569338740684861e-01
5.801160232046409959e+00	2.294531993175324969e-01
5.841168233646728325e+00	2.294494389487579389e-01
5.881176235247049355e+00	2.294456527681680569e-01
5.921184236847369498e+00	2.294418407761889822e-01
5.961192238447689640e+00	2.294380029732497606e-01
6.001200240048009782e+00	2.294341393597822132e-01
6.041208241648329924e+00	2.294302499362213255e-01
6.081216243248649178e+00	2.294263347030046918e-01
6.121224244848970208e+00	2.294223936605730152e-01
6.161232246449289462e+00	2.294184268093698853e-01
6.201240248049609605e+00	2.294144341498416395e-01
6.241248249649930635e+00	2.294104156824376961e-01
6.281256251250249889e+00	2.294063714076102489e-01
6.321264252850570031e+00	2.294023013258145172e-01
6.361272254450890173e+00	2.293982054375085511e-01
6.401280256051210316e+00	2.293940837431532598e-01
6.441288257651531346e+00	2.293899362432125499e-01
6.481296259251849712e+00	2.293857629381531593e-01
6.521304260852169854e+00	2.293815638284447678e-01
6.561312262452490884e+00	2.293773389145599695e-01
6.601320264052811027e+00	2.293730881969742452e-01
6.641328265653130281e+00	2.293688116761659346e-01
6.681336267253450423e+00	2.293645093526162915e-01
6.721344268853770565e+00	2.293601812268095674e-01
6.761352270454090707e+00	2.293558272992328173e-01
6.801360272054411737e+00	2.293514475703760380e-01
6.841368273654730103e+00	2.293470420407321131e-01
6.881376275255050246e+00	2.293426107107968126e-01
6.921384276855371276e+00	2.293381535810688487e-01
6.961392278455691418e+00	2.293336706520498758e-01
7.001400280056011560e+00	2.293291619242443236e-01
7.041408281656330814e+00	2.293246273981595640e-01
7.081416283256650956e+00	2.293200670743060221e-01
7.121424284856971987e+00	2.293154809531968152e-01
7.161432286457291241e+00	2.293108690353480306e-01
7.201440288057611383e+00	2.293062313212787529e-01
7.241448289657932413e+00	2.293015678115108702e-01
7.281456291258251667e+00	2.292968785065691850e-01
7.321464292858570921e+00	2.292921634069813863e-01
7.361472294458891952e+00	2.292874225132781607e-01
7.401480296059212094e+00	2.292826558259929703e-01
7.441488297659531348e+00	2.292778633456622195e-01
7.481496299259852378e+00	2.292730450728253100e-01
7.521504300860171632e+00	2.292682010080244193e-01
7.561512302460491775e+00	2.292633311518046668e-01
7.601520304060812805e+00	2.292584355047141143e-01
7.641528305661132059e+00	2.292535140673036265e-01
7.681536307261452201e+00	2.292485668401270937e-01
7.721544308861772343e+00	2.292435938237411819e-01
7.761552310462092485e+00	2.292385950187056654e-01
7.801560312062413516e+00	2.292335704255828721e-01
7.841568313662732770e+00	2.292285200449384053e-01
7.881576315263052912e+00	2.292234438773405880e-01
7.921584316863373054e+00	2.292183419233604913e-01
7.961592318463693196e+00	2.292132141835724612e-01
8.001600320064012450e+00	2.292080606585533975e-01
8.041608321664332593e+00	2.292028813488833361e-01
8.081616323264652735e+00	2.291976762551449498e-01
8.121624324864972877e+00	2.291924453779241866e-01
8.161632326465293019e+00	2.291871887178095479e-01
8.201640328065613161e+00	2.291819062753926717e-01
8.241648329665933304e+00	2.291765980512678602e-01
8.281656331266253446e+00	2.291712640460325801e-01
8.321664332866573588e+00	2.291659042602870733e-01
8.361672334466891954e+00	2.291605186946344130e-01
8.401680336067213872e+00	2.291551073496806423e-01
8.441688337667534014e+00	2.291496702260348017e-01
8.481696339267854157e+00	2.291442073243085686e-01
8.521704340868174299e+00	2.291387186451167846e-01
8.561712342468494441e+00	2.291332041890771221e-01
8.601720344068812807e+00	2.291276639568100570e-01
8.641728345669132949e+00	2.291220979489391185e-01
8.681736347269453091e+00	2.291165061660905555e-01
8.721744348869775010e+00	2.291108886088936147e-01
8.761752350470093376e+00	2.291052452779804571e-01
8.801760352070415294e+00	2.290995761739861580e-01
8.841768353670733660e+00	2.290938812975485406e-01
8.881776355271055579e+00	2.290881606493086198e-01
8.921784356871373944e+00	2.290824142299099642e-01
8.961792358471692310e+00	2.290766420399993342e-01
9.001800360072014229e+00	2.290708440802261270e-01
9.041808361672334371e+00	2.290650203512429595e-01
9.081816363272654513e+00	2.290591708537050575e-01
9.121824364872974655e+00	2.290532955882705612e-01
9.161832366473294798e+00	2.290473945556007751e-01
9.201840368073614940e+00	2.290414677563596124e-01
9.241848369673935082e+00	2.290355151912141229e-01
9.281856371274255224e+00	2.290295368608339932e-01
9.321864372874573590e+00	2.290235327658919628e-01
9.361872374474893732e+00	2.290175029070637414e-01
9.401880376075215651e+00	2.290114472850278415e-01
9.441888377675534016e+00	2.290053659004656073e-01
9.481896379275855935e+00	2.289992587540614077e-01
9.521904380876176077e+00	2.289931258465024155e-01
9.561912382476496219e+00	2.289869671784788563e-01
9.601920384076814585e+00	2.289807827506835369e-01
9.641928385677134727e+00	2.289745725638125395e-01
9.681936387277456646e+00	2.289683366185646662e-01
9.721944388877775012e+00	2.289620749156415225e-01
9.761952390478095154e+00	2.289557874557477946e-01
9.801960392078417073e+00	2.289494742395909721e-01
9.841968393678735438e+00	2.289431352678814036e-01
9.881976395279057357e+00	2.289367705413324350e-01
9.921984396879375723e+00	2.289303800606602157e-01
9.961992398479694089e+00	2.289239638265838372e-01
1.000200040008001601e+01	2.289175218398253608e-01
1.004200840168033615e+01	2.289110541011095679e-01
1.008201640328065629e+01	2.289045606111643483e-01
1.012202440488097643e+01	2.288980413707202011e-01
1.016203240648129658e+01	2.288914963805109282e-01
1.020204040808161672e+01	2.288849256412728017e-01
1.024204840968193686e+01	2.288783291537453413e-01
1.028205641128225700e+01	2.288717069186706754e-01
1.032206441288257537e+01	2.288650589367940691e-01
1.036207241448289551e+01	2.288583852088635351e-01
1.040208041608321743e+01	2.288516857356300560e-01
1.044208841768353579e+01	2.288449605178474733e-01
1.048209641928385771e+01	2.288382095562724594e-01
1.052210442088417786e+01	2.288314328516647400e-01
1.056211242248449622e+01	2.288246304047868440e-01
1.060212042408481636e+01	2.288178022164041869e-01
1.064212842568513651e+01	2.288109482872850708e-01
1.068213642728545665e+01	2.288040686182007122e-01
1.072214442888577679e+01	2.287971632099253250e-01
1.076215243048609693e+01	2.287902320632358710e-01
1.080216043208641707e+01	2.287832751789121710e-01
1.084216843368673722e+01	2.287762925577371820e-01
1.088217643528705914e+01	2.287692842004965810e-01
1.092218443688737750e+01	2.287622501079788484e-01
1.096219243848769587e+01	2.287551902809755455e-01
1.100220044008801779e+01	2.287481047202810924e-01
1.104220844168833793e+01	2.287409934266927125e-01
1.108221644328865807e+01	2.287338564010106823e-01
1.112222444488897821e+01	2.287266936440379705e-01
1.116223244648929835e+01	2.287195051565805715e-01
1.120224044808961850e+01	2.287122909394473658e-01
1.124224844968993864e+01	2.287050509934500098e-01
1.128225645129025878e+01	2.286977853194033239e-01
1.132226445289057715e+01	2.286904939181247653e-01
1.136227245449089729e+01	2.286831767904347612e-01
1.140228045609121921e+01	2.286758339371566529e-01
1.144228845769153757e+01	2.286684653591165850e-01
1.148229645929185949e+01	2.286610710571438387e-01
1.152230446089217963e+01	2.286536510320703319e-01
1.156231246249249800e+01	2.286462052847309800e-01
1.160232046409281992e+01	2.286387338159635851e-01
1.164232846569313828e+01	2.286312366266088913e-01
1.168233646729345665e+01	2.286237137175103351e-01
1.172234446889377857e+01	2.286161650895146280e-01
1.176235247049409871e+01	2.286085907434709796e-01
1.180236047209441885e+01	2.286009906802317082e-01
1.184236847369473900e+01	2.285933649006519075e-01
1.188237647529506091e+01	2.285857134055897244e-01
1.192238447689537928e+01	2.285780361959060536e-01
1.196239247849569765e+01	2.285703332724647874e-01
1.200240048009601956e+01	2.285626046361325658e-01
1.204240848169633793e+01	2.285548502877790822e-01
1.208241648329665985e+01	2.285470702282768884e-01
1.212242448489697999e+01	2.285392644585012845e-01
1.216243248649729836e+01	2.285314329793306232e-01
1.220244048809762027e+01	2.285235757916461163e-01
