# This wake potential is calculated with sigma = 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
0.000000000000000000e+00	4.716536655309415578e-03
4.000800160032006586e-02	5.331355249204686696e-03
8.001600320064013172e-02	5.993083181898691165e-03
1.200240048009601906e-01	6.701022791972183201e-03
1.600320064012802634e-01	7.454034362431432963e-03
2.000400080016003224e-01	8.250569391517741102e-03
2.400480096019203813e-01	9.088714880474017821e-03
2.800560112022403847e-01	9.966246535208741694e-03
3.200640128025605269e-01	1.088068842839937274e-02
3.600720144028806136e-01	1.182937647574312974e-02
4.000800160032006447e-01	1.280952305014741374e-02
4.400880176035206759e-01	1.381828018324120222e-02
4.800960192038407626e-01	1.485279906586589420e-02
5.201040208041608492e-01	1.591028393031649821e-02
5.601120224044807694e-01	1.698803884324216057e-02
6.001200240048009116e-01	1.808350642285795964e-02
6.401280256051210538e-01	1.919429798176789173e-02
6.801360272054411960e-01	2.031821505518531176e-02
7.201440288057612271e-01	2.145326267749017926e-02
7.601520304060811473e-01	2.259765509907929459e-02
8.001600320064012895e-01	2.374981487949574116e-02
8.401680336067213206e-01	2.490836644877254119e-02
8.801760352070413518e-01	2.607212530056540745e-02
9.201840368073614940e-01	2.724008397724992855e-02
9.601920384076815251e-01	2.841139594183435604e-02
1.000200040008001556e+00	2.958535831953466519e-02
1.040208041608321698e+00	3.076139434894061345e-02
1.080216043208641619e+00	3.193903622380003804e-02
1.120224044808961539e+00	3.311790884463756274e-02
1.160232046409281903e+00	3.429771484525944575e-02
1.200240048009601823e+00	3.547822112042617326e-02
1.240248049609921965e+00	3.665924696253882592e-02
1.280256051210242108e+00	3.784065381947653711e-02
1.320264052810562028e+00	3.902233661299375073e-02
1.360272054410882392e+00	4.020421650595038671e-02
1.400280056011202312e+00	4.138623497459750084e-02
1.440288057611522454e+00	4.256834902602242565e-02
1.480296059211842374e+00	4.375052739728917117e-02
1.520304060812162295e+00	4.493274757849384515e-02
1.560312062412482659e+00	4.611499351390803414e-02
1.600320064012802579e+00	4.729725385106750557e-02
1.640328065613122721e+00	4.847952062504774784e-02
1.680336067213442641e+00	4.966178828272277412e-02
1.720344068813762561e+00	5.084405296846927769e-02
1.760352070414082704e+00	5.202631200788215837e-02
1.800360072014402846e+00	5.320856353926385618e-02
1.840368073614722988e+00	5.439080625382676504e-02
1.880376075215042908e+00	5.557303921476315633e-02
1.920384076815363050e+00	5.675526173275436542e-02
1.960392078415683192e+00	5.793747328133229402e-02
2.000400080016003113e+00	5.911967344001319707e-02
2.040408081616323255e+00	6.030186185653728381e-02
2.080416083216643397e+00	6.148403822208502179e-02
2.120424084816963539e+00	6.266620225519799192e-02
2.160432086417283237e+00	6.384835369146597828e-02
2.200440088017603824e+00	6.503049227698737278e-02
2.240448089617923078e+00	6.621261776426944079e-02
2.280456091218243664e+00	6.739472990968647936e-02
2.320464092818563806e+00	6.857682847192202169e-02
2.360472094418883504e+00	6.975891321102409282e-02
2.400480096019203646e+00	7.094098388783937059e-02
2.440488097619523788e+00	7.212304026367719056e-02
2.480496099219843931e+00	7.330508210011288384e-02
2.520504100820164073e+00	7.448710915887361839e-02
2.560512102420484215e+00	7.566912120177293755e-02
2.600520104020804357e+00	7.685111799067358140e-02
2.640528105621124055e+00	7.803309928746676727e-02
2.680536107221444198e+00	7.921506485406051845e-02
2.720544108821764784e+00	8.039701445237348865e-02
2.760552110422084482e+00	8.157894784433145086e-02
2.800560112022404624e+00	8.276086479186549327e-02
2.840568113622724322e+00	8.394276505691113111e-02
2.880576115223044908e+00	8.512464840140776534e-02
2.920584116823364162e+00	8.630651458729855785e-02
2.960592118423684749e+00	8.748836337653023709e-02
3.000600120024004891e+00	8.867019453105312587e-02
3.040608121624324589e+00	8.985200781282112747e-02
3.080616123224644731e+00	9.103380298379183666e-02
3.120624124824965318e+00	9.221557980592644255e-02
3.160632126425285016e+00	9.339733804118985350e-02
3.200640128025605158e+00	9.457907745155076651e-02
3.240648129625924856e+00	9.576079779898172273e-02
3.280656131226245442e+00	9.694249884545896867e-02
3.320664132826565140e+00	9.812418035296281704e-02
3.360672134426885282e+00	9.930584208347745245e-02
3.400680136027205869e+00	1.004874837989910424e-01
3.440688137627525123e+00	1.016691052614958068e-01
3.480696139227845709e+00	1.028507062329880872e-01
3.520704140828165407e+00	1.040322864754683468e-01
3.560712142428485993e+00	1.052138457509412123e-01
3.600720144028805692e+00	1.063953838214155706e-01
3.640728145629125834e+00	1.075769004489045971e-01
3.680736147229445976e+00	1.087583953954258248e-01
3.720744148829765674e+00	1.099398684230010748e-01
3.760752150430085816e+00	1.111213192936566646e-01
3.800760152030406402e+00	1.123027477694234361e-01
3.840768153630726101e+00	1.134841536123366024e-01
3.880776155231046243e+00	1.146655365844361230e-01
3.920784156831366385e+00	1.158468964477664814e-01
3.960792158431686527e+00	1.170282329643768104e-01
4.000800160032006225e+00	1.182095458963210444e-01
4.040808161632326367e+00	1.193908350056578360e-01
4.080816163232646510e+00	1.205721000544505983e-01
4.120824164832966652e+00	1.217533408047676707e-01
4.160832166433286794e+00	1.229345570186823056e-01
4.200840168033606936e+00	1.241157484582727094e-01
4.240848169633927078e+00	1.252969148856220294e-01
4.280856171234247221e+00	1.264780560628185058e-01
4.320864172834566475e+00	1.276591717519555413e-01
4.360872174434887505e+00	1.288402617151315488e-01
4.400880176035207647e+00	1.300213257144502976e-01
4.440888177635527789e+00	1.312023635120206921e-01
4.480896179235846155e+00	1.323833748699569379e-01
4.520904180836167185e+00	1.335643595503786252e-01
4.560912182436487328e+00	1.347453173154107564e-01
4.600920184036807470e+00	1.359262479271836632e-01
4.640928185637127612e+00	1.371071511478333116e-01
4.680936187237446866e+00	1.382880267395009688e-01
4.720944188837767008e+00	1.394688744643337308e-01
4.760952190438088039e+00	1.406496940844842447e-01
4.800960192038407293e+00	1.418304853621107919e-01
4.840968193638728323e+00	1.430112480593773161e-01
4.880976195239047577e+00	1.441919819384536727e-01
4.920984196839367719e+00	1.453726867615155460e-01
4.960992198439687861e+00	1.465533622907443934e-01
5.001000200040008004e+00	1.477340082883274730e-01
5.041008201640328146e+00	1.489146245164583715e-01
5.081016203240648288e+00	1.500952107373363653e-01
5.121024204840968430e+00	1.512757667131668649e-01
5.161032206441287684e+00	1.524562922061615533e-01
5.201040208041608714e+00	1.536367869785380258e-01
5.241048209641928857e+00	1.548172507925202335e-01
5.281056211242248111e+00	1.559976834103383447e-01
5.321064212842568253e+00	1.571780845942288563e-01
5.361072214442888395e+00	1.583584541064345375e-01
5.401080216043208537e+00	1.595387917092046803e-01
5.441088217643529568e+00	1.607190971647949052e-01
5.481096219243847933e+00	1.618993702354673547e-01
5.521104220844168964e+00	1.630796106834907500e-01
5.561112222444489106e+00	1.642598182711403898e-01
5.601120224044809248e+00	1.654399927606981235e-01
5.641128225645129390e+00	1.666201339144526561e-01
5.681136227245448644e+00	1.678002414946992427e-01
5.721144228845768787e+00	1.689803152637400774e-01
5.761152230446089817e+00	1.701603549838841822e-01
5.801160232046409959e+00	1.713403604174471850e-01
5.841168233646728325e+00	1.725203313267519856e-01
5.881176235247049355e+00	1.737002674741282837e-01
5.921184236847369498e+00	1.748801686219128293e-01
5.961192238447689640e+00	1.760600345324494498e-01
6.001200240048009782e+00	1.772398649680890503e-01
6.041208241648329924e+00	1.784196596911897525e-01
6.081216243248649178e+00	1.795994184641168112e-01
6.121224244848970208e+00	1.807791410492429474e-01
6.161232246449289462e+00	1.819588272089479319e-01
6.201240248049609605e+00	1.831384767056190299e-01
6.241248249649930635e+00	1.843180893016508892e-01
6.281256251250249889e+00	1.854976647594455963e-01
6.321264252850570031e+00	1.866772028414127871e-01
6.361272254450890173e+00	1.878567033099695083e-01
6.401280256051210316e+00	1.890361659275407169e-01
6.441288257651531346e+00	1.902155904565585587e-01
6.481296259251849712e+00	1.913949766594632840e-01
6.521304260852169854e+00	1.925743242987026371e-01
6.561312262452490884e+00	1.937536331367323283e-01
6.601320264052811027e+00	1.949329029360156729e-01
6.641328265653130281e+00	1.961121334590240906e-01
6.681336267253450423e+00	1.972913244682368838e-01
6.721344268853770565e+00	1.984704757261411545e-01
6.761352270454090707e+00	1.996495869952323032e-01
6.801360272054411737e+00	2.008286580380136965e-01
6.841368273654730103e+00	2.020076886169966945e-01
6.881376275255050246e+00	2.031866784947011229e-01
6.921384276855371276e+00	2.043656274336546341e-01
6.961392278455691418e+00	2.055445351963935130e-01
7.001400280056011560e+00	2.067234015454621765e-01
7.041408281656330814e+00	2.079022262434134793e-01
7.081416283256650956e+00	2.090810090528086307e-01
7.121424284856971987e+00	2.102597497362173051e-01
7.161432286457291241e+00	2.114384480562176705e-01
7.201440288057611383e+00	2.126171037753965543e-01
7.241448289657932413e+00	2.137957166563492772e-01
7.281456291258251667e+00	2.149742864616798754e-01
7.321464292858570921e+00	2.161528129540009890e-01
7.361472294458891952e+00	2.173312958959341679e-01
7.401480296059212094e+00	2.185097350501096214e-01
7.441488297659531348e+00	2.196881301791664132e-01
7.481496299259852378e+00	2.208664810457526551e-01
7.521504300860171632e+00	2.220447874125250909e-01
7.561512302460491775e+00	2.232230490421497071e-01
7.601520304060812805e+00	2.244012656973015662e-01
7.641528305661132059e+00	2.255794371406645848e-01
7.681536307261452201e+00	2.267575631349319776e-01
7.721544308861772343e+00	2.279356434428060352e-01
7.761552310462092485e+00	2.291136778269983187e-01
7.801560312062413516e+00	2.302916660502298263e-01
7.841568313662732770e+00	2.314696078752305208e-01
7.881576315263052912e+00	2.326475030647400521e-01
7.921584316863373054e+00	2.338253513815074236e-01
7.961592318463693196e+00	2.350031525882909367e-01
8.001600320064012450e+00	2.361809064478585796e-01
8.041608321664332593e+00	2.373586127229878884e-01
8.081616323264652735e+00	2.385362711764659194e-01
8.121624324864972877e+00	2.397138815710894710e-01
8.161632326465293019e+00	2.408914436696650008e-01
8.201640328065613161e+00	2.420689572350087637e-01
8.241648329665933304e+00	2.432464220299467572e-01
8.281656331266253446e+00	2.444238378173148873e-01
8.321664332866573588e+00	2.456012043599588579e-01
8.361672334466891954e+00	2.467785214207345312e-01
8.401680336067213872e+00	2.479557887625075119e-01
8.441688337667534014e+00	2.491330061481535352e-01
8.481696339267854157e+00	2.503101733405585505e-01
8.521704340868174299e+00	2.514872901026184437e-01
8.561712342468494441e+00	2.526643561972394258e-01
8.601720344068812807e+00	2.538413713873379218e-01
8.641728345669132949e+00	2.550183354358405152e-01
8.681736347269453091e+00	2.561952481056842812e-01
8.721744348869775010e+00	2.573721091598166200e-01
8.761752350470093376e+00	2.585489183611952568e-01
8.801760352070415294e+00	2.597256754727886308e-01
8.841768353670733660e+00	2.609023802575753392e-01
8.881776355271055579e+00	2.620790324785449155e-01
8.921784356871373944e+00	2.632556318986972732e-01
8.961792358471692310e+00	2.644321782810429844e-01
9.001800360072014229e+00	2.656086713886035566e-01
9.041808361672334371e+00	2.667851109844109891e-01
9.081816363272654513e+00	2.679614968315082169e-01
9.121824364872974655e+00	2.691378286929490549e-01
9.161832366473294798e+00	2.703141063317981985e-01
9.201840368073614940e+00	2.714903295111311676e-01
9.241848369673935082e+00	2.726664979940348066e-01
9.281856371274255224e+00	2.738426115436066177e-01
9.321864372874573590e+00	2.750186699229552612e-01
9.361872374474893732e+00	2.761946728952009433e-01
9.401880376075215651e+00	2.773706202234745288e-01
9.441888377675534016e+00	2.785465116709183730e-01
9.481896379275855935e+00	2.797223470006862667e-01
9.521904380876176077e+00	2.808981259759430471e-01
9.561912382476496219e+00	2.820738483598650981e-01
9.601920384076814585e+00	2.832495139156399611e-01
9.641928385677134727e+00	2.844251224064672234e-01
9.681936387277456646e+00	2.856006735955573528e-01
9.721944388877775012e+00	2.867761672461328626e-01
9.761952390478095154e+00	2.879516031214276461e-01
9.801960392078417073e+00	2.891269809846874206e-01
9.841968393678735438e+00	2.903023005991693939e-01
9.881976395279057357e+00	2.914775617281427644e-01
9.921984396879375723e+00	2.926527641348883879e-01
9.961992398479694089e+00	2.938279075826988884e-01
1.000200040008001601e+01	2.950029918348792690e-01
1.004200840168033615e+01	2.961780166547459681e-01
1.008201640328065629e+01	2.973529818056275809e-01
1.012202440488097643e+01	2.985278870508649707e-01
1.016203240648129658e+01	2.997027321538107136e-01
1.020204040808161672e+01	3.008775168778298759e-01
1.024204840968193686e+01	3.020522409862996249e-01
1.028205641128225700e+01	3.032269042426091188e-01
1.032206441288257537e+01	3.044015064101601720e-01
1.036207241448289551e+01	3.055760472523667559e-01
1.040208041608321743e+01	3.067505265326552211e-01
1.044208841768353579e+01	3.079249440144642969e-01
1.048209641928385771e+01	3.090992994612454248e-01
1.052210442088417786e+01	3.102735926364622587e-01
1.056211242248449622e+01	3.114478233035913868e-01
1.060212042408481636e+01	3.126219912261216094e-01
1.064212842568513651e+01	3.137960961675546612e-01
1.068213642728545665e+01	3.149701378914049887e-01
1.072214442888577679e+01	3.161441161611998063e-01
1.076215243048609693e+01	3.173180307404789846e-01
1.080216043208641707e+01	3.184918813927954950e-01
1.084216843368673722e+01	3.196656678817150210e-01
1.088217643528705914e+01	3.208393899708161801e-01
1.092218443688737750e+01	3.220130474236908014e-01
1.096219243848769587e+01	3.231866400039436482e-01
1.100220044008801779e+01	3.243601674751926400e-01
1.104220844168833793e+01	3.255336296010686303e-01
1.108221644328865807e+01	3.267070261452159619e-01
1.112222444488897821e+01	3.278803568712920780e-01
1.116223244648929835e+01	3.290536215429676337e-01
1.120224044808961850e+01	3.302268199239267732e-01
1.124224844968993864e+01	3.313999517778670190e-01
1.128225645129025878e+01	3.325730168684993271e-01
1.132226445289057715e+01	3.337460149595479209e-01
1.136227245449089729e+01	3.349189458147509013e-01
1.140228045609121921e+01	3.360918091978595812e-01
1.144228845769153757e+01	3.372646048726392620e-01
1.148229645929185949e+01	3.384373326028686790e-01
1.152230446089217963e+01	3.396099921523403342e-01
1.156231246249249800e+01	3.407825832848603853e-01
1.160232046409281992e+01	3.419551057642491454e-01
1.164232846569313828e+01	3.431275593543405833e-01
1.168233646729345665e+01	3.442999438189823791e-01
1.172234446889377857e+01	3.454722589220367013e-01
1.176235247049409871e+01	3.466445044273790965e-01
1.180236047209441885e+01	3.478166800988994889e-01
1.184236847369473900e+01	3.489887857005019578e-01
1.188237647529506091e+01	3.501608209961047935e-01
1.192238447689537928e+01	3.513327857496399420e-01
1.196239247849569765e+01	3.525046797250544484e-01
1.200240048009601956e+01	3.536765026863089023e-01
1.204240848169633793e+01	3.548482543973786596e-01
1.208241648329665985e+01	3.560199346222533423e-01
1.212242448489697999e+01	3.571915431249370609e-01
1.216243248649729836e+01	3.583630796694480813e-01
1.220244048809762027e+01	3.595345440198198239e-01
1.224244848969794042e+01	3.607059359400997534e-01
1.228245649129825878e+01	3.618772551943500448e-01
1.232246449289857892e+01	3.630485015466478060e-01
1.236247249449889907e+01	3.642196747610847996e-01
1.240248049609921921e+01	3.653907746017671654e-01
1.244248849769953935e+01	3.665618008328164201e-01
1.248249649929986127e+01	3.677327532183685133e-01
1.252250450090018141e+01	3.689036315225746043e-01
1.256251250250049978e+01	3.700744355096004523e-01
1.260252050410082170e+01	3.712451649436274148e-01
1.264252850570114006e+01	3.724158195888513379e-01
