# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    1.6475600e+00    1.9279996e+07
1.0000000e+01    1.4929769e+06    1.8243647e+07
2.0000000e+01    2.0945814e+06    1.7543662e+07
3.0000000e+01    2.4338997e+06    1.7001279e+07
4.0000000e+01    2.7732180e+06    1.6458896e+07
5.0000000e+01    3.0576494e+06    1.5983799e+07
6.0000000e+01    3.2214460e+06    1.5652593e+07
7.0000000e+01    3.3025144e+06    1.5388999e+07
8.0000000e+01    3.3835828e+06    1.5125404e+07
9.0000000e+01    3.4646512e+06    1.4861810e+07
1.0000000e+02    3.5457196e+06    1.4598216e+07
1.1000000e+02    3.6267879e+06    1.4334621e+07
1.2000000e+02    3.7078563e+06    1.4071027e+07
1.3000000e+02    3.7889247e+06    1.3807432e+07
1.4000000e+02    3.8699931e+06    1.3543838e+07
1.5000000e+02    3.9483753e+06    1.3288199e+07
1.6000000e+02    3.9917372e+06    1.3131359e+07
1.7000000e+02    4.0339672e+06    1.2977607e+07
1.8000000e+02    4.0761972e+06    1.2823856e+07
1.9000000e+02    4.1184271e+06    1.2670104e+07
2.0000000e+02    4.1325234e+06    1.2554271e+07
2.1000000e+02    4.1372686e+06    1.2451041e+07
2.2000000e+02    4.1420138e+06    1.2347811e+07
2.3000000e+02    4.1467590e+06    1.2244581e+07
2.4000000e+02    4.1515042e+06    1.2141351e+07
2.5000000e+02    4.1562494e+06    1.2038121e+07
2.6000000e+02    4.1609946e+06    1.1934891e+07
2.7000000e+02    4.1657398e+06    1.1831661e+07
2.8000000e+02    4.1704850e+06    1.1728431e+07
2.9000000e+02    4.1752302e+06    1.1625201e+07
3.0000000e+02    4.1799754e+06    1.1521971e+07
3.1000000e+02    4.1847206e+06    1.1418741e+07
3.2000000e+02    4.1894658e+06    1.1315511e+07
3.3000000e+02    4.1942110e+06    1.1212281e+07
3.4000000e+02    4.1989562e+06    1.1109051e+07
3.5000000e+02    4.2037014e+06    1.1005821e+07
3.6000000e+02    4.2084466e+06    1.0902591e+07
3.7000000e+02    4.2131918e+06    1.0799361e+07
3.8000000e+02    4.2179370e+06    1.0696131e+07
3.9000000e+02    4.2226822e+06    1.0592901e+07
4.0000000e+02    4.2274274e+06    1.0489671e+07
4.1000000e+02    4.2321726e+06    1.0386441e+07
4.2000000e+02    4.2369178e+06    1.0283211e+07
4.3000000e+02    4.2416010e+06    1.0193358e+07
4.4000000e+02    4.2457340e+06    1.0131339e+07
4.5000000e+02    4.2498354e+06    1.0070520e+07
4.6000000e+02    4.2539367e+06    1.0009702e+07
4.7000000e+02    4.2580380e+06    9.9488830e+06
4.8000000e+02    4.2621393e+06    9.8880643e+06
4.9000000e+02    4.2662406e+06    9.8272456e+06
5.0000000e+02    4.2703419e+06    9.7664268e+06
5.1000000e+02    4.2744432e+06    9.7056081e+06
5.2000000e+02    4.2785445e+06    9.6447894e+06
5.3000000e+02    4.2826458e+06    9.5839707e+06
5.4000000e+02    4.2867471e+06    9.5231519e+06
5.5000000e+02    4.2908484e+06    9.4623332e+06
5.6000000e+02    4.2935112e+06    9.4053932e+06
5.7000000e+02    4.2874431e+06    9.3719940e+06
5.8000000e+02    4.2813749e+06    9.3385947e+06
5.9000000e+02    4.2753068e+06    9.3051955e+06
6.0000000e+02    4.2692387e+06    9.2717962e+06
6.1000000e+02    4.2631706e+06    9.2383969e+06
6.2000000e+02    4.2571025e+06    9.2049977e+06
6.3000000e+02    4.2510344e+06    9.1715984e+06
6.4000000e+02    4.2449663e+06    9.1381991e+06
6.5000000e+02    4.2388982e+06    9.1047999e+06
6.6000000e+02    4.2328301e+06    9.0714006e+06
6.7000000e+02    4.2267620e+06    9.0380013e+06
6.8000000e+02    4.2206939e+06    9.0046021e+06
6.9000000e+02    4.2146258e+06    8.9712028e+06
7.0000000e+02    4.2085577e+06    8.9378035e+06
7.1000000e+02    4.2024896e+06    8.9044043e+06
7.2000000e+02    4.1964215e+06    8.8710050e+06
7.3000000e+02    4.1903534e+06    8.8376057e+06
7.4000000e+02    4.1842853e+06    8.8042065e+06
7.5000000e+02    4.1782172e+06    8.7708072e+06
7.6000000e+02    4.1721491e+06    8.7374079e+06
7.7000000e+02    4.1660810e+06    8.7040087e+06
7.8000000e+02    4.1600129e+06    8.6706094e+06
7.9000000e+02    4.1539448e+06    8.6372101e+06
8.0000000e+02    4.1478767e+06    8.6038109e+06
8.1000000e+02    4.1418086e+06    8.5704116e+06
8.2000000e+02    4.1357405e+06    8.5370124e+06
8.3000000e+02    4.1296724e+06    8.5036131e+06
8.4000000e+02    4.1236043e+06    8.4702138e+06
8.5000000e+02    4.1175362e+06    8.4368146e+06
8.6000000e+02    4.1114681e+06    8.4034153e+06
