# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    4.3830346e+00    6.1608273e+07
1.0000000e-02    3.4058836e+05    3.4361037e+05
2.0000000e-02    2.4195041e+05    2.4344023e+05
3.0000000e-02    1.9290536e+05    1.9379473e+05
4.0000000e-02    1.7013638e+05    1.7081626e+05
5.0000000e-02    1.5136252e+05    1.5187766e+05
6.0000000e-02    1.3790009e+05    1.3830720e+05
7.0000000e-02    1.2909719e+05    1.2944269e+05
8.0000000e-02    1.2029430e+05    1.2057818e+05
9.0000000e-02    1.1153026e+05    1.1175286e+05
1.0000000e-01    1.0708470e+05    1.0728308e+05
1.1000000e-01    1.0311649e+05    1.0329250e+05
1.2000000e-01    9.9171354e+04    9.9325103e+04
1.3000000e-01    9.5226220e+04    9.5357702e+04
1.4000000e-01    9.1281086e+04    9.1390301e+04
1.5000000e-01    8.7335952e+04    8.7422900e+04
1.6000000e-01    8.3857741e+04    8.3925591e+04
1.7000000e-01    8.1915714e+04    8.1974883e+04
1.8000000e-01    8.0078126e+04    8.0128940e+04
1.9000000e-01    7.8303361e+04    7.8346016e+04
2.0000000e-01    7.6594714e+04    7.6629378e+04
2.1000000e-01    7.4924392e+04    7.4951161e+04
2.2000000e-01    7.3254070e+04    7.3272944e+04
2.3000000e-01    7.1583748e+04    7.1594727e+04
2.4000000e-01    6.9913426e+04    6.9916511e+04
2.5000000e-01    6.8243104e+04    6.8238294e+04
2.6000000e-01    6.6572781e+04    6.6560077e+04
2.7000000e-01    6.4902459e+04    6.4881860e+04
2.8000000e-01    6.3426839e+04    6.3399449e+04
2.9000000e-01    6.2310509e+04    6.2278366e+04
3.0000000e-01    6.1250182e+04    6.1213575e+04
3.1000000e-01    6.0214109e+04    6.0173163e+04
3.2000000e-01    5.9504720e+04    5.9461010e+04
3.3000000e-01    5.8814254e+04    5.8767870e+04
3.4000000e-01    5.8123789e+04    5.8074731e+04
3.5000000e-01    5.7469356e+04    5.7417699e+04
3.6000000e-01    5.6858858e+04    5.6804695e+04
