# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    -1.6226647e+00    1.0103495e+07
1.0000000e-02    1.0829262e+05    1.0955185e+05
2.0000000e-02    7.7453769e+04    7.8094965e+04
3.0000000e-02    6.0195491e+04    6.0580968e+04
4.0000000e-02    5.3762929e+04    5.4071315e+04
5.0000000e-02    4.7604781e+04    4.7846940e+04
6.0000000e-02    4.3612634e+04    4.3814028e+04
7.0000000e-02    4.0679647e+04    4.0856696e+04
8.0000000e-02    3.7746661e+04    3.7899364e+04
9.0000000e-02    3.4833105e+04    3.4961625e+04
1.0000000e-01    3.4001843e+04    3.4123882e+04
1.1000000e-01    3.2693237e+04    3.2806929e+04
1.2000000e-01    3.1361552e+04    3.1466805e+04
1.3000000e-01    3.0029867e+04    3.0126681e+04
1.4000000e-01    2.8698182e+04    2.8786556e+04
1.5000000e-01    2.7366497e+04    2.7446432e+04
1.6000000e-01    2.6268299e+04    2.6341291e+04
1.7000000e-01    2.5935121e+04    2.6006081e+04
1.8000000e-01    2.5497505e+04    2.5566106e+04
1.9000000e-01    2.4997065e+04    2.5063112e+04
2.0000000e-01    2.4430507e+04    2.4493833e+04
2.1000000e-01    2.3825624e+04    2.3886132e+04
2.2000000e-01    2.3220742e+04    2.3278431e+04
2.3000000e-01    2.2615859e+04    2.2670730e+04
2.4000000e-01    2.2010977e+04    2.2063029e+04
2.5000000e-01    2.1406094e+04    2.1455328e+04
2.6000000e-01    2.0801212e+04    2.0847626e+04
2.7000000e-01    2.0196329e+04    2.0239925e+04
2.8000000e-01    1.9688812e+04    1.9730092e+04
2.9000000e-01    1.9360967e+04    1.9400856e+04
3.0000000e-01    1.9061129e+04    1.9099755e+04
3.1000000e-01    1.8773420e+04    1.8810838e+04
3.2000000e-01    1.8649088e+04    1.8685966e+04
3.3000000e-01    1.8534219e+04    1.8570596e+04
3.4000000e-01    1.8419350e+04    1.8455227e+04
3.5000000e-01    1.8268447e+04    1.8303749e+04
3.6000000e-01    1.8073610e+04    1.8108244e+04
3.7000000e-01    1.7869313e+04    1.7903259e+04
3.8000000e-01    1.7665015e+04    1.7698273e+04
3.9000000e-01    1.7460718e+04    1.7493288e+04
4.0000000e-01    1.7256421e+04    1.7288302e+04
