# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    1.6475600e+00    1.9279996e+07
1.0000000e-02    9.0367801e+04    9.1090534e+04
2.0000000e-02    6.4040659e+04    6.4399469e+04
3.0000000e-02    5.1550631e+04    5.1772077e+04
4.0000000e-02    4.5246503e+04    4.5416616e+04
5.0000000e-02    4.0330798e+04    4.0462647e+04
6.0000000e-02    3.6657877e+04    3.6763846e+04
7.0000000e-02    3.4367124e+04    3.4459010e+04
8.0000000e-02    3.2076371e+04    3.2154173e+04
9.0000000e-02    2.9793707e+04    2.9857494e+04
1.0000000e-01    2.8425082e+04    2.8482414e+04
1.1000000e-01    2.7384103e+04    2.7436392e+04
1.2000000e-01    2.6362823e+04    2.6410153e+04
1.3000000e-01    2.5341542e+04    2.5383915e+04
1.4000000e-01    2.4320261e+04    2.4357676e+04
1.5000000e-01    2.3298980e+04    2.3331438e+04
1.6000000e-01    2.2374903e+04    2.2403026e+04
1.7000000e-01    2.1771189e+04    2.1797028e+04
1.8000000e-01    2.1232377e+04    2.1256170e+04
1.9000000e-01    2.0741226e+04    2.0763148e+04
2.0000000e-01    2.0291118e+04    2.0311302e+04
2.1000000e-01    1.9871501e+04    1.9890048e+04
2.2000000e-01    1.9451885e+04    1.9468794e+04
2.3000000e-01    1.9032269e+04    1.9047540e+04
2.4000000e-01    1.8612653e+04    1.8626286e+04
2.5000000e-01    1.8193036e+04    1.8205032e+04
2.6000000e-01    1.7773420e+04    1.7783779e+04
2.7000000e-01    1.7353804e+04    1.7362525e+04
2.8000000e-01    1.6974722e+04    1.6982014e+04
2.9000000e-01    1.6670440e+04    1.6676689e+04
3.0000000e-01    1.6377818e+04    1.6383077e+04
3.1000000e-01    1.6090245e+04    1.6094538e+04
3.2000000e-01    1.5870689e+04    1.5874292e+04
3.3000000e-01    1.5655072e+04    1.5658002e+04
3.4000000e-01    1.5439455e+04    1.5441713e+04
3.5000000e-01    1.5242167e+04    1.5243808e+04
3.6000000e-01    1.5078913e+04    1.5080042e+04
3.7000000e-01    1.4923737e+04    1.4924379e+04
3.8000000e-01    1.4768561e+04    1.4768717e+04
3.9000000e-01    1.4613385e+04    1.4613054e+04
4.0000000e-01    1.4458209e+04    1.4457392e+04
4.1000000e-01    1.4303033e+04    1.4301729e+04
4.2000000e-01    1.4147858e+04    1.4146067e+04
4.3000000e-01    1.3992682e+04    1.3990404e+04
4.4000000e-01    1.3837506e+04    1.3834741e+04
4.5000000e-01    1.3682330e+04    1.3679079e+04
4.6000000e-01    1.3527154e+04    1.3523416e+04
4.7000000e-01    1.3371978e+04    1.3367754e+04
4.8000000e-01    1.3216802e+04    1.3212091e+04
4.9000000e-01    1.3061626e+04    1.3056429e+04
5.0000000e-01    1.2906450e+04    1.2900766e+04
5.1000000e-01    1.2751274e+04    1.2745103e+04
5.2000000e-01    1.2596098e+04    1.2589441e+04
5.3000000e-01    1.2440923e+04    1.2433778e+04
5.4000000e-01    1.2285747e+04    1.2278116e+04
5.5000000e-01    1.2130571e+04    1.2122453e+04
5.6000000e-01    1.1975395e+04    1.1966791e+04
5.7000000e-01    1.1881626e+04    1.1872744e+04
5.8000000e-01    1.1792122e+04    1.1782977e+04
5.9000000e-01    1.1702618e+04    1.1693209e+04
6.0000000e-01    1.1613115e+04    1.1603442e+04
6.1000000e-01    1.1524606e+04    1.1514674e+04
6.2000000e-01    1.1440641e+04    1.1430462e+04
6.3000000e-01    1.1363415e+04    1.1353009e+04
6.4000000e-01    1.1296017e+04    1.1285416e+04
6.5000000e-01    1.1230942e+04    1.1220153e+04
6.6000000e-01    1.1165866e+04    1.1154889e+04
6.7000000e-01    1.1100791e+04    1.1089625e+04
6.8000000e-01    1.1035715e+04    1.1024361e+04
6.9000000e-01    1.0970639e+04    1.0959097e+04
7.0000000e-01    1.0905564e+04    1.0893833e+04
7.1000000e-01    1.0840488e+04    1.0828569e+04
7.2000000e-01    1.0775413e+04    1.0763305e+04
7.3000000e-01    1.0710337e+04    1.0698041e+04
7.4000000e-01    1.0645262e+04    1.0632778e+04
7.5000000e-01    1.0580186e+04    1.0567514e+04
7.6000000e-01    1.0515111e+04    1.0502250e+04
7.7000000e-01    1.0450035e+04    1.0436986e+04
7.8000000e-01    1.0384960e+04    1.0371722e+04
7.9000000e-01    1.0319884e+04    1.0306458e+04
8.0000000e-01    1.0254809e+04    1.0241194e+04
8.1000000e-01    1.0189733e+04    1.0175930e+04
8.2000000e-01    1.0124658e+04    1.0110666e+04
8.3000000e-01    1.0059582e+04    1.0045402e+04
8.4000000e-01    9.9945066e+03    9.9801386e+03
8.5000000e-01    9.9294311e+03    9.9148747e+03
8.6000000e-01    9.8643556e+03    9.8496108e+03
8.7000000e-01    9.7992800e+03    9.7843469e+03
8.8000000e-01    9.7342045e+03    9.7190830e+03
8.9000000e-01    9.6691290e+03    9.6538192e+03
9.0000000e-01    9.6040535e+03    9.5885553e+03
9.1000000e-01    9.5389779e+03    9.5232914e+03
9.2000000e-01    9.4739024e+03    9.4580275e+03
9.3000000e-01    9.4088269e+03    9.3927636e+03
9.4000000e-01    9.3437514e+03    9.3274997e+03
9.5000000e-01    9.2786758e+03    9.2622358e+03
9.6000000e-01    9.2136003e+03    9.1969719e+03
9.7000000e-01    9.1485248e+03    9.1317080e+03
9.8000000e-01    9.0834493e+03    9.0664441e+03
9.9000000e-01    9.0183737e+03    9.0011802e+03
1.0000000e+00    8.9532982e+03    8.9359163e+03
1.0100000e+00    8.8882227e+03    8.8706525e+03
1.0200000e+00    8.8436613e+03    8.8259548e+03
1.0300000e+00    8.8054100e+03    8.7875838e+03
1.0400000e+00    8.7688875e+03    8.7509475e+03
1.0500000e+00    8.7327056e+03    8.7146530e+03
1.0600000e+00    8.6987294e+03    8.6805717e+03
1.0700000e+00    8.6669556e+03    8.6487005e+03
1.0800000e+00    8.6381321e+03    8.6197898e+03
1.0900000e+00    8.6095957e+03    8.5911670e+03
1.1000000e+00    8.5810592e+03    8.5625443e+03
1.1100000e+00    8.5525227e+03    8.5339216e+03
1.1200000e+00    8.5239862e+03    8.5052989e+03
1.1300000e+00    8.4954498e+03    8.4766761e+03
1.1400000e+00    8.4669133e+03    8.4480534e+03
1.1500000e+00    8.4383768e+03    8.4194307e+03
1.1600000e+00    8.4098403e+03    8.3908080e+03
1.1700000e+00    8.3813039e+03    8.3621853e+03
1.1800000e+00    8.3527674e+03    8.3335625e+03
1.1900000e+00    8.3242309e+03    8.3049398e+03
1.2000000e+00    8.2956944e+03    8.2763171e+03
1.2100000e+00    8.2671580e+03    8.2476944e+03
1.2200000e+00    8.2386215e+03    8.2190716e+03
1.2300000e+00    8.2100850e+03    8.1904489e+03
1.2400000e+00    8.1815485e+03    8.1618262e+03
1.2500000e+00    8.1530121e+03    8.1332035e+03
1.2600000e+00    8.1244756e+03    8.1045808e+03
1.2700000e+00    8.0959391e+03    8.0759580e+03
1.2800000e+00    8.0674027e+03    8.0473353e+03
1.2900000e+00    8.0388662e+03    8.0187126e+03
1.3000000e+00    8.0103297e+03    7.9900899e+03
1.3100000e+00    7.9817932e+03    7.9614671e+03
1.3200000e+00    7.9532568e+03    7.9328444e+03
1.3300000e+00    7.9247203e+03    7.9042217e+03
1.3400000e+00    7.8961838e+03    7.8755990e+03
1.3500000e+00    7.8676473e+03    7.8469762e+03
1.3600000e+00    7.8391109e+03    7.8183535e+03
1.3700000e+00    7.8105744e+03    7.7897308e+03
1.3800000e+00    7.7820379e+03    7.7611081e+03
1.3900000e+00    7.7535014e+03    7.7324854e+03
1.4000000e+00    7.7249650e+03    7.7038626e+03
1.4100000e+00    7.6964285e+03    7.6752399e+03
1.4200000e+00    7.6678920e+03    7.6466172e+03
1.4300000e+00    7.6393555e+03    7.6179945e+03
1.4400000e+00    7.6108191e+03    7.5893717e+03
1.4500000e+00    7.5822826e+03    7.5607490e+03
1.4600000e+00    7.5537461e+03    7.5321263e+03
1.4700000e+00    7.5252097e+03    7.5035036e+03
1.4800000e+00    7.4966732e+03    7.4748809e+03
1.4900000e+00    7.4681367e+03    7.4462581e+03
1.5000000e+00    7.4396002e+03    7.4176354e+03
1.5100000e+00    7.4110638e+03    7.3890127e+03
1.5200000e+00    7.3825273e+03    7.3603900e+03
1.5300000e+00    7.3539908e+03    7.3317672e+03
1.5400000e+00    7.3254543e+03    7.3031445e+03
1.5500000e+00    7.2969179e+03    7.2745218e+03
1.5600000e+00    7.2683814e+03    7.2458991e+03
1.5700000e+00    7.2398449e+03    7.2172763e+03
1.5800000e+00    7.2113084e+03    7.1886536e+03
1.5900000e+00    7.1827720e+03    7.1600309e+03
1.6000000e+00    7.1542355e+03    7.1314082e+03
1.6100000e+00    7.1256990e+03    7.1027855e+03
1.6200000e+00    7.0971625e+03    7.0741627e+03
1.6300000e+00    7.0686261e+03    7.0455400e+03
1.6400000e+00    7.0400896e+03    7.0169173e+03
1.6500000e+00    7.0115531e+03    6.9882946e+03
