# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    2.3682902e-12    2.6909104e-11
1.0000000e-02    6.0375766e-02    6.0515313e-02
2.0000000e-02    8.5561084e-02    8.5700806e-02
3.0000000e-02    1.0505424e-01    1.0519410e-01
4.0000000e-02    1.2091052e-01    1.2105050e-01
5.0000000e-02    1.3541244e-01    1.3555254e-01
6.0000000e-02    1.4854570e-01    1.4868592e-01
7.0000000e-02    1.5975182e-01    1.5989215e-01
8.0000000e-02    1.7095793e-01    1.7109839e-01
9.0000000e-02    1.8215175e-01    1.8229233e-01
1.0000000e-01    1.9189924e-01    1.9203994e-01
1.1000000e-01    2.0050097e-01    2.0064179e-01
1.2000000e-01    2.0903598e-01    2.0917692e-01
1.3000000e-01    2.1757099e-01    2.1771205e-01
1.4000000e-01    2.2610600e-01    2.2624719e-01
1.5000000e-01    2.3464101e-01    2.3478232e-01
1.6000000e-01    2.4292302e-01    2.4306445e-01
1.7000000e-01    2.5036815e-01    2.5050971e-01
1.8000000e-01    2.5746700e-01    2.5760868e-01
1.9000000e-01    2.6430787e-01    2.6444969e-01
2.0000000e-01    2.7081411e-01    2.7095605e-01
2.1000000e-01    2.7707536e-01    2.7721742e-01
2.2000000e-01    2.8333661e-01    2.8347880e-01
2.3000000e-01    2.8959786e-01    2.8974017e-01
2.4000000e-01    2.9585911e-01    2.9600154e-01
2.5000000e-01    3.0212036e-01    3.0226291e-01
2.6000000e-01    3.0838161e-01    3.0852429e-01
2.7000000e-01    3.1464286e-01    3.1478566e-01
2.8000000e-01    3.2074526e-01    3.2088818e-01
2.9000000e-01    3.2655452e-01    3.2669757e-01
3.0000000e-01    3.3230601e-01    3.3244918e-01
3.1000000e-01    3.3803249e-01    3.3817578e-01
3.2000000e-01    3.4333719e-01    3.4348062e-01
3.3000000e-01    3.4861747e-01    3.4876102e-01
3.4000000e-01    3.5389775e-01    3.5404143e-01
3.5000000e-01    3.5894126e-01    3.5908507e-01
3.6000000e-01    3.6358041e-01    3.6372434e-01
3.7000000e-01    3.6812428e-01    3.6826832e-01
3.8000000e-01    3.7266815e-01    3.7281230e-01
3.9000000e-01    3.7721202e-01    3.7735629e-01
4.0000000e-01    3.8175590e-01    3.8190027e-01
4.1000000e-01    3.8629977e-01    3.8644426e-01
4.2000000e-01    3.9084364e-01    3.9098824e-01
4.3000000e-01    3.9538751e-01    3.9553223e-01
4.4000000e-01    3.9993138e-01    4.0007621e-01
4.5000000e-01    4.0447525e-01    4.0462019e-01
4.6000000e-01    4.0901912e-01    4.0916418e-01
4.7000000e-01    4.1356299e-01    4.1370816e-01
4.8000000e-01    4.1810686e-01    4.1825215e-01
4.9000000e-01    4.2265073e-01    4.2279613e-01
5.0000000e-01    4.2719460e-01    4.2734011e-01
5.1000000e-01    4.3173847e-01    4.3188410e-01
