# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    5.7279110e-01    7.6554442e+07
1.0000000e+01    8.9962615e+05    7.6179157e+07
2.0000000e+01    1.5349049e+06    7.5843585e+07
3.0000000e+01    1.9659181e+06    7.5556249e+07
4.0000000e+01    2.3313383e+06    7.5282756e+07
5.0000000e+01    2.6958927e+06    7.5010959e+07
6.0000000e+01    3.0589044e+06    7.4742180e+07
7.0000000e+01    3.4190636e+06    7.4474756e+07
8.0000000e+01    3.7522077e+06    7.4225259e+07
9.0000000e+01    3.9866705e+06    7.4013386e+07
1.0000000e+02    4.1667962e+06    7.3817258e+07
1.1000000e+02    4.3469220e+06    7.3621130e+07
1.2000000e+02    4.5270477e+06    7.3425002e+07
1.3000000e+02    4.7071735e+06    7.3228874e+07
1.4000000e+02    4.8872992e+06    7.3032746e+07
1.5000000e+02    5.0673746e+06    7.2836917e+07
1.6000000e+02    5.2471623e+06    7.2642799e+07
1.7000000e+02    5.4269500e+06    7.2448681e+07
1.8000000e+02    5.6067378e+06    7.2254562e+07
1.9000000e+02    5.7865255e+06    7.2060444e+07
2.0000000e+02    5.9663132e+06    7.1866326e+07
2.1000000e+02    6.1452892e+06    7.1672584e+07
2.2000000e+02    6.3233753e+06    7.1479255e+07
2.3000000e+02    6.5001777e+06    7.1287519e+07
2.4000000e+02    6.6734646e+06    7.1099971e+07
2.5000000e+02    6.8451574e+06    7.0914013e+07
2.6000000e+02    7.0031216e+06    7.0741599e+07
2.7000000e+02    7.1590455e+06    7.0571205e+07
2.8000000e+02    7.2873151e+06    7.0418649e+07
2.9000000e+02    7.3974794e+06    7.0277771e+07
3.0000000e+02    7.4687374e+06    7.0157440e+07
3.1000000e+02    7.5379331e+06    7.0037712e+07
3.2000000e+02    7.6071287e+06    6.9917984e+07
3.3000000e+02    7.6763244e+06    6.9798255e+07
3.4000000e+02    7.7455200e+06    6.9678527e+07
3.5000000e+02    7.8147156e+06    6.9558799e+07
3.6000000e+02    7.8839113e+06    6.9439070e+07
3.7000000e+02    7.9531069e+06    6.9319342e+07
3.8000000e+02    8.0223026e+06    6.9199614e+07
3.9000000e+02    8.0914982e+06    6.9079885e+07
4.0000000e+02    8.1606939e+06    6.8960157e+07
4.1000000e+02    8.2298895e+06    6.8840429e+07
4.2000000e+02    8.2990852e+06    6.8720701e+07
4.3000000e+02    8.3683314e+06    6.8601375e+07
4.4000000e+02    8.4376100e+06    6.8482308e+07
4.5000000e+02    8.5068886e+06    6.8363241e+07
4.6000000e+02    8.5761673e+06    6.8244174e+07
4.7000000e+02    8.6454459e+06    6.8125107e+07
