# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    5.7279110e-01    7.6554442e+07
8.0000000e+02    1.0850990e+07    6.4322093e+07
1.6000000e+03    1.2462388e+07    5.9426756e+07
2.4000000e+03    1.3833476e+07    5.4904708e+07
3.2000000e+03    1.4198720e+07    5.2617994e+07
4.0000000e+03    1.4383880e+07    5.0642058e+07
4.8000000e+03    1.4563058e+07    4.8676572e+07
5.6000000e+03    1.4734726e+07    4.6757484e+07
6.4000000e+03    1.4906170e+07    4.5020562e+07
7.2000000e+03    1.4971209e+07    4.3996999e+07
8.0000000e+03    1.4929903e+07    4.3235053e+07
8.8000000e+03    1.4888938e+07    4.2473598e+07
9.6000000e+03    1.4847974e+07    4.1712143e+07
1.0400000e+04    1.4807010e+07    4.0950689e+07
1.1200000e+04    1.4766046e+07    4.0189234e+07
1.2000000e+04    1.4722068e+07    3.9438125e+07
1.2800000e+04    1.4676833e+07    3.8691328e+07
1.3600000e+04    1.4634366e+07    3.7952173e+07
1.4400000e+04    1.4593228e+07    3.7221951e+07
1.5200000e+04    1.4558401e+07    3.6522779e+07
1.6000000e+04    1.4527996e+07    3.5840637e+07
1.6800000e+04    1.4513888e+07    3.5245990e+07
1.7600000e+04    1.4513393e+07    3.4727155e+07
1.8400000e+04    1.4480779e+07    3.4405362e+07
1.9200000e+04    1.4432019e+07    3.4100001e+07
2.0000000e+04    1.4383259e+07    3.3794639e+07
2.0800000e+04    1.4334499e+07    3.3489278e+07
2.1600000e+04    1.4285739e+07    3.3183917e+07
2.2400000e+04    1.4236979e+07    3.2878555e+07
2.3200000e+04    1.4188218e+07    3.2573194e+07
2.4000000e+04    1.4139427e+07    3.2268406e+07
2.4800000e+04    1.4090287e+07    3.1969876e+07
2.5600000e+04    1.4041148e+07    3.1671347e+07
2.6400000e+04    1.3992008e+07    3.1372817e+07
2.7200000e+04    1.3943093e+07    3.1074705e+07
2.8000000e+04    1.3895063e+07    3.0778244e+07
2.8800000e+04    1.3847705e+07    3.0483111e+07
2.9600000e+04    1.3800833e+07    3.0189103e+07
3.0400000e+04    1.3753395e+07    2.9897220e+07
3.1200000e+04    1.3707298e+07    2.9608355e+07
3.2000000e+04    1.3666240e+07    2.9330828e+07
3.2800000e+04    1.3625196e+07    2.9053317e+07
3.3600000e+04    1.3584200e+07    2.8775863e+07
3.4400000e+04    1.3543204e+07    2.8498410e+07
3.5200000e+04    1.3515147e+07    2.8254938e+07
3.6000000e+04    1.3493503e+07    2.8028308e+07
3.6800000e+04    1.3471859e+07    2.7801678e+07
3.7600000e+04    1.3455847e+07    2.7592415e+07
3.8400000e+04    1.3431697e+07    2.7450247e+07
3.9200000e+04    1.3399612e+07    2.7321782e+07
4.0000000e+04    1.3367527e+07    2.7193318e+07
4.0800000e+04    1.3335441e+07    2.7064853e+07
4.1600000e+04    1.3303356e+07    2.6936388e+07
4.2400000e+04    1.3271271e+07    2.6807923e+07
4.3200000e+04    1.3239186e+07    2.6679459e+07
4.4000000e+04    1.3207100e+07    2.6550994e+07
4.4800000e+04    1.3175015e+07    2.6422529e+07
4.5600000e+04    1.3142930e+07    2.6294065e+07
4.6400000e+04    1.3110845e+07    2.6165600e+07
4.7200000e+04    1.3078759e+07    2.6037135e+07
4.8000000e+04    1.3046674e+07    2.5908670e+07
4.8800000e+04    1.3014589e+07    2.5780206e+07
4.9600000e+04    1.2982504e+07    2.5651741e+07
5.0400000e+04    1.2950555e+07    2.5524351e+07
5.1200000e+04    1.2918822e+07    2.5398652e+07
5.2000000e+04    1.2887089e+07    2.5272954e+07
5.2800000e+04    1.2855356e+07    2.5147255e+07
5.3600000e+04    1.2823626e+07    2.5021560e+07
5.4400000e+04    1.2791916e+07    2.4895887e+07
5.5200000e+04    1.2760206e+07    2.4770215e+07
5.6000000e+04    1.2728496e+07    2.4644542e+07
5.6800000e+04    1.2696787e+07    2.4518870e+07
5.7600000e+04    1.2665477e+07    2.4393813e+07
5.8400000e+04    1.2634181e+07    2.4268777e+07
5.9200000e+04    1.2602885e+07    2.4143742e+07
6.0000000e+04    1.2571775e+07    2.4019004e+07
6.0800000e+04    1.2540933e+07    2.3894693e+07
6.1600000e+04    1.2510090e+07    2.3770382e+07
6.2400000e+04    1.2479241e+07    2.3646178e+07
6.3200000e+04    1.2448328e+07    2.3522895e+07
6.4000000e+04    1.2417416e+07    2.3399612e+07
6.4800000e+04    1.2386503e+07    2.3276329e+07
6.5600000e+04    1.2355830e+07    2.3153463e+07
6.6400000e+04    1.2327503e+07    2.3034674e+07
6.7200000e+04    1.2299176e+07    2.2915885e+07
6.8000000e+04    1.2270849e+07    2.2797096e+07
6.8800000e+04    1.2242522e+07    2.2678307e+07
6.9600000e+04    1.2214194e+07    2.2559518e+07
7.0400000e+04    1.2185867e+07    2.2440729e+07
7.1200000e+04    1.2157540e+07    2.2321940e+07
7.2000000e+04    1.2129213e+07    2.2203152e+07
7.2800000e+04    1.2100886e+07    2.2084363e+07
7.3600000e+04    1.2073868e+07    2.1968093e+07
7.4400000e+04    1.2053955e+07    2.1865486e+07
7.5200000e+04    1.2034041e+07    2.1762879e+07
7.6000000e+04    1.2014128e+07    2.1660272e+07
7.6800000e+04    1.1994214e+07    2.1557664e+07
7.7600000e+04    1.1974301e+07    2.1455057e+07
7.8400000e+04    1.1954387e+07    2.1352450e+07
7.9200000e+04    1.1934474e+07    2.1249843e+07
8.0000000e+04    1.1921204e+07    2.1161307e+07
8.0800000e+04    1.1905438e+07    2.1087047e+07
8.1600000e+04    1.1885295e+07    2.1026597e+07
8.2400000e+04    1.1865151e+07    2.0966147e+07
8.3200000e+04    1.1845107e+07    2.0906055e+07
8.4000000e+04    1.1825285e+07    2.0846764e+07
8.4800000e+04    1.1805464e+07    2.0787473e+07
8.5600000e+04    1.1785642e+07    2.0728182e+07
8.6400000e+04    1.1765820e+07    2.0668891e+07
8.7200000e+04    1.1745999e+07    2.0609600e+07
8.8000000e+04    1.1726180e+07    2.0550312e+07
8.8800000e+04    1.1706367e+07    2.0491031e+07
8.9600000e+04    1.1686555e+07    2.0431751e+07
9.0400000e+04    1.1666742e+07    2.0372470e+07
9.1200000e+04    1.1646930e+07    2.0313189e+07
9.2000000e+04    1.1627117e+07    2.0253908e+07
9.2800000e+04    1.1607305e+07    2.0194627e+07
9.3600000e+04    1.1587492e+07    2.0135346e+07
9.4400000e+04    1.1567684e+07    2.0076071e+07
9.5200000e+04    1.1548037e+07    2.0017016e+07
9.6000000e+04    1.1528389e+07    1.9957961e+07
9.6800000e+04    1.1508742e+07    1.9898906e+07
9.7600000e+04    1.1489095e+07    1.9839851e+07
9.8400000e+04    1.1469447e+07    1.9780796e+07
9.9200000e+04    1.1449800e+07    1.9721741e+07
1.0000000e+05    1.1430333e+07    1.9662939e+07
1.0080000e+05    1.1410869e+07    1.9604142e+07
1.0160000e+05    1.1391404e+07    1.9545345e+07
1.0240000e+05    1.1371940e+07    1.9486547e+07
