     f(GHz)     Re[Z] kOhm         Im[Z] kOhm    Re[Z]+log kOhm       Im[Z]+log kOhm
   0.00000E+00  0.44469E-03       0.00000E+00      -0.65486E-01         0.00000E+00
   0.46823      0.84424E-03       0.59151E-02      -0.65087E-01         0.59151E-02
   0.93647      0.20184E-02       0.11761E-01      -0.63914E-01         0.11761E-01
    1.4047      0.40250E-02       0.17553E-01      -0.61908E-01         0.17553E-01
    1.8729      0.71332E-02       0.23179E-01      -0.58801E-01         0.23179E-01
    2.3412      0.11572E-01       0.28124E-01      -0.54363E-01         0.28124E-01
    2.8094      0.17065E-01       0.31636E-01      -0.48871E-01         0.31636E-01
    3.2776      0.22763E-01       0.33315E-01      -0.43174E-01         0.33315E-01
    3.7459      0.27785E-01       0.33469E-01      -0.38153E-01         0.33469E-01
    4.2141      0.31772E-01       0.32803E-01      -0.34168E-01         0.32803E-01
    4.6823      0.34867E-01       0.31844E-01      -0.31073E-01         0.31844E-01
    5.1506      0.37272E-01       0.30759E-01      -0.28669E-01         0.30759E-01
    5.6188      0.38985E-01       0.29631E-01      -0.26957E-01         0.29631E-01
    6.0870      0.39969E-01       0.28726E-01      -0.25975E-01         0.28726E-01
    6.5553      0.40425E-01       0.28408E-01      -0.25520E-01         0.28408E-01
    7.0235      0.40810E-01       0.28842E-01      -0.25135E-01         0.28842E-01
    7.4918      0.41570E-01       0.29844E-01      -0.24376E-01         0.29844E-01
    7.9600      0.42884E-01       0.31034E-01      -0.23064E-01         0.31034E-01
    8.4282      0.44663E-01       0.32111E-01      -0.21286E-01         0.32111E-01
    8.8965      0.46757E-01       0.32965E-01      -0.19192E-01         0.32965E-01
    9.3647      0.49106E-01       0.33573E-01      -0.16845E-01         0.33573E-01
    9.8329      0.51708E-01       0.33850E-01      -0.14243E-01         0.33850E-01
    10.301      0.54485E-01       0.33632E-01      -0.11468E-01         0.33632E-01
    10.769      0.57212E-01       0.32804E-01      -0.87419E-02         0.32804E-01
    11.238      0.59609E-01       0.31420E-01      -0.63461E-02         0.31420E-01
    11.706      0.61491E-01       0.29696E-01      -0.44651E-02         0.29696E-01
    12.174      0.62841E-01       0.27874E-01      -0.31162E-02         0.27874E-01
    12.642      0.63748E-01       0.26113E-01      -0.22099E-02         0.26113E-01
    13.111      0.64299E-01       0.24479E-01      -0.16594E-02         0.24479E-01
    13.579      0.64537E-01       0.23023E-01      -0.14233E-02         0.23023E-01
    14.047      0.64507E-01       0.21835E-01      -0.14538E-02         0.21835E-01
    14.515      0.64333E-01       0.21011E-01      -0.16290E-02         0.21011E-01
    14.984      0.64203E-01       0.20565E-01      -0.17597E-02         0.20565E-01
    15.452      0.64287E-01       0.20390E-01      -0.16771E-02         0.20390E-01
    15.920      0.64649E-01       0.20314E-01      -0.13163E-02         0.20314E-01
    16.388      0.65250E-01       0.20193E-01      -0.71600E-03         0.20193E-01
    16.856      0.66019E-01       0.19954E-01       0.52305E-04         0.19954E-01
    17.325      0.66908E-01       0.19563E-01       0.94038E-03         0.19563E-01
    17.793      0.67881E-01       0.18969E-01       0.19115E-02         0.18969E-01
    18.261      0.68859E-01       0.18107E-01       0.28890E-02         0.18107E-01
    18.729      0.69711E-01       0.16955E-01       0.37399E-02         0.16955E-01
    19.198      0.70298E-01       0.15582E-01       0.43261E-02         0.15582E-01
    19.666      0.70548E-01       0.14121E-01       0.45746E-02         0.14121E-01
    20.134      0.70472E-01       0.12705E-01       0.44981E-02         0.12705E-01
    20.602      0.70130E-01       0.11422E-01       0.41552E-02         0.11422E-01
    21.071      0.69576E-01       0.10315E-01       0.36001E-02         0.10315E-01
    21.539      0.68852E-01       0.94276E-02       0.28747E-02         0.94276E-02
    22.007      0.68018E-01       0.88143E-02       0.20402E-02         0.88144E-02
    22.475      0.67181E-01       0.85098E-02       0.12015E-02         0.85098E-02
    22.943      0.66464E-01       0.84857E-02       0.48381E-03         0.84858E-02
    23.412      0.65960E-01       0.86471E-02      -0.21183E-04         0.86471E-02
    23.880      0.65691E-01       0.88749E-02      -0.29134E-03         0.88749E-02
    24.348      0.65622E-01       0.90774E-02      -0.36174E-03         0.90774E-02
    24.816      0.65702E-01       0.92062E-02      -0.28217E-03         0.92063E-02
    25.285      0.65896E-01       0.92326E-02      -0.89136E-04         0.92326E-02
    25.753      0.66169E-01       0.91195E-02       0.18233E-03         0.91195E-02
    26.221      0.66456E-01       0.88281E-02       0.46860E-03         0.88282E-02
    26.689      0.66662E-01       0.83555E-02       0.67330E-03         0.83556E-02
    27.158      0.66694E-01       0.77605E-02       0.70419E-03         0.77605E-02
    27.626      0.66511E-01       0.71459E-02       0.52008E-03         0.71460E-02
    28.094      0.66136E-01       0.66097E-02       0.14407E-03         0.66097E-02
    28.562      0.65626E-01       0.62080E-02      -0.36687E-03         0.62080E-02
    29.031      0.65031E-01       0.59616E-02      -0.96220E-03         0.59616E-02
    29.499      0.64388E-01       0.58873E-02      -0.16065E-02         0.58874E-02
    29.967      0.63741E-01       0.60119E-02      -0.22544E-02         0.60120E-02
    30.435      0.63166E-01       0.63488E-02      -0.28307E-02         0.63488E-02
    30.903      0.62752E-01       0.68649E-02      -0.32458E-02         0.68649E-02
    31.372      0.62561E-01       0.74768E-02      -0.34377E-02         0.74768E-02
    31.840      0.62598E-01       0.80841E-02      -0.34013E-02         0.80842E-02
    32.308      0.62823E-01       0.86115E-02      -0.31780E-02         0.86115E-02
    32.776      0.63180E-01       0.90217E-02      -0.28213E-02         0.90218E-02
    33.245      0.63630E-01       0.92976E-02      -0.23731E-02         0.92976E-02
    33.713      0.64133E-01       0.94203E-02      -0.18711E-02         0.94203E-02
    34.181      0.64636E-01       0.93726E-02      -0.13687E-02         0.93726E-02
    34.649      0.65068E-01       0.91626E-02      -0.93741E-03         0.91627E-02
    35.118      0.65364E-01       0.88401E-02      -0.64295E-03         0.88401E-02
    35.586      0.65494E-01       0.84848E-02      -0.51422E-03         0.84848E-02
    36.054      0.65476E-01       0.81738E-02      -0.53307E-03         0.81738E-02
    36.522      0.65357E-01       0.79546E-02      -0.65319E-03         0.79547E-02
    36.991      0.65183E-01       0.78458E-02      -0.82762E-03         0.78458E-02
    37.459      0.64993E-01       0.78544E-02      -0.10189E-02         0.78544E-02
    37.927      0.64825E-01       0.79874E-02      -0.11880E-02         0.79874E-02
    38.395      0.64731E-01       0.82413E-02      -0.12831E-02         0.82414E-02
    38.863      0.64768E-01       0.85835E-02      -0.12469E-02         0.85835E-02
    39.332      0.64973E-01       0.89486E-02      -0.10433E-02         0.89486E-02
    39.800      0.65340E-01       0.92608E-02      -0.67680E-03         0.92608E-02
    40.268      0.65831E-01       0.94629E-02      -0.18696E-03         0.94629E-02
    40.736      0.66395E-01       0.95276E-02       0.37572E-03         0.95276E-02
    41.205      0.66988E-01       0.94462E-02       0.96766E-03         0.94463E-02
    41.673      0.67570E-01       0.92140E-02       0.15493E-02         0.92140E-02
    42.141      0.68095E-01       0.88317E-02       0.20731E-02         0.88318E-02
    42.609      0.68507E-01       0.83217E-02       0.24836E-02         0.83218E-02
    43.078      0.68761E-01       0.77364E-02       0.27365E-02         0.77365E-02
    43.546      0.68846E-01       0.71457E-02       0.28205E-02         0.71458E-02
    44.014      0.68786E-01       0.66112E-02       0.27593E-02         0.66113E-02
    44.482      0.68622E-01       0.61693E-02       0.25951E-02         0.61694E-02
    44.951      0.68397E-01       0.58352E-02       0.23687E-02         0.58352E-02
    45.419      0.68145E-01       0.56156E-02       0.21156E-02         0.56157E-02
    45.887      0.67905E-01       0.55136E-02       0.18744E-02         0.55137E-02
    46.355      0.67723E-01       0.55188E-02       0.16915E-02         0.55188E-02
    46.823      0.67643E-01       0.55953E-02       0.16109E-02         0.55954E-02
    47.292      0.67687E-01       0.56857E-02       0.16537E-02         0.56858E-02
    47.760      0.67842E-01       0.57302E-02       0.18075E-02         0.57303E-02
    48.228      0.68070E-01       0.56881E-02       0.20345E-02         0.56882E-02
    48.696      0.68328E-01       0.55440E-02       0.22911E-02         0.55440E-02
    49.165      0.68579E-01       0.52974E-02       0.25413E-02         0.52974E-02
    49.633      0.68792E-01       0.49513E-02       0.27537E-02         0.49513E-02
    50.101      0.68931E-01       0.45135E-02       0.28920E-02         0.45136E-02
    50.569      0.68956E-01       0.40093E-02       0.29151E-02         0.40093E-02
    51.038      0.68835E-01       0.34884E-02       0.27937E-02         0.34884E-02
    51.506      0.68571E-01       0.30134E-02       0.25282E-02         0.30135E-02
    51.974      0.68195E-01       0.26362E-02       0.21512E-02         0.26363E-02
    52.442      0.67754E-01       0.23826E-02       0.17098E-02         0.23826E-02
    52.910      0.67292E-01       0.22557E-02       0.12468E-02         0.22558E-02
    53.379      0.66842E-01       0.22512E-02       0.79525E-03         0.22513E-02
    53.847      0.66435E-01       0.23636E-02       0.38731E-03         0.23637E-02
    54.315      0.66110E-01       0.25779E-02       0.61350E-04         0.25779E-02
    54.783      0.65903E-01       0.28580E-02      -0.14693E-03         0.28580E-02
    55.252      0.65828E-01       0.31493E-02      -0.22266E-03         0.31494E-02
    55.720      0.65870E-01       0.33972E-02      -0.18163E-03         0.33973E-02
    56.188      0.65991E-01       0.35659E-02      -0.62099E-04         0.35660E-02
    56.656      0.66147E-01       0.36445E-02       0.93679E-04         0.36445E-02
    57.125      0.66307E-01       0.36366E-02       0.25194E-03         0.36366E-02
    57.593      0.66442E-01       0.35500E-02       0.38571E-03         0.35500E-02
    58.061      0.66524E-01       0.33963E-02       0.46704E-03         0.33963E-02
    58.529      0.66525E-01       0.31996E-02       0.46710E-03         0.31997E-02
    58.998      0.66427E-01       0.30011E-02       0.36780E-03         0.30012E-02
    59.466      0.66235E-01       0.28500E-02       0.17457E-03         0.28501E-02
    59.934      0.65979E-01       0.27859E-02      -0.81996E-04         0.27860E-02
    60.402      0.65703E-01       0.28267E-02      -0.35857E-03         0.28268E-02
    60.870      0.65448E-01       0.29694E-02      -0.61506E-03         0.29694E-02
    61.339      0.65243E-01       0.32009E-02      -0.82104E-03         0.32010E-02
    61.807      0.65114E-01       0.35055E-02      -0.95096E-03         0.35056E-02
    62.275      0.65087E-01       0.38606E-02      -0.97934E-03         0.38606E-02
    62.743      0.65181E-01       0.42298E-02      -0.88593E-03         0.42298E-02
    63.212      0.65400E-01       0.45653E-02      -0.66796E-03         0.45654E-02
    63.680      0.65722E-01       0.48215E-02      -0.34735E-03         0.48216E-02
    64.148      0.66106E-01       0.49704E-02       0.36106E-04         0.49705E-02
    64.616      0.66511E-01       0.50059E-02       0.44022E-03         0.50060E-02
    65.085      0.66903E-01       0.49353E-02       0.83077E-03         0.49354E-02
    65.553      0.67253E-01       0.47710E-02       0.11801E-02         0.47711E-02
    66.021      0.67536E-01       0.45303E-02       0.14619E-02         0.45303E-02
    66.489      0.67728E-01       0.42415E-02       0.16528E-02         0.42416E-02
    66.958      0.67819E-01       0.39456E-02       0.17422E-02         0.39457E-02
    67.426      0.67819E-01       0.36856E-02       0.17414E-02         0.36857E-02
    67.894      0.67759E-01       0.34923E-02       0.16809E-02         0.34923E-02
    68.362      0.67678E-01       0.33764E-02       0.15984E-02         0.33765E-02
    68.830      0.67607E-01       0.33328E-02       0.15261E-02         0.33329E-02
    69.299      0.67570E-01       0.33495E-02       0.14886E-02         0.33496E-02
    69.767      0.67589E-01       0.34107E-02       0.15068E-02         0.34108E-02
    70.235      0.67683E-01       0.34936E-02       0.15994E-02         0.34936E-02
    70.703      0.67862E-01       0.35642E-02       0.17776E-02         0.35643E-02
    71.172      0.68120E-01       0.35825E-02       0.20348E-02         0.35826E-02
    71.640      0.68430E-01       0.35145E-02       0.23438E-02         0.35146E-02
    72.108      0.68753E-01       0.33448E-02       0.26651E-02         0.33449E-02
    72.576      0.69049E-01       0.30776E-02       0.29604E-02         0.30777E-02
    73.045      0.69291E-01       0.27281E-02       0.32012E-02         0.27282E-02
    73.513      0.69457E-01       0.23150E-02       0.33666E-02         0.23151E-02
    73.981      0.69530E-01       0.18598E-02       0.34382E-02         0.18599E-02
    74.449      0.69494E-01       0.13928E-02       0.34009E-02         0.13929E-02
    74.918      0.69346E-01       0.95436E-03       0.32522E-02         0.95445E-03
    75.386      0.69105E-01       0.58490E-03       0.30104E-02         0.58499E-03
    75.854      0.68807E-01       0.31055E-03       0.27115E-02         0.31064E-03
    76.322      0.68492E-01       0.13636E-03       0.23957E-02         0.13646E-03
    76.790      0.68193E-01       0.51898E-04       0.20951E-02         0.51992E-04
    77.259      0.67931E-01       0.41374E-04       0.18318E-02         0.41469E-04
    77.727      0.67723E-01       0.87949E-04       0.16232E-02         0.88044E-04
    78.195      0.67586E-01       0.16970E-03       0.14850E-02         0.16979E-03
    78.663      0.67528E-01       0.25537E-03       0.14258E-02         0.25547E-03
    79.132      0.67541E-01       0.30904E-03       0.14379E-02         0.30913E-03
    79.600      0.67599E-01       0.30249E-03       0.14950E-02         0.30259E-03
    80.068      0.67666E-01       0.22539E-03       0.15614E-02         0.22548E-03
    80.536      0.67710E-01       0.85396E-04       0.16045E-02         0.85494E-04
    81.005      0.67709E-01      -0.99802E-04       0.16019E-02        -0.99702E-04
    81.473      0.67648E-01      -0.31025E-03       0.15401E-02        -0.31015E-03
    81.941      0.67519E-01      -0.52476E-03       0.14100E-02        -0.52466E-03
    82.409      0.67317E-01      -0.71708E-03       0.12064E-02        -0.71698E-03
    82.877      0.67047E-01      -0.85563E-03       0.93560E-03        -0.85553E-03
    83.346      0.66732E-01      -0.91107E-03       0.61961E-03        -0.91097E-03
    83.814      0.66407E-01      -0.86725E-03       0.29400E-03        -0.86715E-03
    84.282      0.66111E-01      -0.72675E-03      -0.29783E-05        -0.72665E-03
    84.750      0.65874E-01      -0.50690E-03      -0.24111E-03        -0.50679E-03
    85.219      0.65715E-01      -0.23091E-03      -0.40136E-03        -0.23080E-03
    85.687      0.65645E-01       0.77284E-04      -0.47197E-03         0.77390E-04
    86.155      0.65673E-01       0.39119E-03      -0.44544E-03         0.39129E-03
    86.623      0.65797E-01       0.67918E-03      -0.32211E-03         0.67929E-03
    87.092      0.66004E-01       0.90862E-03      -0.11641E-03         0.90873E-03
    87.560      0.66264E-01       0.10557E-02       0.14252E-03         0.10559E-02
    88.028      0.66541E-01       0.11136E-02       0.41885E-03         0.11137E-02
    88.496      0.66804E-01       0.10910E-02       0.68106E-03         0.10912E-02
    88.965      0.67032E-01       0.10056E-02       0.90765E-03         0.10057E-02
    89.433      0.67211E-01       0.87636E-03       0.10851E-02         0.87647E-03
    89.901      0.67331E-01       0.72458E-03       0.12045E-02         0.72469E-03
    90.369      0.67391E-01       0.57559E-03       0.12630E-02         0.57570E-03
    90.837      0.67398E-01       0.45695E-03       0.12694E-02         0.45707E-03
    91.306      0.67376E-01       0.39052E-03       0.12461E-02         0.39064E-03
    91.774      0.67355E-01       0.38423E-03       0.12239E-02         0.38435E-03
    92.242      0.67364E-01       0.43011E-03       0.12324E-02         0.43023E-03
    92.710      0.67425E-01       0.50974E-03       0.12920E-02         0.50986E-03
    93.179      0.67547E-01       0.60155E-03       0.14136E-02         0.60166E-03
    93.647      0.67737E-01       0.68347E-03       0.16022E-02         0.68359E-03
    94.115      0.67993E-01       0.73128E-03       0.18572E-02         0.73140E-03
    94.583      0.68306E-01       0.71822E-03       0.21697E-02         0.71834E-03
    95.052      0.68655E-01       0.62015E-03       0.25176E-02         0.62027E-03
    95.520      0.69006E-01       0.42427E-03       0.28676E-02         0.42439E-03
    95.988      0.69324E-01       0.13475E-03       0.31839E-02         0.13487E-03
    96.456      0.69579E-01      -0.23005E-03       0.34383E-02        -0.22993E-03
    96.925      0.69756E-01      -0.64590E-03       0.36139E-02        -0.64578E-03
    97.393      0.69845E-01      -0.10887E-02       0.37025E-02        -0.10886E-02
    97.861      0.69844E-01      -0.15340E-02       0.37003E-02        -0.15339E-02
    98.329      0.69754E-01      -0.19544E-02       0.36093E-02        -0.19543E-02
    98.797      0.69589E-01      -0.23214E-02       0.34431E-02        -0.23213E-02
    99.266      0.69375E-01      -0.26136E-02       0.32283E-02        -0.26134E-02
    99.734      0.69147E-01      -0.28250E-02       0.29988E-02        -0.28249E-02
    100.20      0.68934E-01      -0.29660E-02       0.27844E-02        -0.29659E-02
    100.67      0.68754E-01      -0.30557E-02       0.26039E-02        -0.30556E-02
    101.14      0.68617E-01      -0.31139E-02       0.24659E-02        -0.31138E-02
    101.61      0.68526E-01      -0.31591E-02       0.23741E-02        -0.31590E-02
    102.08      0.68481E-01      -0.32110E-02       0.23280E-02        -0.32108E-02
    102.54      0.68474E-01      -0.32908E-02       0.23197E-02        -0.32907E-02
    103.01      0.68485E-01      -0.34169E-02       0.23300E-02        -0.34168E-02
    103.48      0.68487E-01      -0.35958E-02       0.23310E-02        -0.35957E-02
    103.95      0.68452E-01      -0.38185E-02       0.22944E-02        -0.38184E-02
    104.42      0.68359E-01      -0.40643E-02       0.22011E-02        -0.40642E-02
    104.88      0.68203E-01      -0.43086E-02       0.20440E-02        -0.43085E-02
    105.35      0.67985E-01      -0.45285E-02       0.18245E-02        -0.45284E-02
    105.82      0.67711E-01      -0.47034E-02       0.15493E-02        -0.47033E-02
    106.29      0.67393E-01      -0.48131E-02       0.12302E-02        -0.48130E-02
    106.76      0.67051E-01      -0.48393E-02       0.88758E-03        -0.48392E-02
    107.23      0.66716E-01      -0.47717E-02       0.55150E-03        -0.47716E-02
    107.69      0.66421E-01      -0.46147E-02       0.25569E-03        -0.46146E-02
    108.16      0.66195E-01      -0.43873E-02       0.28285E-04        -0.43871E-02
    108.63      0.66053E-01      -0.41160E-02      -0.11441E-03        -0.41159E-02
    109.10      0.66001E-01      -0.38281E-02      -0.16720E-03        -0.38280E-02
    109.57      0.66038E-01      -0.35479E-02      -0.13172E-03        -0.35478E-02
    110.04      0.66156E-01      -0.32990E-02      -0.14434E-04        -0.32988E-02
    110.50      0.66342E-01      -0.31042E-02       0.17080E-03        -0.31040E-02
    110.97      0.66573E-01      -0.29810E-02       0.40034E-03        -0.29808E-02
    111.44      0.66818E-01      -0.29346E-02       0.64433E-03        -0.29345E-02
    111.91      0.67050E-01      -0.29563E-02       0.87519E-03        -0.29562E-02
    112.38      0.67250E-01      -0.30279E-02       0.10747E-02        -0.30277E-02
    112.84      0.67412E-01      -0.31290E-02       0.12349E-02        -0.31288E-02
    113.31      0.67533E-01      -0.32410E-02       0.13551E-02        -0.32409E-02
    113.78      0.67618E-01      -0.33470E-02       0.14390E-02        -0.33469E-02
    114.25      0.67676E-01      -0.34304E-02       0.14962E-02        -0.34303E-02
    114.72      0.67725E-01      -0.34787E-02       0.15442E-02        -0.34785E-02
    115.19      0.67789E-01      -0.34888E-02       0.16070E-02        -0.34887E-02
    115.65      0.67891E-01      -0.34711E-02       0.17076E-02        -0.34710E-02
    116.12      0.68045E-01      -0.34458E-02       0.18612E-02        -0.34456E-02
    116.59      0.68257E-01      -0.34366E-02       0.20718E-02        -0.34364E-02
    117.06      0.68520E-01      -0.34653E-02       0.23342E-02        -0.34652E-02
    117.53      0.68825E-01      -0.35502E-02       0.26381E-02        -0.35500E-02
    118.00      0.69156E-01      -0.37074E-02       0.29681E-02        -0.37072E-02
    118.46      0.69492E-01      -0.39498E-02       0.33025E-02        -0.39496E-02
    118.93      0.69802E-01      -0.42820E-02       0.36121E-02        -0.42818E-02
    119.40      0.70057E-01      -0.46953E-02       0.38659E-02        -0.46951E-02
    119.87      0.70231E-01      -0.51680E-02       0.40393E-02        -0.51678E-02
    120.34      0.70313E-01      -0.56716E-02       0.41193E-02        -0.56714E-02
    120.80      0.70299E-01      -0.61782E-02       0.41049E-02        -0.61781E-02
    121.27      0.70196E-01      -0.66640E-02       0.40011E-02        -0.66638E-02
    121.74      0.70014E-01      -0.71070E-02       0.38177E-02        -0.71068E-02
    122.21      0.69768E-01      -0.74866E-02       0.35702E-02        -0.74865E-02
    122.68      0.69481E-01      -0.77878E-02       0.32831E-02        -0.77876E-02
    123.15      0.69185E-01      -0.80068E-02       0.29860E-02        -0.80066E-02
    123.61      0.68907E-01      -0.81538E-02       0.27063E-02        -0.81537E-02
    124.08      0.68663E-01      -0.82484E-02       0.24614E-02        -0.82482E-02
    124.55      0.68460E-01      -0.83111E-02       0.22573E-02        -0.83109E-02
    125.02      0.68296E-01      -0.83592E-02       0.20929E-02        -0.83590E-02
    125.49      0.68168E-01      -0.84069E-02       0.19638E-02        -0.84067E-02
    125.96      0.68068E-01      -0.84671E-02       0.18620E-02        -0.84670E-02
    126.42      0.67980E-01      -0.85504E-02       0.17736E-02        -0.85502E-02
    126.89      0.67887E-01      -0.86591E-02       0.16789E-02        -0.86589E-02
    127.36      0.67767E-01      -0.87843E-02       0.15585E-02        -0.87842E-02
    127.83      0.67610E-01      -0.89071E-02       0.14004E-02        -0.89070E-02
    128.30      0.67415E-01      -0.90052E-02       0.12042E-02        -0.90051E-02
    128.76      0.67191E-01      -0.90598E-02       0.97971E-03        -0.90597E-02
    129.23      0.66954E-01      -0.90582E-02       0.74153E-03        -0.90581E-02
    129.70      0.66721E-01      -0.89921E-02       0.50678E-03        -0.89920E-02
    130.17      0.66511E-01      -0.88570E-02       0.29586E-03        -0.88568E-02
    130.64      0.66349E-01      -0.86548E-02       0.13335E-03        -0.86546E-02
    131.11      0.66262E-01      -0.83985E-02       0.45002E-04        -0.83983E-02
    131.57      0.66269E-01      -0.81126E-02       0.50684E-04        -0.81125E-02
