        Frequency / GHz                Z Real (kOhm/m)
----------------------------------------------------------------------
   0.00000E+00  0.15867    
   0.46823      0.15973    
   0.93647      0.16198    
    1.4047      0.16283    
    1.8729      0.15927    
    2.3412      0.15039    
    2.8094      0.13850    
    3.2776      0.12730    
    3.7459      0.11923    
    4.2141      0.11439    
    4.6823      0.11116    
    5.1506      0.10757    
    5.6188      0.10248    
    6.0870      0.96046E-01
    6.5553      0.89018E-01
    7.0235      0.81963E-01
    7.4918      0.75040E-01
    7.9600      0.68292E-01
    8.4282      0.61931E-01
    8.8965      0.56323E-01
    9.3647      0.51737E-01
    9.8329      0.48164E-01
    10.301      0.45384E-01
    10.769      0.43168E-01
    11.238      0.41378E-01
    11.706      0.39932E-01
    12.174      0.38699E-01
    12.642      0.37470E-01
    13.111      0.36030E-01
    13.579      0.34285E-01
    14.047      0.32276E-01
    14.515      0.30115E-01
    14.984      0.27890E-01
    15.452      0.25639E-01
    15.920      0.23397E-01
    16.388      0.21252E-01
    16.856      0.19336E-01
    17.325      0.17750E-01
    17.793      0.16506E-01
    18.261      0.15543E-01
    18.729      0.14784E-01
    19.198      0.14178E-01
    19.666      0.13700E-01
    20.134      0.13307E-01
    20.602      0.12921E-01
    21.071      0.12459E-01
    21.539      0.11877E-01
    22.007      0.11184E-01
    22.475      0.10423E-01
    22.943      0.96395E-02
    23.412      0.88594E-02
    23.880      0.81052E-02
    24.348      0.74143E-02
    24.816      0.68350E-02
    25.285      0.64063E-02
    25.753      0.61380E-02
    26.221      0.60056E-02
    26.689      0.59703E-02
    27.158      0.60004E-02
    27.626      0.60717E-02
    28.094      0.61553E-02
    28.562      0.62148E-02
    29.031      0.62144E-02
    29.499      0.61342E-02
    29.967      0.59801E-02
    30.435      0.57748E-02
    30.903      0.55398E-02
    31.372      0.52925E-02
    31.840      0.50521E-02
    32.308      0.48427E-02
    32.776      0.46906E-02
    33.245      0.46135E-02
    33.713      0.46101E-02
    34.181      0.46629E-02
    34.649      0.47516E-02
    35.118      0.48589E-02
    35.586      0.49684E-02
    36.054      0.50614E-02
    36.522      0.51156E-02
    36.991      0.51099E-02
    37.459      0.50372E-02
    37.927      0.49068E-02
    38.395      0.47363E-02
    38.863      0.45420E-02
    39.332      0.43371E-02
    39.800      0.41332E-02
    40.268      0.39458E-02
    40.736      0.37940E-02
    41.205      0.36899E-02
    41.673      0.36314E-02
    42.141      0.36057E-02
    42.609      0.35970E-02
    43.078      0.35920E-02
    43.546      0.35817E-02
    44.014      0.35565E-02
    44.482      0.35029E-02
    44.951      0.34091E-02
    45.419      0.32726E-02
    45.887      0.31007E-02
    46.355      0.29073E-02
    46.823      0.27074E-02
    47.292      0.25122E-02
    47.760      0.23304E-02
    48.228      0.21721E-02
    48.696      0.20481E-02
    49.165      0.19640E-02
    49.633      0.19182E-02
    50.101      0.19022E-02
    50.569      0.19030E-02
    51.038      0.19096E-02
    51.506      0.19144E-02
    51.974      0.19094E-02
    52.442      0.18859E-02
    52.910      0.18385E-02
    53.379      0.17666E-02
    53.847      0.16758E-02
    54.315      0.15769E-02
    54.783      0.14799E-02
    55.252      0.13919E-02
    55.720      0.13202E-02
    56.188      0.12720E-02
    56.656      0.12529E-02
    57.125      0.12644E-02
    57.593      0.13028E-02
    58.061      0.13588E-02
    58.529      0.14222E-02
    58.998      0.14855E-02
    59.466      0.15418E-02
    59.934      0.15843E-02
    60.402      0.16071E-02
    60.870      0.16062E-02
    61.339      0.15818E-02
    61.807      0.15404E-02
    62.275      0.14911E-02
    62.743      0.14412E-02
    63.212      0.13961E-02
    63.680      0.13604E-02
    64.148      0.13384E-02
    64.616      0.13338E-02
    65.085      0.13481E-02
    65.553      0.13768E-02
    66.021      0.14113E-02
    66.489      0.14438E-02
    66.958      0.14678E-02
    67.426      0.14786E-02
    67.894      0.14729E-02
    68.362      0.14477E-02
    68.830      0.14006E-02
    69.299      0.13337E-02
    69.767      0.12534E-02
    70.235      0.11673E-02
    70.703      0.10825E-02
    71.172      0.10047E-02
    71.640      0.93737E-03
    72.108      0.88305E-03
    72.576      0.84443E-03
    73.045      0.82143E-03
    73.513      0.81014E-03
    73.981      0.80482E-03
    74.449      0.79915E-03
    74.918      0.78767E-03
    75.386      0.76735E-03
    75.854      0.73639E-03
    76.322      0.69284E-03
    76.790      0.63678E-03
    77.259      0.57157E-03
