     f(GHz)     Re[Z] kOhm         Im[Z] kOhm      Re[Z]+log kOhm       Im[Z]+log kOhm
   0.00000E+00  0.63830E-03         0.00000E+00      0.66569E-01          0.00000E+00
   0.46823      0.94814E-03         0.58675E-02      0.66880E-01          0.58675E-02
   0.93647      0.19410E-02         0.11843E-01      0.67873E-01          0.11843E-01
    1.4047      0.38888E-02         0.17980E-01      0.69822E-01          0.17980E-01
    1.8729      0.72385E-02         0.23993E-01      0.73173E-01          0.23993E-01
    2.3412      0.12176E-01         0.29098E-01      0.78111E-01          0.29098E-01
    2.8094      0.18170E-01         0.32415E-01      0.84106E-01          0.32415E-01
    3.2776      0.24133E-01         0.33669E-01      0.90071E-01          0.33669E-01
    3.7459      0.29141E-01         0.33395E-01      0.95079E-01          0.33395E-01
    4.2141      0.32949E-01         0.32436E-01      0.98888E-01          0.32436E-01
    4.6823      0.35826E-01         0.31332E-01      0.10177              0.31332E-01
    5.1506      0.38038E-01         0.30198E-01      0.10398              0.30198E-01
    5.6188      0.39597E-01         0.29074E-01      0.10554              0.29074E-01
    6.0870      0.40462E-01         0.28202E-01      0.10641              0.28202E-01
    6.5553      0.40831E-01         0.27931E-01      0.10678              0.27931E-01
    7.0235      0.41156E-01         0.28417E-01      0.10710              0.28417E-01
    7.4918      0.41876E-01         0.29468E-01      0.10782              0.29468E-01
    7.9600      0.43164E-01         0.30702E-01      0.10911              0.30702E-01
    8.4282      0.44928E-01         0.31816E-01      0.11088              0.31816E-01
    8.8965      0.47013E-01         0.32700E-01      0.11296              0.32700E-01
    9.3647      0.49355E-01         0.33333E-01      0.11531              0.33333E-01
    9.8329      0.51953E-01         0.33629E-01      0.11790              0.33629E-01
    10.301      0.54725E-01         0.33428E-01      0.12068              0.33428E-01
    10.769      0.57446E-01         0.32614E-01      0.12340              0.32614E-01
    11.238      0.59837E-01         0.31245E-01      0.12579              0.31245E-01
    11.706      0.61713E-01         0.29536E-01      0.12767              0.29536E-01
    12.174      0.63059E-01         0.27729E-01      0.12902              0.27729E-01
    12.642      0.63965E-01         0.25983E-01      0.12992              0.25983E-01
    13.111      0.64516E-01         0.24363E-01      0.13047              0.24363E-01
    13.579      0.64754E-01         0.22920E-01      0.13071              0.22920E-01
    14.047      0.64726E-01         0.21743E-01      0.13069              0.21743E-01
    14.515      0.64553E-01         0.20928E-01      0.13052              0.20928E-01
    14.984      0.64425E-01         0.20490E-01      0.13039              0.20490E-01
    15.452      0.64510E-01         0.20323E-01      0.13047              0.20323E-01
    15.920      0.64873E-01         0.20253E-01      0.13084              0.20253E-01
    16.388      0.65475E-01         0.20138E-01      0.13144              0.20138E-01
    16.856      0.66244E-01         0.19905E-01      0.13221              0.19905E-01
    17.325      0.67133E-01         0.19520E-01      0.13310              0.19520E-01
    17.793      0.68104E-01         0.18932E-01      0.13407              0.18932E-01
    18.261      0.69082E-01         0.18077E-01      0.13505              0.18077E-01
    18.729      0.69933E-01         0.16933E-01      0.13590              0.16933E-01
    19.198      0.70520E-01         0.15566E-01      0.13649              0.15566E-01
    19.666      0.70770E-01         0.14112E-01      0.13674              0.14112E-01
    20.134      0.70695E-01         0.12703E-01      0.13667              0.12703E-01
    20.602      0.70354E-01         0.11427E-01      0.13633              0.11427E-01
    21.071      0.69801E-01         0.10326E-01      0.13578              0.10326E-01
    21.539      0.69078E-01         0.94445E-02      0.13506              0.94445E-02
    22.007      0.68246E-01         0.88370E-02      0.13422              0.88370E-02
    22.475      0.67409E-01         0.85380E-02      0.13339              0.85380E-02
    22.943      0.66693E-01         0.85193E-02      0.13267              0.85193E-02
    23.412      0.66190E-01         0.86860E-02      0.13217              0.86860E-02
    23.880      0.65921E-01         0.89191E-02      0.13190              0.89190E-02
    24.348      0.65852E-01         0.91268E-02      0.13184              0.91268E-02
    24.816      0.65933E-01         0.92610E-02      0.13192              0.92610E-02
    25.285      0.66127E-01         0.92929E-02      0.13211              0.92929E-02
    25.753      0.66399E-01         0.91854E-02      0.13239              0.91853E-02
    26.221      0.66687E-01         0.88997E-02      0.13267              0.88997E-02
    26.689      0.66893E-01         0.84329E-02      0.13288              0.84329E-02
    27.158      0.66925E-01         0.78436E-02      0.13291              0.78436E-02
    27.626      0.66742E-01         0.72348E-02      0.13273              0.72347E-02
    28.094      0.66367E-01         0.67042E-02      0.13236              0.67042E-02
    28.562      0.65857E-01         0.63082E-02      0.13185              0.63081E-02
    29.031      0.65262E-01         0.60675E-02      0.13126              0.60674E-02
    29.499      0.64618E-01         0.59990E-02      0.13061              0.59990E-02
    29.967      0.63971E-01         0.61295E-02      0.12997              0.61294E-02
    30.435      0.63394E-01         0.64724E-02      0.12939              0.64724E-02
    30.903      0.62979E-01         0.69949E-02      0.12898              0.69948E-02
    31.372      0.62787E-01         0.76135E-02      0.12879              0.76135E-02
    31.840      0.62823E-01         0.82279E-02      0.12882              0.82279E-02
    32.308      0.63046E-01         0.87628E-02      0.12905              0.87627E-02
    32.776      0.63402E-01         0.91808E-02      0.12940              0.91808E-02
    33.245      0.63850E-01         0.94648E-02      0.12985              0.94647E-02
    33.713      0.64352E-01         0.95958E-02      0.13036              0.95957E-02
    34.181      0.64855E-01         0.95566E-02      0.13086              0.95565E-02
    34.649      0.65287E-01         0.93550E-02      0.13129              0.93550E-02
    35.118      0.65582E-01         0.90409E-02      0.13159              0.90408E-02
    35.586      0.65711E-01         0.86939E-02      0.13172              0.86938E-02
    36.054      0.65693E-01         0.83910E-02      0.13170              0.83910E-02
    36.522      0.65573E-01         0.81801E-02      0.13158              0.81800E-02
    36.991      0.65398E-01         0.80795E-02      0.13141              0.80794E-02
    37.459      0.65207E-01         0.80965E-02      0.13122              0.80965E-02
    37.927      0.65037E-01         0.82382E-02      0.13105              0.82382E-02
    38.395      0.64941E-01         0.85012E-02      0.13095              0.85012E-02
    38.863      0.64975E-01         0.88530E-02      0.13099              0.88530E-02
    39.332      0.65177E-01         0.92284E-02      0.13119              0.92284E-02
    39.800      0.65542E-01         0.95516E-02      0.13156              0.95515E-02
    40.268      0.66031E-01         0.97651E-02      0.13205              0.97651E-02
    40.736      0.66593E-01         0.98417E-02      0.13261              0.98417E-02
    41.205      0.67184E-01         0.97726E-02      0.13320              0.97726E-02
    41.673      0.67766E-01         0.95529E-02      0.13379              0.95529E-02
    42.141      0.68290E-01         0.91833E-02      0.13431              0.91833E-02
    42.609      0.68701E-01         0.86859E-02      0.13472              0.86859E-02
    43.078      0.68954E-01         0.81130E-02      0.13498              0.81130E-02
    43.546      0.69039E-01         0.75346E-02      0.13506              0.75345E-02
    44.014      0.68978E-01         0.70121E-02      0.13500              0.70121E-02
    44.482      0.68814E-01         0.65823E-02      0.13484              0.65823E-02
    44.951      0.68588E-01         0.62604E-02      0.13462              0.62603E-02
    45.419      0.68334E-01         0.60532E-02      0.13436              0.60532E-02
    45.887      0.68092E-01         0.59640E-02      0.13412              0.59640E-02
    46.355      0.67908E-01         0.59824E-02      0.13394              0.59823E-02
    46.823      0.67826E-01         0.60729E-02      0.13386              0.60728E-02
    47.292      0.67867E-01         0.61779E-02      0.13390              0.61778E-02
    47.760      0.68020E-01         0.62377E-02      0.13405              0.62376E-02
    48.228      0.68246E-01         0.62114E-02      0.13428              0.62114E-02
    48.696      0.68502E-01         0.60834E-02      0.13454              0.60834E-02
    49.165      0.68753E-01         0.58532E-02      0.13479              0.58532E-02
    49.633      0.68966E-01         0.55236E-02      0.13500              0.55236E-02
    50.101      0.69105E-01         0.51022E-02      0.13514              0.51022E-02
    50.569      0.69129E-01         0.46141E-02      0.13517              0.46141E-02
    51.038      0.69009E-01         0.41090E-02      0.13505              0.41089E-02
    51.506      0.68745E-01         0.36493E-02      0.13479              0.36493E-02
    51.974      0.68368E-01         0.32872E-02      0.13441              0.32871E-02
    52.442      0.67927E-01         0.30485E-02      0.13397              0.30484E-02
    52.910      0.67463E-01         0.29367E-02      0.13351              0.29367E-02
    53.379      0.67010E-01         0.29476E-02      0.13306              0.29476E-02
    53.847      0.66601E-01         0.30759E-02      0.13265              0.30759E-02
    54.315      0.66272E-01         0.33068E-02      0.13232              0.33067E-02
    54.783      0.66061E-01         0.36043E-02      0.13211              0.36043E-02
    55.252      0.65982E-01         0.39142E-02      0.13203              0.39141E-02
    55.720      0.66021E-01         0.41814E-02      0.13207              0.41813E-02
    56.188      0.66138E-01         0.43702E-02      0.13219              0.43701E-02
    56.656      0.66292E-01         0.44693E-02      0.13235              0.44692E-02
    57.125      0.66449E-01         0.44821E-02      0.13250              0.44820E-02
    57.593      0.66582E-01         0.44164E-02      0.13264              0.44163E-02
    58.061      0.66662E-01         0.42835E-02      0.13272              0.42834E-02
    58.529      0.66662E-01         0.41073E-02      0.13272              0.41073E-02
    58.998      0.66562E-01         0.39289E-02      0.13262              0.39289E-02
    59.466      0.66368E-01         0.37975E-02      0.13243              0.37975E-02
    59.934      0.66109E-01         0.37532E-02      0.13217              0.37531E-02
    60.402      0.65830E-01         0.38138E-02      0.13189              0.38138E-02
    60.870      0.65570E-01         0.39769E-02      0.13163              0.39768E-02
    61.339      0.65359E-01         0.42297E-02      0.13142              0.42297E-02
    61.807      0.65224E-01         0.45566E-02      0.13129              0.45566E-02
    62.275      0.65190E-01         0.49352E-02      0.13126              0.49351E-02
    62.743      0.65277E-01         0.53294E-02      0.13134              0.53293E-02
    63.212      0.65489E-01         0.56915E-02      0.13156              0.56914E-02
    63.680      0.65805E-01         0.59756E-02      0.13187              0.59755E-02
    64.148      0.66184E-01         0.61535E-02      0.13225              0.61534E-02
    64.616      0.66584E-01         0.62185E-02      0.13266              0.62185E-02
    65.085      0.66972E-01         0.61779E-02      0.13304              0.61779E-02
    65.553      0.67320E-01         0.60437E-02      0.13339              0.60437E-02
    66.021      0.67601E-01         0.58330E-02      0.13368              0.58329E-02
    66.489      0.67791E-01         0.55739E-02      0.13387              0.55738E-02
    66.958      0.67880E-01         0.53070E-02      0.13396              0.53069E-02
    67.426      0.67879E-01         0.50756E-02      0.13396              0.50756E-02
    67.894      0.67817E-01         0.49108E-02      0.13390              0.49107E-02
    68.362      0.67732E-01         0.48237E-02      0.13381              0.48236E-02
    68.830      0.67657E-01         0.48095E-02      0.13374              0.48094E-02
    69.299      0.67616E-01         0.48563E-02      0.13370              0.48562E-02
    69.767      0.67631E-01         0.49487E-02      0.13371              0.49486E-02
    70.235      0.67719E-01         0.50640E-02      0.13380              0.50639E-02
    70.703      0.67893E-01         0.51686E-02      0.13398              0.51685E-02
    71.172      0.68147E-01         0.52222E-02      0.13423              0.52221E-02
    71.640      0.68454E-01         0.51908E-02      0.13454              0.51907E-02
    72.108      0.68774E-01         0.50583E-02      0.13486              0.50582E-02
    72.576      0.69069E-01         0.48285E-02      0.13516              0.48284E-02
    73.045      0.69312E-01         0.45163E-02      0.13540              0.45162E-02
    73.513      0.69479E-01         0.41400E-02      0.13557              0.41399E-02
    73.981      0.69554E-01         0.37208E-02      0.13565              0.37207E-02
    74.449      0.69520E-01         0.32888E-02      0.13561              0.32887E-02
    74.918      0.69375E-01         0.28841E-02      0.13547              0.28840E-02
    75.386      0.69136E-01         0.25474E-02      0.13523              0.25474E-02
    75.854      0.68838E-01         0.23053E-02      0.13493              0.23052E-02
    76.322      0.68522E-01         0.21633E-02      0.13462              0.21632E-02
    76.790      0.68220E-01         0.21115E-02      0.13432              0.21114E-02
    77.259      0.67954E-01         0.21343E-02      0.13405              0.21342E-02
    77.727      0.67742E-01         0.22154E-02      0.13384              0.22153E-02
    78.195      0.67600E-01         0.23330E-02      0.13370              0.23329E-02
    78.663      0.67536E-01         0.24562E-02      0.13364              0.24561E-02
    79.132      0.67544E-01         0.25490E-02      0.13365              0.25489E-02
    79.600      0.67597E-01         0.25829E-02      0.13370              0.25828E-02
    80.068      0.67661E-01         0.25470E-02      0.13377              0.25469E-02
    80.536      0.67703E-01         0.24483E-02      0.13381              0.24482E-02
    81.005      0.67700E-01         0.23043E-02      0.13381              0.23042E-02
    81.473      0.67638E-01         0.21345E-02      0.13375              0.21344E-02
    81.941      0.67508E-01         0.19600E-02      0.13362              0.19599E-02
    82.409      0.67304E-01         0.18067E-02      0.13341              0.18066E-02
    82.877      0.67032E-01         0.17063E-02      0.13314              0.17062E-02
    83.346      0.66714E-01         0.16884E-02      0.13283              0.16883E-02
    83.814      0.66383E-01         0.17699E-02      0.13250              0.17698E-02
    84.282      0.66080E-01         0.19489E-02      0.13219              0.19488E-02
    84.750      0.65833E-01         0.22088E-02      0.13195              0.22087E-02
    85.219      0.65663E-01         0.25267E-02      0.13178              0.25266E-02
    85.687      0.65582E-01         0.28792E-02      0.13170              0.28791E-02
    86.155      0.65597E-01         0.32400E-02      0.13172              0.32399E-02
    86.623      0.65709E-01         0.35777E-02      0.13183              0.35776E-02
    87.092      0.65905E-01         0.38595E-02      0.13203              0.38593E-02
    87.560      0.66155E-01         0.40609E-02      0.13228              0.40608E-02
    88.028      0.66425E-01         0.41742E-02      0.13255              0.41741E-02
    88.496      0.66683E-01         0.42077E-02      0.13281              0.42076E-02
    88.965      0.66906E-01         0.41782E-02      0.13303              0.41780E-02
    89.433      0.67082E-01         0.41045E-02      0.13321              0.41044E-02
    89.901      0.67201E-01         0.40075E-02      0.13333              0.40074E-02
    90.369      0.67258E-01         0.39122E-02      0.13339              0.39121E-02
    90.837      0.67263E-01         0.38465E-02      0.13339              0.38464E-02
    91.306      0.67237E-01         0.38326E-02      0.13337              0.38325E-02
    91.774      0.67210E-01         0.38793E-02      0.13334              0.38792E-02
    92.242      0.67213E-01         0.39795E-02      0.13334              0.39794E-02
    92.710      0.67265E-01         0.41153E-02      0.13340              0.41152E-02
    93.179      0.67379E-01         0.42656E-02      0.13351              0.42655E-02
    93.647      0.67560E-01         0.44087E-02      0.13369              0.44085E-02
    94.115      0.67808E-01         0.45203E-02      0.13394              0.45202E-02
    94.583      0.68115E-01         0.45737E-02      0.13425              0.45736E-02
    95.052      0.68461E-01         0.45441E-02      0.13460              0.45440E-02
    95.520      0.68811E-01         0.44179E-02      0.13495              0.44178E-02
    95.988      0.69130E-01         0.41979E-02      0.13527              0.41978E-02
    96.456      0.69391E-01         0.39017E-02      0.13553              0.39016E-02
    96.925      0.69575E-01         0.35528E-02      0.13572              0.35527E-02
    97.393      0.69673E-01         0.31748E-02      0.13582              0.31747E-02
    97.861      0.69680E-01         0.27919E-02      0.13582              0.27918E-02
    98.329      0.69599E-01         0.24314E-02      0.13574              0.24313E-02
    98.797      0.69441E-01         0.21221E-02      0.13559              0.21220E-02
    99.266      0.69232E-01         0.18862E-02      0.13538              0.18861E-02
    99.734      0.69006E-01         0.17307E-02      0.13515              0.17306E-02
    100.20      0.68792E-01         0.16465E-02      0.13494              0.16464E-02
    100.67      0.68611E-01         0.16153E-02      0.13476              0.16151E-02
    101.14      0.68470E-01         0.16175E-02      0.13462              0.16174E-02
    101.61      0.68375E-01         0.16350E-02      0.13453              0.16349E-02
    102.08      0.68326E-01         0.16485E-02      0.13448              0.16483E-02
    102.54      0.68315E-01         0.16360E-02      0.13447              0.16359E-02
    103.01      0.68326E-01         0.15790E-02      0.13448              0.15789E-02
    103.48      0.68329E-01         0.14696E-02      0.13449              0.14694E-02
    103.95      0.68297E-01         0.13155E-02      0.13445              0.13154E-02
    104.42      0.68209E-01         0.11367E-02      0.13437              0.11365E-02
    104.88      0.68058E-01         0.95719E-03      0.13422              0.95705E-03
    105.35      0.67844E-01         0.79967E-03      0.13400              0.79954E-03
    105.82      0.67573E-01         0.68482E-03      0.13373              0.68468E-03
    106.29      0.67256E-01         0.63323E-03      0.13342              0.63310E-03
    106.76      0.66911E-01         0.66412E-03      0.13307              0.66399E-03
    107.23      0.66568E-01         0.78898E-03      0.13273              0.78885E-03
    107.69      0.66261E-01         0.10051E-02      0.13243              0.10049E-02
    108.16      0.66019E-01         0.12949E-02      0.13219              0.12948E-02
    108.63      0.65858E-01         0.16328E-02      0.13203              0.16327E-02
    109.10      0.65786E-01         0.19923E-02      0.13195              0.19921E-02
    109.57      0.65802E-01         0.23490E-02      0.13197              0.23488E-02
    110.04      0.65901E-01         0.26793E-02      0.13207              0.26792E-02
    110.50      0.66070E-01         0.29599E-02      0.13224              0.29598E-02
    110.97      0.66286E-01         0.31723E-02      0.13246              0.31721E-02
    111.44      0.66521E-01         0.33096E-02      0.13269              0.33095E-02
    111.91      0.66746E-01         0.33793E-02      0.13292              0.33792E-02
    112.38      0.66942E-01         0.33986E-02      0.13312              0.33984E-02
    112.84      0.67100E-01         0.33872E-02      0.13328              0.33870E-02
    113.31      0.67220E-01         0.33634E-02      0.13340              0.33633E-02
    113.78      0.67303E-01         0.33444E-02      0.13348              0.33443E-02
    114.25      0.67357E-01         0.33473E-02      0.13354              0.33471E-02
    114.72      0.67401E-01         0.33854E-02      0.13358              0.33852E-02
    115.19      0.67457E-01         0.34631E-02      0.13364              0.34629E-02
    115.65      0.67549E-01         0.35716E-02      0.13373              0.35715E-02
    116.12      0.67693E-01         0.36917E-02      0.13388              0.36916E-02
    116.59      0.67894E-01         0.38001E-02      0.13408              0.38000E-02
    117.06      0.68150E-01         0.38750E-02      0.13434              0.38749E-02
    117.53      0.68450E-01         0.38976E-02      0.13464              0.38974E-02
    118.00      0.68781E-01         0.38509E-02      0.13497              0.38507E-02
    118.46      0.69121E-01         0.37207E-02      0.13531              0.37206E-02
    118.93      0.69443E-01         0.35007E-02      0.13563              0.35006E-02
    119.40      0.69715E-01         0.31974E-02      0.13591              0.31973E-02
    119.87      0.69911E-01         0.28308E-02      0.13610              0.28306E-02
    120.34      0.70016E-01         0.24282E-02      0.13621              0.24281E-02
    120.80      0.70029E-01         0.20171E-02      0.13622              0.20169E-02
    121.27      0.69951E-01         0.16215E-02      0.13615              0.16213E-02
    121.74      0.69791E-01         0.12637E-02      0.13599              0.12636E-02
    122.21      0.69564E-01         0.96513E-03      0.13576              0.96498E-03
    122.68      0.69293E-01         0.74246E-03      0.13549              0.74231E-03
    123.15      0.69006E-01         0.60133E-03      0.13521              0.60117E-03
    123.61      0.68731E-01         0.53345E-03      0.13493              0.53330E-03
    124.08      0.68487E-01         0.52076E-03      0.13469              0.52061E-03
    124.55      0.68282E-01         0.54315E-03      0.13448              0.54299E-03
    125.02      0.68115E-01         0.58350E-03      0.13432              0.58334E-03
    125.49      0.67984E-01         0.62744E-03      0.13419              0.62728E-03
    125.96      0.67880E-01         0.66140E-03      0.13409              0.66124E-03
    126.42      0.67791E-01         0.67412E-03      0.13400              0.67396E-03
    126.89      0.67699E-01         0.66157E-03      0.13391              0.66141E-03
    127.36      0.67581E-01         0.63116E-03      0.13379              0.63100E-03
    127.83      0.67426E-01         0.60083E-03      0.13364              0.60067E-03
    128.30      0.67232E-01         0.59267E-03      0.13344              0.59251E-03
    128.76      0.67005E-01         0.62601E-03      0.13322              0.62585E-03
    129.23      0.66760E-01         0.71471E-03      0.13297              0.71455E-03
