        Frequency / GHz                Z Real (kOhm/m)
----------------------------------------------------------------------
   0.00000E+00  0.00000E+00
   0.46823      0.52416E-02
   0.93647      0.13812E-01
    1.4047      0.26924E-01
    1.8729      0.42421E-01
    2.3412      0.55947E-01
    2.8094      0.64184E-01
    3.2776      0.67095E-01
    3.7459      0.67276E-01
    4.2141      0.67701E-01
    4.6823      0.70023E-01
    5.1506      0.74123E-01
    5.6188      0.78744E-01
    6.0870      0.82632E-01
    6.5553      0.85287E-01
    7.0235      0.86829E-01
    7.4918      0.87449E-01
    7.9600      0.87133E-01
    8.4282      0.85799E-01
    8.8965      0.83556E-01
    9.3647      0.80782E-01
    9.8329      0.77924E-01
    10.301      0.75278E-01
    10.769      0.72938E-01
    11.238      0.70917E-01
    11.706      0.69263E-01
    12.174      0.68054E-01
    12.642      0.67311E-01
    13.111      0.66916E-01
    13.579      0.66654E-01
    14.047      0.66325E-01
    14.515      0.65830E-01
    14.984      0.65151E-01
    15.452      0.64281E-01
    15.920      0.63180E-01
    16.388      0.61802E-01
    16.856      0.60168E-01
    17.325      0.58387E-01
    17.793      0.56600E-01
    18.261      0.54910E-01
    18.729      0.53356E-01
    19.198      0.51941E-01
    19.666      0.50679E-01
    20.134      0.49601E-01
    20.602      0.48720E-01
    21.071      0.47995E-01
    21.539      0.47346E-01
    22.007      0.46690E-01
    22.475      0.45976E-01
    22.943      0.45189E-01
    23.412      0.44329E-01
    23.880      0.43384E-01
    24.348      0.42346E-01
    24.816      0.41230E-01
    25.285      0.40078E-01
    25.753      0.38949E-01
    26.221      0.37896E-01
    26.689      0.36944E-01
    27.158      0.36100E-01
    27.626      0.35369E-01
    28.094      0.34755E-01
    28.562      0.34254E-01
    29.031      0.33841E-01
    29.499      0.33476E-01
    29.967      0.33116E-01
    30.435      0.32733E-01
    30.903      0.32318E-01
    31.372      0.31863E-01
    31.840      0.31363E-01
    32.308      0.30817E-01
    32.776      0.30240E-01
    33.245      0.29658E-01
    33.713      0.29105E-01
    34.181      0.28605E-01
    34.649      0.28169E-01
    35.118      0.27801E-01
    35.586      0.27502E-01
    36.054      0.27273E-01
    36.522      0.27108E-01
    36.991      0.26986E-01
    37.459      0.26877E-01
    37.927      0.26755E-01
    38.395      0.26605E-01
    38.863      0.26419E-01
    39.332      0.26198E-01
    39.800      0.25939E-01
    40.268      0.25642E-01
    40.736      0.25316E-01
    41.205      0.24980E-01
    41.673      0.24659E-01
    42.141      0.24370E-01
    42.609      0.24118E-01
    43.078      0.23903E-01
    43.546      0.23723E-01
    44.014      0.23577E-01
    44.482      0.23461E-01
    44.951      0.23361E-01
    45.419      0.23256E-01
    45.887      0.23130E-01
    46.355      0.22972E-01
    46.823      0.22778E-01
    47.292      0.22551E-01
    47.760      0.22293E-01
    48.228      0.22008E-01
    48.696      0.21704E-01
    49.165      0.21396E-01
    49.633      0.21099E-01
    50.101      0.20826E-01
    50.569      0.20583E-01
    51.038      0.20369E-01
    51.506      0.20183E-01
    51.974      0.20022E-01
    52.442      0.19879E-01
    52.910      0.19746E-01
    53.379      0.19610E-01
    53.847      0.19458E-01
    54.315      0.19286E-01
    54.783      0.19091E-01
    55.252      0.18877E-01
    55.720      0.18646E-01
    56.188      0.18402E-01
    56.656      0.18155E-01
    57.125      0.17915E-01
    57.593      0.17694E-01
    58.061      0.17499E-01
    58.529      0.17334E-01
    58.998      0.17195E-01
    59.466      0.17083E-01
    59.934      0.16993E-01
    60.402      0.16920E-01
