# z (m)           wake (V/pC)     z (m)          wake-log-term (V/pC)
0.000000e+00    1.516022e-05    0.000000e+00    8.863528e-05
1.000000e-05    -1.008519e-04    1.000000e-05    -1.762511e-05
2.000000e-05    -2.590628e-04    2.000000e-05    -1.648463e-04
3.000000e-05    -4.581178e-04    3.000000e-05    -3.515496e-04
4.000000e-05    -7.032565e-04    4.000000e-05    -5.827707e-04
5.000000e-05    -9.971976e-04    5.000000e-05    -8.610492e-04
6.000000e-05    -1.350292e-03    6.000000e-05    -1.196519e-03
7.000000e-05    -1.756325e-03    7.000000e-05    -1.582807e-03
8.000000e-05    -2.233300e-03    8.000000e-05    -2.037634e-03
9.000000e-05    -2.787741e-03    9.000000e-05    -2.567219e-03
1.000000e-04    -3.414424e-03    1.000000e-04    -3.165979e-03
1.100000e-04    -4.140927e-03    1.100000e-04    -3.861372e-03
1.200000e-04    -4.862768e-03    1.200000e-04    -4.547966e-03
1.300000e-04    -5.564413e-03    1.300000e-04    -5.210895e-03
1.400000e-04    -6.429185e-03    1.400000e-04    -6.031592e-03
1.500000e-04    -7.364064e-03    1.500000e-04    -6.917823e-03
1.600000e-04    -8.239906e-03    1.600000e-04    -7.739127e-03
1.700000e-04    -9.312667e-03    1.700000e-04    -8.750966e-03
1.800000e-04    -1.045748e-02    1.800000e-04    -9.827733e-03
1.900000e-04    -1.167686e-02    1.900000e-04    -1.097155e-02
2.000000e-04    -1.296906e-02    2.000000e-04    -1.217969e-02
2.100000e-04    -1.423525e-02    2.100000e-04    -1.335203e-02
2.200000e-04    -1.557950e-02    2.200000e-04    -1.459202e-02
2.300000e-04    -1.710766e-02    2.300000e-04    -1.600435e-02
2.400000e-04    -1.874943e-02    2.400000e-04    -1.751741e-02
2.500000e-04    -2.048616e-02    2.500000e-04    -1.911147e-02
2.600000e-04    -2.216016e-02    2.600000e-04    -2.062665e-02
2.700000e-04    -2.392156e-02    2.700000e-04    -2.221191e-02
2.800000e-04    -2.584414e-02    2.800000e-04    -2.394038e-02
2.900000e-04    -2.800752e-02    2.900000e-04    -2.588882e-02
3.000000e-04    -3.031268e-02    3.000000e-04    -2.795588e-02
3.100000e-04    -3.275183e-02    3.100000e-04    -3.013187e-02
3.200000e-04    -3.533081e-02    3.200000e-04    -3.241829e-02
3.300000e-04    -3.781462e-02    3.300000e-04    -3.458153e-02
3.400000e-04    -4.034311e-02    3.400000e-04    -3.675691e-02
3.500000e-04    -4.310269e-02    3.500000e-04    -3.912343e-02
3.600000e-04    -4.620989e-02    3.600000e-04    -4.179942e-02
3.700000e-04    -4.962198e-02    3.700000e-04    -4.473936e-02
3.800000e-04    -5.323216e-02    3.800000e-04    -4.782494e-02
3.900000e-04    -5.690448e-02    3.900000e-04    -5.092266e-02
4.000000e-04    -6.064672e-02    4.000000e-04    -5.403554e-02
4.100000e-04    -6.526285e-02    4.100000e-04    -5.795850e-02
4.200000e-04    -6.916045e-02    4.200000e-04    -6.109566e-02
4.300000e-04    -7.335128e-02    4.300000e-04    -6.445126e-02
4.400000e-04    -7.789168e-02    4.400000e-04    -6.807689e-02
4.500000e-04    -8.299914e-02    4.500000e-04    -7.218493e-02
4.600000e-04    -8.863482e-02    4.600000e-04    -7.672076e-02
4.700000e-04    -9.458705e-02    4.700000e-04    -8.147504e-02
4.800000e-04    -1.008636e-01    4.800000e-04    -8.644169e-02
4.900000e-04    -1.070450e-01    4.900000e-04    -9.118990e-02
5.000000e-04    -1.134847e-01    5.000000e-04    -9.606251e-02
5.100000e-04    -1.217906e-01    5.100000e-04    -1.026645e-01
5.200000e-04    -1.285313e-01    5.200000e-04    -1.075432e-01
5.300000e-04    -1.356720e-01    5.300000e-04    -1.126555e-01
5.400000e-04    -1.433759e-01    5.400000e-04    -1.181531e-01
5.500000e-04    -1.517867e-01    5.500000e-04    -1.241634e-01
5.600000e-04    -1.613491e-01    5.600000e-04    -1.311173e-01
5.700000e-04    -1.714922e-01    5.700000e-04    -1.384202e-01
5.800000e-04    -1.821615e-01    5.800000e-04    -1.460112e-01
5.900000e-04    -1.933882e-01    5.900000e-04    -1.538936e-01
6.000000e-04    -2.046674e-01    6.000000e-04    -1.615393e-01
6.100000e-04    -2.159504e-01    6.100000e-04    -1.688937e-01
6.200000e-04    -2.306513e-01    6.200000e-04    -1.793488e-01
6.300000e-04    -2.437987e-01    6.300000e-04    -1.878896e-01
6.400000e-04    -2.560139e-01    6.400000e-04    -1.951347e-01
6.500000e-04    -2.690641e-01    6.500000e-04    -2.027926e-01
6.600000e-04    -2.830077e-01    6.600000e-04    -2.109328e-01
6.700000e-04    -2.982718e-01    6.700000e-04    -2.199134e-01
6.800000e-04    -3.155362e-01    6.800000e-04    -2.304202e-01
6.900000e-04    -3.337327e-01    6.900000e-04    -2.413244e-01
7.000000e-04    -3.527837e-01    7.000000e-04    -2.525138e-01
7.100000e-04    -3.726892e-01    7.100000e-04    -2.639823e-01
7.200000e-04    -3.935269e-01    7.200000e-04    -2.757147e-01
7.300000e-04    -4.147335e-01    7.300000e-04    -2.871499e-01
7.400000e-04    -4.380375e-01    7.400000e-04    -2.999655e-01
7.500000e-04    -4.617882e-01    7.500000e-04    -3.124413e-01
7.600000e-04    -4.865293e-01    7.600000e-04    -3.250931e-01
7.700000e-04    -5.110761e-01    7.700000e-04    -3.366830e-01
7.800000e-04    -5.338752e-01    7.800000e-04    -3.456029e-01
7.900000e-04    -5.579949e-01    7.900000e-04    -3.548870e-01
8.000000e-04    -5.836681e-01    8.000000e-04    -3.646868e-01
8.100000e-04    -6.115941e-01    8.100000e-04    -3.756092e-01
8.200000e-04    -6.426272e-01    8.200000e-04    -3.885037e-01
8.300000e-04    -6.755635e-01    8.300000e-04    -4.020657e-01
8.400000e-04    -7.097816e-01    8.400000e-04    -4.156277e-01
8.500000e-04    -7.453202e-01    8.500000e-04    -4.291593e-01
8.600000e-04    -7.822376e-01    8.600000e-04    -4.426303e-01
8.700000e-04    -8.205533e-01    8.700000e-04    -4.559799e-01
8.800000e-04    -8.602866e-01    8.800000e-04    -4.691474e-01
8.900000e-04    -9.014958e-01    8.900000e-04    -4.821026e-01
9.000000e-04    -9.441810e-01    9.000000e-04    -4.948151e-01
9.100000e-04    -9.884392e-01    9.100000e-04    -5.072241e-01
9.200000e-04    -1.034212e+00    9.200000e-04    -5.192388e-01
9.300000e-04    -1.081597e+00    9.300000e-04    -5.308590e-01
9.400000e-04    -1.130186e+00    9.400000e-04    -5.415387e-01
9.500000e-04    -1.178872e+00    9.500000e-04    -5.500945e-01
9.600000e-04    -1.226664e+00    9.600000e-04    -5.554344e-01
9.700000e-04    -1.274399e+00    9.700000e-04    -5.583167e-01
9.800000e-04    -1.324580e+00    9.800000e-04    -5.611080e-01
9.900000e-04    -1.369518e+00    9.900000e-04    -5.560715e-01
1.000000e-03    -1.429118e+00    1.000000e-03    -5.629284e-01
1.010000e-03    -1.490582e+00    1.010000e-03    -5.688143e-01
1.020000e-03    -1.553891e+00    1.020000e-03    -5.735777e-01
1.030000e-03    -1.619201e+00    1.030000e-03    -5.773095e-01
1.040000e-03    -1.686433e+00    1.040000e-03    -5.797671e-01
1.050000e-03    -1.755723e+00    1.050000e-03    -5.809807e-01
1.060000e-03    -1.826975e+00    1.060000e-03    -5.807683e-01
1.070000e-03    -1.900344e+00    1.070000e-03    -5.791299e-01
1.080000e-03    -1.975791e+00    1.080000e-03    -5.759442e-01
1.090000e-03    -2.053471e+00    1.090000e-03    -5.711505e-01
1.100000e-03    -2.133093e+00    1.100000e-03    -5.646274e-01
1.110000e-03    -2.215045e+00    1.110000e-03    -5.563142e-01
1.120000e-03    -2.299328e+00    1.120000e-03    -5.461807e-01
1.130000e-03    -2.385747e+00    1.130000e-03    -5.340447e-01
1.140000e-03    -2.452940e+00    1.140000e-03    -4.984255e-01
1.150000e-03    -2.539553e+00    1.150000e-03    -4.777640e-01
1.160000e-03    -2.629662e+00    1.160000e-03    -4.561316e-01
1.170000e-03    -2.723461e+00    1.170000e-03    -4.333462e-01
1.180000e-03    -2.820755e+00    1.180000e-03    -4.095597e-01
1.190000e-03    -2.921739e+00    1.190000e-03    -3.844988e-01
1.200000e-03    -3.026607e+00    1.200000e-03    -3.583761e-01
1.210000e-03    -3.135165e+00    1.210000e-03    -3.310701e-01
1.220000e-03    -3.247801e+00    1.220000e-03    -3.026688e-01
1.230000e-03    -3.364709e+00    1.230000e-03    -2.733937e-01
1.240000e-03    -3.485890e+00    1.240000e-03    -2.432934e-01
1.250000e-03    -3.612120e+00    1.250000e-03    -2.127471e-01
1.260000e-03    -3.743399e+00    1.260000e-03    -1.820309e-01
1.270000e-03    -3.872542e+00    1.270000e-03    -1.437115e-01
1.280000e-03    -4.005181e+00    1.280000e-03    -1.035868e-01
1.290000e-03    -4.142286e+00    1.290000e-03    -6.239421e-02
1.300000e-03    -4.276284e+00    1.300000e-03    -1.252132e-02
1.310000e-03    -4.429119e+00    1.310000e-03    2.384148e-02
1.320000e-03    -4.564477e+00    1.320000e-03    8.322869e-02
1.330000e-03    -4.703136e+00    1.330000e-03    1.449676e-01
1.340000e-03    -4.844319e+00    1.340000e-03    2.093733e-01
1.350000e-03    -4.988804e+00    1.350000e-03    2.761274e-01
1.360000e-03    -5.136202e+00    1.360000e-03    3.454209e-01
1.370000e-03    -5.286512e+00    1.370000e-03    4.169323e-01
1.380000e-03    -5.439930e+00    1.380000e-03    4.906888e-01
1.390000e-03    -5.596456e+00    1.390000e-03    5.666298e-01
1.400000e-03    -5.756088e+00    1.400000e-03    6.444519e-01
1.410000e-03    -5.918828e+00    1.410000e-03    7.242461e-01
1.420000e-03    -6.084674e+00    1.420000e-03    8.057394e-01
1.430000e-03    -6.253823e+00    1.430000e-03    8.888406e-01
1.440000e-03    -6.425884e+00    1.440000e-03    9.733375e-01
1.450000e-03    -6.601441e+00    1.450000e-03    1.059109e+00
1.460000e-03    -6.779910e+00    1.460000e-03    1.145972e+00
1.470000e-03    -6.961682e+00    1.470000e-03    1.233655e+00
1.480000e-03    -7.146754e+00    1.480000e-03    1.322035e+00
1.490000e-03    -7.334934e+00    1.490000e-03    1.410840e+00
1.500000e-03    -7.526415e+00    1.500000e-03    1.499888e+00
1.510000e-03    -7.721004e+00    1.510000e-03    1.588936e+00
1.520000e-03    -7.918699e+00    1.520000e-03    1.677741e+00
1.530000e-03    -8.119890e+00    1.530000e-03    1.765727e+00
1.540000e-03    -8.323800e+00    1.540000e-03    1.853289e+00
1.550000e-03    -8.531012e+00    1.550000e-03    1.939758e+00
1.560000e-03    -8.740942e+00    1.560000e-03    2.025074e+00
1.570000e-03    -8.953979e+00    1.570000e-03    2.108630e+00
1.580000e-03    -9.169930e+00    1.580000e-03    2.190518e+00
1.590000e-03    -9.388793e+00    1.590000e-03    2.270130e+00
1.600000e-03    -9.610570e+00    1.600000e-03    2.347375e+00
1.610000e-03    -9.834676e+00    1.610000e-03    2.422042e+00
1.620000e-03    -1.006170e+01    1.620000e-03    2.493584e+00
1.630000e-03    -1.029124e+01    1.630000e-03    2.561819e+00
1.640000e-03    -1.052292e+01    1.640000e-03    2.626625e+00
1.650000e-03    -1.075713e+01    1.650000e-03    2.687578e+00
1.660000e-03    -1.099327e+01    1.660000e-03    2.744465e+00
1.670000e-03    -1.123136e+01    1.670000e-03    2.796954e+00
1.680000e-03    -1.147139e+01    1.680000e-03    2.844830e+00
1.690000e-03    -1.171298e+01    1.690000e-03    2.887822e+00
1.700000e-03    -1.195612e+01    1.700000e-03    2.925717e+00
1.710000e-03    -1.220042e+01    1.710000e-03    2.958271e+00
1.720000e-03    -1.244589e+01    1.720000e-03    2.985304e+00
1.730000e-03    -1.269214e+01    1.730000e-03    3.006573e+00
1.740000e-03    -1.293896e+01    1.740000e-03    3.021894e+00
1.750000e-03    -1.318618e+01    1.750000e-03    3.031057e+00
1.760000e-03    -1.343359e+01    1.760000e-03    3.034000e+00
1.770000e-03    -1.368061e+01    1.770000e-03    3.030541e+00
1.780000e-03    -1.392725e+01    1.780000e-03    3.020499e+00
1.790000e-03    -1.417330e+01    1.790000e-03    3.003842e+00
1.800000e-03    -1.441818e+01    1.800000e-03    2.980480e+00
1.810000e-03    -1.466152e+01    1.810000e-03    2.950322e+00
1.820000e-03    -1.490330e+01    1.820000e-03    2.913399e+00
1.830000e-03    -1.514313e+01    1.830000e-03    2.869618e+00
1.840000e-03    -1.538025e+01    1.840000e-03    2.819132e+00
1.850000e-03    -1.561465e+01    1.850000e-03    2.761881e+00
1.860000e-03    -1.584614e+01    1.860000e-03    2.697833e+00
1.870000e-03    -1.607374e+01    1.870000e-03    2.627201e+00
1.880000e-03    -1.629804e+01    1.880000e-03    2.549531e+00
1.890000e-03    -1.651749e+01    1.890000e-03    2.466126e+00
1.900000e-03    -1.673208e+01    1.900000e-03    2.376441e+00
1.910000e-03    -1.694181e+01    1.910000e-03    2.280536e+00
1.920000e-03    -1.714572e+01    1.920000e-03    2.179110e+00
1.930000e-03    -1.734361e+01    1.930000e-03    2.071919e+00
1.940000e-03    -1.753548e+01    1.940000e-03    1.959205e+00
1.950000e-03    -1.771997e+01    1.950000e-03    1.841790e+00
1.960000e-03    -1.789728e+01    1.960000e-03    1.719550e+00
1.970000e-03    -1.806720e+01    1.970000e-03    1.592638e+00
1.980000e-03    -1.822878e+01    1.980000e-03    1.461629e+00
1.990000e-03    -1.838181e+01    1.990000e-03    1.327193e+00
2.000000e-03    -1.852590e+01    2.000000e-03    1.189176e+00
2.010000e-03    -1.866068e+01    2.010000e-03    1.048186e+00
2.020000e-03    -1.878594e+01    2.020000e-03    9.045871e-01
2.030000e-03    -1.890071e+01    2.030000e-03    7.590461e-01
2.040000e-03    -1.900480e+01    2.040000e-03    6.118668e-01
2.050000e-03    -1.909860e+01    2.050000e-03    4.631098e-01
2.060000e-03    -1.918075e+01    2.060000e-03    3.137459e-01
2.070000e-03    -1.925124e+01    2.070000e-03    1.641879e-01
2.080000e-03    -1.931008e+01    2.080000e-03    1.462722e-02
2.090000e-03    -1.935650e+01    2.090000e-03    -1.342727e-01
2.100000e-03    -1.939048e+01    2.100000e-03    -2.820588e-01
2.110000e-03    -1.941184e+01    2.110000e-03    -4.282794e-01
2.120000e-03    -1.942000e+01    2.120000e-03    -5.724551e-01
2.130000e-03    -1.941495e+01    2.130000e-03    -7.141733e-01
2.140000e-03    -1.939650e+01    2.140000e-03    -8.527664e-01
2.150000e-03    -1.936446e+01    2.150000e-03    -9.879918e-01
2.160000e-03    -1.931843e+01    2.160000e-03    -1.119243e+00
2.170000e-03    -1.925901e+01    2.170000e-03    -1.246398e+00
2.180000e-03    -1.918521e+01    2.180000e-03    -1.368698e+00
2.190000e-03    -1.909743e+01    2.190000e-03    -1.485689e+00
2.200000e-03    -1.899587e+01    2.200000e-03    -1.597371e+00
2.210000e-03    -1.887993e+01    2.210000e-03    -1.702954e+00
2.220000e-03    -1.875001e+01    2.220000e-03    -1.802317e+00
2.230000e-03    -1.860611e+01    2.230000e-03    -1.895097e+00
2.240000e-03    -1.844842e+01    2.240000e-03    -1.980990e+00
2.250000e-03    -1.827655e+01    2.250000e-03    -2.059540e+00
2.260000e-03    -1.809051e+01    2.260000e-03    -2.129868e+00
2.270000e-03    -1.789184e+01    2.270000e-03    -2.193339e+00
2.280000e-03    -1.767977e+01    2.280000e-03    -2.248861e+00
2.290000e-03    -1.745489e+01    2.290000e-03    -2.296404e+00
2.300000e-03    -1.721738e+01    2.300000e-03    -2.335695e+00
2.310000e-03    -1.696725e+01    2.310000e-03    -2.366581e+00
2.320000e-03    -1.670508e+01    2.320000e-03    -2.389123e+00
2.330000e-03    -1.643126e+01    2.330000e-03    -2.403110e+00
2.340000e-03    -1.614618e+01    2.340000e-03    -2.408632e+00
2.350000e-03    -1.585002e+01    2.350000e-03    -2.405628e+00
2.360000e-03    -1.554357e+01    2.360000e-03    -2.394129e+00
2.370000e-03    -1.522703e+01    2.370000e-03    -2.374166e+00
2.380000e-03    -1.490097e+01    2.380000e-03    -2.345919e+00
2.390000e-03    -1.456597e+01    2.390000e-03    -2.309450e+00
2.400000e-03    -1.422263e+01    2.400000e-03    -2.264972e+00
2.410000e-03    -1.387151e+01    2.410000e-03    -2.212636e+00
2.420000e-03    -1.351282e+01    2.420000e-03    -2.152562e+00
2.430000e-03    -1.314753e+01    2.430000e-03    -2.085056e+00
2.440000e-03    -1.277622e+01    2.440000e-03    -2.010389e+00
2.450000e-03    -1.239928e+01    2.450000e-03    -1.928835e+00
2.460000e-03    -1.201768e+01    2.460000e-03    -1.840667e+00
2.470000e-03    -1.163180e+01    2.470000e-03    -1.746310e+00
2.480000e-03    -1.124224e+01    2.480000e-03    -1.645884e+00
2.490000e-03    -1.084976e+01    2.490000e-03    -1.539967e+00
2.500000e-03    -1.045495e+01    2.500000e-03    -1.428862e+00
2.510000e-03    -1.005878e+01    2.510000e-03    -1.312963e+00
2.520000e-03    -9.661450e+00    2.520000e-03    -1.192665e+00
2.530000e-03    -9.263728e+00    2.530000e-03    -1.068393e+00
2.540000e-03    -8.866395e+00    2.540000e-03    -9.405703e-01
2.550000e-03    -8.223011e+00    2.550000e-03    -5.625339e-01
2.560000e-03    -7.828202e+00    2.560000e-03    -4.289469e-01
2.570000e-03    -7.435530e+00    2.570000e-03    -2.930389e-01
2.580000e-03    -7.045770e+00    2.580000e-03    -1.553044e-01
2.590000e-03    -6.659312e+00    2.590000e-03    -1.618882e-02
2.600000e-03    -6.276738e+00    2.600000e-03    1.238236e-01
2.610000e-03    -5.898631e+00    2.610000e-03    2.644222e-01
2.620000e-03    -5.525573e+00    2.620000e-03    4.050997e-01
2.630000e-03    -5.159311e+00    2.630000e-03    5.441782e-01
2.640000e-03    -4.801401e+00    2.640000e-03    6.801621e-01
2.650000e-03    -4.450287e+00    2.650000e-03    8.147200e-01
2.660000e-03    -4.108689e+00    2.660000e-03    9.451213e-01
2.670000e-03    -3.781851e+00    2.670000e-03    1.066239e+00
2.680000e-03    -3.473461e+00    2.680000e-03    1.174401e+00
2.690000e-03    -3.175753e+00    2.690000e-03    1.277284e+00
2.700000e-03    -2.901154e+00    2.700000e-03    1.362600e+00
2.710000e-03    -2.593347e+00    2.710000e-03    1.486630e+00
2.720000e-03    -2.294473e+00    2.720000e-03    1.607140e+00
2.730000e-03    -2.004921e+00    2.730000e-03    1.723858e+00
2.740000e-03    -1.724865e+00    2.740000e-03    1.836541e+00
2.750000e-03    -1.454383e+00    2.750000e-03    1.944976e+00
2.760000e-03    -1.193767e+00    2.760000e-03    2.048951e+00
2.770000e-03    -9.430546e-01    2.770000e-03    2.148254e+00
2.780000e-03    -7.023826e-01    2.780000e-03    2.242763e+00
2.790000e-03    -4.719643e-01    2.790000e-03    2.332205e+00
2.800000e-03    -2.555478e-01    2.800000e-03    2.412697e+00
2.810000e-03    -1.022133e-01    2.810000e-03    2.435119e+00
2.820000e-03    9.782242e-02    2.820000e-03    2.509148e+00
2.830000e-03    2.877850e-01    2.830000e-03    2.577929e+00
2.840000e-03    4.677501e-01    2.840000e-03    2.641461e+00
2.850000e-03    6.377916e-01    2.850000e-03    2.699684e+00
2.860000e-03    7.980066e-01    2.860000e-03    2.752627e+00
2.870000e-03    9.476572e-01    2.870000e-03    2.799411e+00
2.880000e-03    1.084413e+00    2.880000e-03    2.837640e+00
2.890000e-03    1.190873e+00    2.890000e-03    2.849745e+00
2.900000e-03    1.313355e+00    2.900000e-03    2.881997e+00
2.910000e-03    1.426962e+00    2.910000e-03    2.909333e+00
2.920000e-03    1.530179e+00    2.920000e-03    2.930177e+00
2.930000e-03    1.620385e+00    2.930000e-03    2.941736e+00
2.940000e-03    1.696687e+00    2.940000e-03    2.943041e+00
2.950000e-03    1.779455e+00    2.950000e-03    2.954357e+00
2.960000e-03    1.845696e+00    2.960000e-03    2.952507e+00
2.970000e-03    1.905801e+00    2.970000e-03    2.947865e+00
2.980000e-03    1.963750e+00    2.980000e-03    2.944133e+00
2.990000e-03    2.015408e+00    2.990000e-03    2.937397e+00
3.000000e-03    2.055413e+00    3.000000e-03    2.921833e+00
3.010000e-03    2.092699e+00    3.010000e-03    2.906299e+00
3.020000e-03    2.124742e+00    3.020000e-03    2.888398e+00
3.030000e-03    2.149988e+00    3.030000e-03    2.866220e+00
3.040000e-03    2.171156e+00    3.040000e-03    2.842494e+00
3.050000e-03    2.187663e+00    3.050000e-03    2.816493e+00
3.060000e-03    2.199703e+00    3.060000e-03    2.788428e+00
3.070000e-03    2.207666e+00    3.070000e-03    2.758634e+00
3.080000e-03    2.212132e+00    3.080000e-03    2.727232e+00
3.090000e-03    2.213103e+00    3.090000e-03    2.694465e+00
3.100000e-03    2.210967e+00    3.100000e-03    2.660484e+00
3.110000e-03    2.206112e+00    3.110000e-03    2.625563e+00
3.120000e-03    2.198538e+00    3.120000e-03    2.589883e+00
3.130000e-03    2.188828e+00    3.130000e-03    2.553536e+00
3.140000e-03    2.177176e+00    3.140000e-03    2.516824e+00
3.150000e-03    2.163582e+00    3.150000e-03    2.479901e+00
3.160000e-03    2.148629e+00    3.160000e-03    2.442825e+00
3.170000e-03    2.132122e+00    3.170000e-03    2.405780e+00
3.180000e-03    2.114644e+00    3.180000e-03    2.368887e+00
3.190000e-03    2.096195e+00    3.190000e-03    2.332266e+00
3.200000e-03    2.076969e+00    3.200000e-03    2.296131e+00
3.210000e-03    2.057355e+00    3.210000e-03    2.260573e+00
3.220000e-03    2.037352e+00    3.220000e-03    2.225651e+00
3.230000e-03    2.016961e+00    3.230000e-03    2.191489e+00
3.240000e-03    1.996570e+00    3.240000e-03    2.158084e+00
3.250000e-03    1.976179e+00    3.250000e-03    2.125681e+00
3.260000e-03    1.956177e+00    3.260000e-03    2.094279e+00
3.270000e-03    1.936019e+00    3.270000e-03    2.063696e+00
3.280000e-03    1.916404e+00    3.280000e-03    2.034297e+00
3.290000e-03    1.897276e+00    3.290000e-03    2.006081e+00
3.300000e-03    1.878613e+00    3.300000e-03    1.978957e+00
3.310000e-03    1.860475e+00    3.310000e-03    1.952955e+00
3.320000e-03    1.843016e+00    3.320000e-03    1.928228e+00
3.330000e-03    1.826218e+00    3.330000e-03    1.904654e+00
3.340000e-03    1.810080e+00    3.340000e-03    1.882263e+00
3.350000e-03    1.794680e+00    3.350000e-03    1.861025e+00
3.360000e-03    1.780037e+00    3.360000e-03    1.841001e+00
3.370000e-03    1.766132e+00    3.370000e-03    1.822099e+00
3.380000e-03    1.752946e+00    3.380000e-03    1.804320e+00
3.390000e-03    1.740556e+00    3.390000e-03    1.787693e+00
3.400000e-03    1.728904e+00    3.400000e-03    1.772099e+00
3.410000e-03    1.718010e+00    3.410000e-03    1.757566e+00
3.420000e-03    1.707814e+00    3.420000e-03    1.744034e+00
3.430000e-03    1.698337e+00    3.430000e-03    1.731473e+00
3.440000e-03    1.689521e+00    3.440000e-03    1.719823e+00
3.450000e-03    1.681345e+00    3.450000e-03    1.709052e+00
3.460000e-03    1.673829e+00    3.460000e-03    1.699101e+00
3.470000e-03    1.666877e+00    3.470000e-03    1.689968e+00
3.480000e-03    1.660468e+00    3.480000e-03    1.681534e+00
3.490000e-03    1.654603e+00    3.490000e-03    1.673797e+00
3.500000e-03    1.649244e+00    3.500000e-03    1.666728e+00
3.510000e-03    1.644311e+00    3.510000e-03    1.660235e+00
3.520000e-03    1.639825e+00    3.520000e-03    1.654319e+00
3.530000e-03    1.635708e+00    3.530000e-03    1.648888e+00
3.540000e-03    1.631940e+00    3.540000e-03    1.643912e+00
3.550000e-03    1.628484e+00    3.550000e-03    1.639361e+00
3.560000e-03    1.625318e+00    3.560000e-03    1.635205e+00
3.570000e-03    1.622405e+00    3.570000e-03    1.631382e+00
3.580000e-03    1.619725e+00    3.580000e-03    1.627862e+00
3.590000e-03    1.617220e+00    3.590000e-03    1.624586e+00
3.600000e-03    1.614792e+00    3.600000e-03    1.621461e+00
