# z (m)           wake (V/pC)     z (m)          wake-log-term (V/pC)
0.000000e+00    -9.274341e-05    0.000000e+00    -1.662206e-04
1.000000e-05    -1.343242e-04    1.000000e-05    -2.175660e-04
2.000000e-05    -1.614094e-04    2.000000e-05    -2.556456e-04
3.000000e-05    -1.706259e-04    3.000000e-05    -2.772426e-04
4.000000e-05    -1.652270e-04    4.000000e-05    -2.857728e-04
5.000000e-05    -1.528674e-04    5.000000e-05    -2.890717e-04
6.000000e-05    -1.432218e-04    6.000000e-05    -2.970280e-04
7.000000e-05    -1.441225e-04    7.000000e-05    -3.176997e-04
8.000000e-05    -1.589003e-04    8.000000e-05    -3.546667e-04
9.000000e-05    -1.857072e-04    9.000000e-05    -4.063674e-04
1.000000e-04    -2.188929e-04    1.000000e-04    -4.674650e-04
1.100000e-04    -2.517926e-04    1.100000e-04    -5.316077e-04
1.200000e-04    -2.797631e-04    1.200000e-04    -5.945402e-04
1.300000e-04    -3.020119e-04    1.300000e-04    -6.559501e-04
1.400000e-04    -3.219798e-04    1.400000e-04    -7.196634e-04
1.500000e-04    -3.455237e-04    1.500000e-04    -7.920826e-04
1.600000e-04    -3.786167e-04    1.600000e-04    -8.797664e-04
1.700000e-04    -4.249121e-04    1.700000e-04    -9.869702e-04
1.800000e-04    -4.844871e-04    1.800000e-04    -1.114475e-03
1.900000e-04    -5.544424e-04    1.900000e-04    -1.260094e-03
2.000000e-04    -6.304866e-04    2.000000e-04    -1.420392e-03
2.100000e-04    -7.093723e-04    2.100000e-04    -1.593066e-03
2.200000e-04    -7.905390e-04    2.200000e-04    -1.778545e-03
2.300000e-04    -8.767701e-04    2.300000e-04    -1.980694e-03
2.400000e-04    -9.731882e-04    2.400000e-04    -2.205838e-03
2.500000e-04    -1.085379e-03    2.500000e-04    -2.460925e-03
2.600000e-04    -1.217500e-03    2.600000e-04    -2.751578e-03
2.700000e-04    -1.371038e-03    2.700000e-04    -3.080803e-03
2.800000e-04    -1.544931e-03    2.800000e-04    -3.449340e-03
2.900000e-04    -1.736839e-03    2.900000e-04    -3.856723e-03
3.000000e-04    -1.944985e-03    3.000000e-04    -4.303379e-03
3.100000e-04    -2.169986e-03    3.100000e-04    -4.791770e-03
3.200000e-04    -2.415284e-03    3.200000e-04    -5.328179e-03
3.300000e-04    -2.686290e-03    3.300000e-04    -5.920806e-03
3.400000e-04    -2.989771e-03    3.400000e-04    -6.579021e-03
3.500000e-04    -3.331139e-03    3.500000e-04    -7.311411e-03
3.600000e-04    -3.714066e-03    3.600000e-04    -8.125395e-03
3.700000e-04    -4.139906e-03    3.700000e-04    -9.026048e-03
3.800000e-04    -4.609432e-03    3.800000e-04    -1.001766e-02
3.900000e-04    -5.122837e-03    3.900000e-04    -1.110532e-02
4.000000e-04    -5.683407e-03    4.000000e-04    -1.229721e-02
4.100000e-04    -6.296554e-03    4.100000e-04    -1.360388e-02
4.200000e-04    -6.970205e-03    4.200000e-04    -1.503821e-02
4.300000e-04    -7.713443e-03    4.300000e-04    -1.661620e-02
4.400000e-04    -8.535161e-03    4.400000e-04    -1.835270e-02
4.500000e-04    -9.442318e-03    4.500000e-04    -2.026176e-02
4.600000e-04    -1.044091e-02    4.600000e-04    -2.235743e-02
4.700000e-04    -1.153537e-02    4.700000e-04    -2.465181e-02
4.800000e-04    -1.273151e-02    4.800000e-04    -2.715974e-02
4.900000e-04    -1.403629e-02    4.900000e-04    -2.989722e-02
5.000000e-04    -1.546013e-02    5.000000e-04    -3.288534e-02
5.100000e-04    -1.701543e-02    5.100000e-04    -3.614753e-02
5.200000e-04    -1.871685e-02    5.200000e-04    -3.971149e-02
5.300000e-04    -2.057872e-02    5.300000e-04    -4.359987e-02
5.400000e-04    -2.261417e-02    5.400000e-04    -4.784352e-02
5.500000e-04    -2.483712e-02    5.500000e-04    -5.246586e-02
5.600000e-04    -2.726110e-02    5.600000e-04    -5.750202e-02
5.700000e-04    -2.989578e-02    5.700000e-04    -6.297152e-02
5.800000e-04    -3.275662e-02    5.800000e-04    -6.891731e-02
5.900000e-04    -3.586488e-02    5.900000e-04    -7.536672e-02
6.000000e-04    -3.923990e-02    6.000000e-04    -8.237050e-02
6.100000e-04    -4.290680e-02    6.100000e-04    -8.996378e-02
6.200000e-04    -4.688685e-02    6.200000e-04    -9.820122e-02
6.300000e-04    -5.120710e-02    6.300000e-04    -1.071258e-01
6.400000e-04    -5.589076e-02    6.400000e-04    -1.167882e-01
6.500000e-04    -6.096295e-02    6.500000e-04    -1.272431e-01
6.600000e-04    -6.644687e-02    6.600000e-04    -1.385373e-01
6.700000e-04    -7.237152e-02    6.700000e-04    -1.507373e-01
6.800000e-04    -7.876782e-02    6.800000e-04    -1.638977e-01
6.900000e-04    -8.567056e-02    6.900000e-04    -1.780927e-01
7.000000e-04    -9.312034e-02    7.000000e-04    -1.933964e-01
7.100000e-04    -1.011520e-01    7.100000e-04    -2.098829e-01
7.200000e-04    -1.098079e-01    7.200000e-04    -2.276305e-01
7.300000e-04    -1.191289e-01    7.300000e-04    -2.467250e-01
7.400000e-04    -1.291573e-01    7.400000e-04    -2.672522e-01
7.500000e-04    -1.399337e-01    7.500000e-04    -2.892942e-01
7.600000e-04    -1.515047e-01    7.600000e-04    -3.129524e-01
7.700000e-04    -1.639223e-01    7.700000e-04    -3.383245e-01
7.800000e-04    -1.772387e-01    7.800000e-04    -3.655198e-01
7.900000e-04    -1.915139e-01    7.900000e-04    -3.946554e-01
8.000000e-04    -2.068117e-01    8.000000e-04    -4.258093e-01
8.100000e-04    -2.231648e-01    8.100000e-04    -4.591885e-01
8.200000e-04    -2.406778e-01    8.200000e-04    -4.948320e-01
8.300000e-04    -2.593893e-01    8.300000e-04    -5.328960e-01
8.400000e-04    -2.793765e-01    8.400000e-04    -5.735366e-01
8.500000e-04    -3.006975e-01    8.500000e-04    -6.169101e-01
8.600000e-04    -3.234296e-01    8.600000e-04    -6.630944e-01
8.700000e-04    -3.476500e-01    8.700000e-04    -7.122848e-01
8.800000e-04    -3.734556e-01    8.800000e-04    -7.646374e-01
8.900000e-04    -4.009042e-01    8.900000e-04    -8.203475e-01
9.000000e-04    -4.300925e-01    9.000000e-04    -8.795322e-01
9.100000e-04    -4.611171e-01    9.100000e-04    -9.423866e-01
9.200000e-04    -4.940748e-01    9.200000e-04    -1.009067e+00
9.300000e-04    -5.290234e-01    9.300000e-04    -1.079807e+00
9.400000e-04    -5.660597e-01    9.400000e-04    -1.154764e+00
9.500000e-04    -6.053190e-01    9.500000e-04    -1.234132e+00
9.600000e-04    -6.468591e-01    9.600000e-04    -1.318147e+00
9.700000e-04    -6.907962e-01    9.700000e-04    -1.406963e+00
9.800000e-04    -7.372655e-01    9.800000e-04    -1.500776e+00
9.900000e-04    -7.863444e-01    9.900000e-04    -1.599898e+00
1.000000e-03    -8.381488e-01    1.000000e-03    -1.704408e+00
1.010000e-03    -8.928140e-01    1.010000e-03    -1.814657e+00
1.020000e-03    -9.503981e-01    1.020000e-03    -1.930762e+00
1.030000e-03    -1.011056e+00    1.030000e-03    -2.053036e+00
1.040000e-03    -1.074883e+00    1.040000e-03    -2.181633e+00
1.050000e-03    -1.141997e+00    1.050000e-03    -2.316829e+00
1.060000e-03    -1.212513e+00    1.060000e-03    -2.458817e+00
1.070000e-03    -1.286566e+00    1.070000e-03    -2.607872e+00
1.080000e-03    -1.364253e+00    1.080000e-03    -2.764188e+00
1.090000e-03    -1.445729e+00    1.090000e-03    -2.928078e+00
1.100000e-03    -1.531071e+00    1.100000e-03    -3.099659e+00
1.110000e-03    -1.620395e+00    1.110000e-03    -3.279243e+00
1.120000e-03    -1.713836e+00    1.120000e-03    -3.467025e+00
1.130000e-03    -1.811511e+00    1.130000e-03    -3.663240e+00
1.140000e-03    -1.913496e+00    1.140000e-03    -3.868083e+00
1.150000e-03    -2.019985e+00    1.150000e-03    -4.081632e+00
1.160000e-03    -2.130939e+00    1.160000e-03    -4.304550e+00
1.170000e-03    -2.246533e+00    1.170000e-03    -4.536838e+00
1.180000e-03    -2.366958e+00    1.180000e-03    -4.778106e+00
1.190000e-03    -2.492217e+00    1.190000e-03    -5.029523e+00
1.200000e-03    -2.622501e+00    1.200000e-03    -5.290701e+00
1.210000e-03    -2.757618e+00    1.210000e-03    -5.562029e+00
1.220000e-03    -2.897954e+00    1.220000e-03    -5.843117e+00
1.230000e-03    -3.043508e+00    1.230000e-03    -6.134746e+00
1.240000e-03    -3.194282e+00    1.240000e-03    -6.436915e+00
1.250000e-03    -3.350469e+00    1.250000e-03    -6.750016e+00
1.260000e-03    -3.511874e+00    1.260000e-03    -7.073267e+00
1.270000e-03    -3.678886e+00    1.270000e-03    -7.407840e+00
1.280000e-03    -3.851116e+00    1.280000e-03    -7.752954e+00
1.290000e-03    -4.029145e+00    1.290000e-03    -8.108998e+00
1.300000e-03    -4.212394e+00    1.300000e-03    -8.476365e+00
1.310000e-03    -4.401441e+00    1.310000e-03    -8.854662e+00
1.320000e-03    -4.595707e+00    1.320000e-03    -9.243891e+00
1.330000e-03    -4.795773e+00    1.330000e-03    -9.644051e+00
1.340000e-03    -5.001251e+00    1.340000e-03    -1.005514e+01
1.350000e-03    -5.212141e+00    1.350000e-03    -1.047756e+01
1.360000e-03    -5.428637e+00    1.360000e-03    -1.091051e+01
1.370000e-03    -5.650352e+00    1.370000e-03    -1.135400e+01
1.380000e-03    -5.877286e+00    1.380000e-03    -1.180804e+01
1.390000e-03    -6.109440e+00    1.390000e-03    -1.227300e+01
1.400000e-03    -6.346812e+00    1.400000e-03    -1.274773e+01
1.410000e-03    -6.589017e+00    1.410000e-03    -1.323261e+01
1.420000e-03    -6.836441e+00    1.420000e-03    -1.372724e+01
1.430000e-03    -7.088311e+00    1.430000e-03    -1.423125e+01
1.440000e-03    -7.344820e+00    1.440000e-03    -1.474463e+01
1.450000e-03    -7.605775e+00    1.450000e-03    -1.526659e+01
1.460000e-03    -7.870983e+00    1.460000e-03    -1.579754e+01
1.470000e-03    -8.140250e+00    1.470000e-03    -1.633590e+01
1.480000e-03    -8.413382e+00    1.480000e-03    -1.688246e+01
1.490000e-03    -8.689995e+00    1.490000e-03    -1.743604e+01
1.500000e-03    -8.969893e+00    1.500000e-03    -1.799666e+01
1.510000e-03    -9.253078e+00    1.510000e-03    -1.856352e+01
1.520000e-03    -9.538968e+00    1.520000e-03    -1.913585e+01
1.530000e-03    -9.827565e+00    1.530000e-03    -1.971364e+01
1.540000e-03    -1.011829e+01    1.540000e-03    -2.029572e+01
1.550000e-03    -1.041094e+01    1.550000e-03    -2.088211e+01
1.560000e-03    -1.070515e+01    1.560000e-03    -2.147161e+01
1.570000e-03    -1.100090e+01    1.570000e-03    -2.206424e+01
1.580000e-03    -1.129723e+01    1.580000e-03    -2.265843e+01
1.590000e-03    -1.159433e+01    1.590000e-03    -2.325379e+01
1.600000e-03    -1.189162e+01    1.600000e-03    -2.385032e+01
1.610000e-03    -1.218872e+01    1.610000e-03    -2.444607e+01
1.620000e-03    -1.248525e+01    1.620000e-03    -2.504104e+01
1.630000e-03    -1.278061e+01    1.630000e-03    -2.563444e+01
1.640000e-03    -1.307501e+01    1.640000e-03    -2.622512e+01
1.650000e-03    -1.336708e+01    1.650000e-03    -2.681228e+01
1.660000e-03    -1.365761e+01    1.660000e-03    -2.739593e+01
1.670000e-03    -1.394505e+01    1.670000e-03    -2.797411e+01
1.680000e-03    -1.422939e+01    1.680000e-03    -2.854644e+01
1.690000e-03    -1.451045e+01    1.690000e-03    -2.911174e+01
1.700000e-03    -1.478706e+01    1.700000e-03    -2.966962e+01
1.710000e-03    -1.506000e+01    1.710000e-03    -3.021969e+01
1.720000e-03    -1.532772e+01    1.720000e-03    -3.075962e+01
1.730000e-03    -1.559003e+01    1.730000e-03    -3.128939e+01
1.740000e-03    -1.584712e+01    1.740000e-03    -3.180862e+01
1.750000e-03    -1.609764e+01    1.750000e-03    -3.231575e+01
1.760000e-03    -1.634197e+01    1.760000e-03    -3.281039e+01
1.770000e-03    -1.657934e+01    1.770000e-03    -3.329136e+01
1.780000e-03    -1.680879e+01    1.780000e-03    -3.375750e+01
1.790000e-03    -1.703108e+01    1.790000e-03    -3.420919e+01
1.800000e-03    -1.724487e+01    1.800000e-03    -3.464410e+01
1.810000e-03    -1.745016e+01    1.810000e-03    -3.506300e+01
1.820000e-03    -1.764674e+01    1.820000e-03    -3.546433e+01
1.830000e-03    -1.783347e+01    1.830000e-03    -3.584731e+01
1.840000e-03    -1.801131e+01    1.840000e-03    -3.621155e+01
1.850000e-03    -1.817851e+01    1.850000e-03    -3.655588e+01
1.860000e-03    -1.833586e+01    1.860000e-03    -3.688070e+01
1.870000e-03    -1.848219e+01    1.870000e-03    -3.718404e+01
1.880000e-03    -1.861788e+01    1.880000e-03    -3.746630e+01
1.890000e-03    -1.874256e+01    1.890000e-03    -3.772708e+01
1.900000e-03    -1.885545e+01    1.900000e-03    -3.796484e+01
1.910000e-03    -1.895712e+01    1.910000e-03    -3.818034e+01
1.920000e-03    -1.904643e+01    1.920000e-03    -3.837242e+01
1.930000e-03    -1.912433e+01    1.930000e-03    -3.854107e+01
1.940000e-03    -1.918966e+01    1.940000e-03    -3.868513e+01
1.950000e-03    -1.924205e+01    1.950000e-03    -3.880498e+01
1.960000e-03    -1.928477e+01    1.960000e-03    -3.890258e+01
1.970000e-03    -1.931202e+01    1.970000e-03    -3.897285e+01
1.980000e-03    -1.932671e+01    1.980000e-03    -3.901814e+01
1.990000e-03    -1.933000e+01    1.990000e-03    -3.904000e+01
2.000000e-03    -1.931976e+01    2.000000e-03    -3.903610e+01
2.010000e-03    -1.929888e+01    2.010000e-03    -3.900877e+01
2.020000e-03    -1.926215e+01    2.020000e-03    -3.895372e+01
2.030000e-03    -1.921460e+01    2.030000e-03    -3.887525e+01
2.040000e-03    -1.915448e+01    2.040000e-03    -3.877219e+01
2.050000e-03    -1.908122e+01    2.050000e-03    -3.864413e+01
2.060000e-03    -1.899810e+01    2.060000e-03    -3.849383e+01
2.070000e-03    -1.890029e+01    2.070000e-03    -3.831698e+01
2.080000e-03    -1.878953e+01    2.080000e-03    -3.811514e+01
2.090000e-03    -1.866911e+01    2.090000e-03    -3.789261e+01
2.100000e-03    -1.853650e+01    2.100000e-03    -3.764588e+01
2.110000e-03    -1.839192e+01    2.110000e-03    -3.737651e+01
2.120000e-03    -1.823747e+01    2.120000e-03    -3.708605e+01
2.130000e-03    -1.807220e+01    2.130000e-03    -3.677412e+01
2.140000e-03    -1.789533e+01    2.140000e-03    -3.644033e+01
2.150000e-03    -1.770744e+01    2.150000e-03    -3.608467e+01
2.160000e-03    -1.750989e+01    2.160000e-03    -3.571028e+01
2.170000e-03    -1.730364e+01    2.170000e-03    -3.531715e+01
2.180000e-03    -1.708753e+01    2.180000e-03    -3.490527e+01
2.190000e-03    -1.686272e+01    2.190000e-03    -3.447544e+01
2.200000e-03    -1.662921e+01    2.200000e-03    -3.402844e+01
2.210000e-03    -1.638759e+01    2.210000e-03    -3.356542e+01
2.220000e-03    -1.613784e+01    2.220000e-03    -3.308640e+01
2.230000e-03    -1.588114e+01    2.230000e-03    -3.259293e+01
2.240000e-03    -1.561748e+01    2.240000e-03    -3.208580e+01
2.250000e-03    -1.534725e+01    2.250000e-03    -3.156540e+01
2.260000e-03    -1.507102e+01    2.260000e-03    -3.103251e+01
2.270000e-03    -1.478919e+01    2.270000e-03    -3.048868e+01
2.280000e-03    -1.450195e+01    2.280000e-03    -2.993392e+01
2.290000e-03    -1.421006e+01    2.290000e-03    -2.936940e+01
2.300000e-03    -1.391393e+01    2.300000e-03    -2.879629e+01
2.310000e-03    -1.361373e+01    2.310000e-03    -2.821499e+01
2.320000e-03    -1.331044e+01    2.320000e-03    -2.762705e+01
