# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.000000e+00    7.204773e+06    2.600696e+07
1.000000e-02    7.995846e+05    8.576756e+05
2.000000e-02    5.772230e+05    6.067329e+05
3.000000e-02    4.772807e+05    4.972755e+05
4.000000e-02    4.145640e+05    4.295029e+05
5.000000e-02    3.720866e+05    3.840527e+05
6.000000e-02    3.416303e+05    3.516979e+05
7.000000e-02    3.173919e+05    3.260558e+05
8.000000e-02    2.961941e+05    3.036919e+05
9.000000e-02    2.808467e+05    2.875898e+05
1.000000e-01    2.656904e+05    2.716909e+05
1.100000e-01    2.545760e+05    2.600865e+05
1.200000e-01    2.436528e+05    2.486852e+05
1.300000e-01    2.340249e+05    2.386512e+05
1.400000e-01    2.262551e+05    2.305787e+05
1.500000e-01    2.184854e+05    2.225062e+05
1.600000e-01    2.110862e+05    2.148225e+05
1.700000e-01    2.055312e+05    2.090742e+05
1.800000e-01    2.000074e+05    2.033586e+05
1.900000e-01    1.944837e+05    1.976431e+05
2.000000e-01    1.890524e+05    1.920240e+05
2.100000e-01    1.851105e+05    1.879599e+05
2.200000e-01    1.811853e+05    1.839132e+05
2.300000e-01    1.772601e+05    1.798665e+05
2.400000e-01    1.733349e+05    1.758198e+05
2.500000e-01    1.694337e+05    1.717981e+05
2.600000e-01    1.664864e+05    1.687676e+05
2.700000e-01    1.636983e+05    1.659025e+05
2.800000e-01    1.609103e+05    1.630374e+05
2.900000e-01    1.581222e+05    1.601724e+05
3.000000e-01    1.553341e+05    1.573073e+05
3.100000e-01    1.525460e+05    1.544422e+05
3.200000e-01    1.500628e+05    1.518927e+05
3.300000e-01    1.480832e+05    1.498642e+05
3.400000e-01    1.461035e+05    1.478358e+05
3.500000e-01    1.441238e+05    1.458073e+05
3.600000e-01    1.421442e+05    1.437788e+05
3.700000e-01    1.401645e+05    1.417503e+05
3.800000e-01    1.381848e+05    1.397218e+05
3.900000e-01    1.362052e+05    1.376934e+05
4.000000e-01    1.343904e+05    1.358349e+05
4.100000e-01    1.329290e+05    1.343408e+05
4.200000e-01    1.315238e+05    1.329047e+05
4.300000e-01    1.301187e+05    1.314685e+05
4.400000e-01    1.287135e+05    1.300324e+05
4.500000e-01    1.273083e+05    1.285962e+05
4.600000e-01    1.259031e+05    1.271600e+05
4.700000e-01    1.244979e+05    1.257239e+05
4.800000e-01    1.230927e+05    1.242877e+05
4.900000e-01    1.216875e+05    1.228516e+05
5.000000e-01    1.203350e+05    1.214696e+05
5.100000e-01    1.192367e+05    1.203488e+05
5.200000e-01    1.182396e+05    1.193320e+05
5.300000e-01    1.172425e+05    1.183152e+05
5.400000e-01    1.162454e+05    1.172984e+05
5.500000e-01    1.152482e+05    1.162816e+05
5.600000e-01    1.142511e+05    1.152648e+05
5.700000e-01    1.132540e+05    1.142480e+05
5.800000e-01    1.122568e+05    1.132312e+05
