# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.000000e+00    4.712353e+08    4.677920e+08
1.000000e-02    7.761286e+06    8.087437e+06
2.000000e-02    4.797925e+06    6.454721e+06
3.000000e-02    4.100005e+06    6.249471e+06
4.000000e-02    4.284889e+06    5.838240e+06
5.000000e-02    4.516384e+06    4.964129e+06
6.000000e-02    4.297084e+06    3.963831e+06
7.000000e-02    3.654648e+06    3.299147e+06
8.000000e-02    2.984002e+06    3.147851e+06
9.000000e-02    2.693402e+06    3.338394e+06
1.000000e-01    2.757597e+06    3.424510e+06
1.100000e-01    2.948267e+06    3.236454e+06
1.200000e-01    2.929463e+06    2.836368e+06
1.300000e-01    2.654898e+06    2.515805e+06
1.400000e-01    2.322634e+06    2.461601e+06
1.500000e-01    2.148849e+06    2.587292e+06
1.600000e-01    2.198390e+06    2.675823e+06
1.700000e-01    2.339293e+06    2.588950e+06
1.800000e-01    2.355636e+06    2.351006e+06
1.900000e-01    2.188685e+06    2.142147e+06
2.000000e-01    1.958611e+06    2.098561e+06
2.100000e-01    1.848461e+06    2.202527e+06
2.200000e-01    1.895722e+06    2.284586e+06
2.300000e-01    2.000455e+06    2.226496e+06
2.400000e-01    2.016911e+06    2.053295e+06
2.500000e-01    1.895459e+06    1.898275e+06
2.600000e-01    1.732758e+06    1.877049e+06
2.700000e-01    1.649082e+06    1.960218e+06
2.800000e-01    1.688307e+06    2.028835e+06
2.900000e-01    1.775006e+06    1.987694e+06
3.000000e-01    1.792878e+06    1.853717e+06
3.100000e-01    1.699852e+06    1.732200e+06
3.200000e-01    1.566521e+06    1.712857e+06
3.300000e-01    1.500111e+06    1.783780e+06
3.400000e-01    1.534766e+06    1.844268e+06
3.500000e-01    1.609589e+06    1.814862e+06
3.600000e-01    1.628437e+06    1.708019e+06
3.700000e-01    1.554781e+06    1.610479e+06
3.800000e-01    1.443679e+06    1.595448e+06
3.900000e-01    1.384032e+06    1.652431e+06
4.000000e-01    1.411803e+06    1.702977e+06
4.100000e-01    1.478343e+06    1.681300e+06
4.200000e-01    1.498399e+06    1.593550e+06
4.300000e-01    1.439048e+06    1.512981e+06
4.400000e-01    1.347043e+06    1.503244e+06
4.500000e-01    1.298990e+06    1.555595e+06
4.600000e-01    1.325012e+06    1.601207e+06
4.700000e-01    1.381712e+06    1.580783e+06
4.800000e-01    1.397445e+06    1.501907e+06
4.900000e-01    1.343544e+06    1.429194e+06
5.000000e-01    1.261382e+06    1.418999e+06
5.100000e-01    1.220294e+06    1.466427e+06
5.200000e-01    1.245687e+06    1.509411e+06
5.300000e-01    1.298376e+06    1.494036e+06
5.400000e-01    1.314784e+06    1.426950e+06
5.500000e-01    1.269485e+06    1.365310e+06
5.600000e-01    1.198437e+06    1.358795e+06
5.700000e-01    1.161585e+06    1.401348e+06
5.800000e-01    1.183421e+06    1.438846e+06
5.900000e-01    1.229668e+06    1.424005e+06
6.000000e-01    1.243432e+06    1.362665e+06
6.100000e-01    1.201619e+06    1.306063e+06
6.200000e-01    1.136448e+06    1.299164e+06
6.300000e-01    1.102766e+06    1.337173e+06
6.400000e-01    1.123840e+06    1.372422e+06
6.500000e-01    1.167895e+06    1.361159e+06
6.600000e-01    1.182544e+06    1.307661e+06
6.700000e-01    1.146625e+06    1.258466e+06
6.800000e-01    1.089546e+06    1.254600e+06
